cost_bps,chooser,pick,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4b_oos,keep4a
0,C_SHARPE,CAND 0.50,0.07525131761294235,1.4879429528519812,-0.07460728646333414,False,True
0,C_CAGR,STATIC 1.00,0.18713684288237808,1.131307531880131,-0.29668249623917653,False,False
0,C_CALMAR,CAND 0.50,0.07525131761294235,1.4879429528519812,-0.07460728646333414,False,True
0,C_MEMO_CAND,CAND 1.00,0.13386217676107415,1.3392338376156323,-0.1558892970530158,True,False
0,C_MEMO_STATIC,STATIC 0.60,0.11938953588944123,1.1990683328447655,-0.179544061756014,True,False
0,C_LIVE,CAND 0.75,0.10450216746017893,1.3938295532497837,-0.11442446033766251,False,True
10,C_SHARPE,CAND 0.50,0.07325622812783106,1.4503914393993595,-0.07642511221240722,False,True
10,C_CAGR,STATIC 1.00,0.18578807441808243,1.1243428402300109,-0.296839135796653,False,False
10,C_CALMAR,CAND 0.50,0.07325622812783106,1.4503914393993595,-0.07642511221240722,False,True
10,C_MEMO_CAND,CAND 0.75,0.10144151525566114,1.3558599881737268,-0.11482512820243107,False,True
10,C_MEMO_STATIC,STATIC 0.60,0.11838184381044226,1.1898670987515767,-0.17975023460133244,True,False
10,C_LIVE,CAND 0.75,0.10144151525566114,1.3558599881737268,-0.11482512820243107,False,True
25,C_SHARPE,STATIC 0.40,0.08346975868898565,1.2491447333531678,-0.12284342313695096,False,False
25,C_CAGR,STATIC 1.00,0.18376773211227926,1.1138942828300724,-0.29707404483450306,False,False
25,C_CALMAR,STATIC 0.40,0.08346975868898565,1.2491447333531678,-0.12284342313695096,False,False
25,C_MEMO_CAND,CAND 0.75,0.09686583311026054,1.298795796189976,-0.115426021047072,False,True
25,C_MEMO_STATIC,STATIC 0.65,0.12523687117408278,1.1642628711774192,-0.1953971283141679,True,False
25,C_LIVE,CAND 0.75,0.09686583311026054,1.298795796189976,-0.115426021047072,False,True
50,C_SHARPE,STATIC 0.40,0.08161281449814428,1.2230339870821014,-0.1246041394393741,False,False
50,C_CAGR,STATIC 1.00,0.18040797574035516,1.0964761171232544,-0.2974654257960301,False,False
50,C_CALMAR,STATIC 0.40,0.08161281449814428,1.2230339870821014,-0.1246041394393741,False,False
50,C_MEMO_CAND,CAND 0.75,0.08928031150944093,1.2034424047237058,-0.11642721859665506,False,False
50,C_MEMO_STATIC,STATIC 0.65,0.12258762444086946,1.1420134289021266,-0.19591052654604568,True,False
50,C_LIVE,CAND 0.75,0.08928031150944093,1.2034424047237058,-0.11642721859665506,False,False
