dial,files,inst,medK,anchor,edge_share,low_edge,high_edge,med_POSN,med_anchor_rank,med_anchor_rank_frac,share_random_beats,med_d_anchor,in_headline
GROSS,8,858,10.0,0.75,0.04428904428904429,0.015151515151515152,0.029137529137529136,0.6666666666666666,4.0,0.625,0.5046620046620046,1.3314456102198058e-05,1
COUNT,2,134,5.0,5.0,0.04477611940298507,0.04477611940298507,0.0,0.25,2.0,0.4,0.35074626865671643,-0.013643193214890215,1
CADENCE,3,1517,5.0,W,0.7936717205009888,0.7936717205009888,0.0,0.0,2.0,0.5714285714285714,0.3157547791694133,-0.028114789284622882,1
COST,16,7402,5.0,10.0,0.002837071061875169,0.002837071061875169,0.0,0.25,2.0,0.4,0.002026479329910835,-0.02988403260976591,0
BAND,2,24,3.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.04473282142129553,0
SLEEVE,2,658,3.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.10032164952940548,0
