arm,b,small_TREND,u56_TREND,small_FULL,u56_FULL,u56_TREND_i61,small_TREND_i61,ratio_TREND
NOGATE,,0.0,0.0,5.699939503932244,1.259937055600886,0.0,0.0,
200d,0.0,8.90894026670875,7.814547150017485,9.288040190431099,8.06527567315538,7.442769168783254,8.601415634650671,1.1400456220535846
band2,0.02,4.107867119072043,2.470567665229048,5.240932165496199,2.8241053735866655,2.3581543614882348,3.9790628122595493,1.6627219634120807
band3,0.03,3.271048686183224,1.8295838675836344,4.586943370420053,2.216691922135447,1.7459699240398325,3.174862562277828,1.7878648495645948
band5,0.05,2.3425392566874454,1.270427788786572,3.9128856624319415,1.6932043361697169,1.2104329690036695,2.2825740457696337,1.843897998267877
band8,0.08,1.6734527473105552,0.8413568014920154,3.433993529551014,1.2977036950693555,0.802310010704735,1.638933086369033,1.988992950841958
band12,0.12,1.2028459454483285,0.5413218323813964,3.128725111128646,1.045926098612892,0.5176193617449902,1.1825235619958152,2.222053265719468
band20,0.2,0.756911018175123,0.27170998950926684,2.90796706909703,0.8770252943233477,0.2588096808724951,0.7473464683988984,2.7857312848238434
200d-M,,2.107972329624661,1.7519524420095582,3.984139509192772,2.2502622683296423,1.673304129025632,2.0558608179764017,1.2032132146274097
