stat,K,nominal_size,mean_band,median_band,mean_margin,clears,clear_rate,clearsDD,clears_IS
MAX,20,0.047619047619047616,0.1636093515813172,0.11761651891317823,-0.06442079719056443,30,0.16666666666666666,23,39
MAX,50,0.0196078431372549,0.1780588268388815,0.12981103034148192,-0.07887027244812869,25,0.1388888888888889,17,10
MAX,100,0.009900990099009901,0.2466431294083435,0.19484777538361056,-0.14745457501759074,7,0.03888888888888889,4,9
Q95,20,0.05,0.1415607485559554,0.10261449398783584,-0.04237219416520262,46,0.25555555555555554,35,52
Q95,50,0.05,0.1436076240979097,0.1082432005437354,-0.0444190697071569,39,0.21666666666666667,37,27
Q95,100,0.05,0.14494130062955032,0.11160485090312555,-0.04575274623879755,41,0.22777777777777777,31,18
