panel,ladder,stat,m,subsets,inf,p_inf
U56,N,S_FULL,3,84,63,0.75
U56,N,S_FULL,4,126,74,0.5873015873015873
U56,N,S_FULL,5,126,51,0.40476190476190477
U56,N,S_FULL,6,84,19,0.2261904761904762
U56,N,S_FULL,7,36,3,0.08333333333333333
U56,N,S_FULL,8,9,0,0.0
U56,N,S_FULL,9,1,0,0.0
U56,N,S_OOS,3,84,70,0.8333333333333334
U56,N,S_OOS,4,126,90,0.7142857142857143
U56,N,S_OOS,5,126,71,0.5634920634920635
U56,N,S_OOS,6,84,34,0.40476190476190477
U56,N,S_OOS,7,36,9,0.25
U56,N,S_OOS,8,9,1,0.1111111111111111
U56,N,S_OOS,9,1,0,0.0
U56,N,CAGR,3,84,40,0.47619047619047616
U56,N,CAGR,4,126,62,0.49206349206349204
U56,N,CAGR,5,126,71,0.5634920634920635
U56,N,CAGR,6,84,56,0.6666666666666666
U56,N,CAGR,7,36,28,0.7777777777777778
U56,N,CAGR,8,9,8,0.8888888888888888
U56,N,CAGR,9,1,1,1.0
U56,N,DD,3,84,62,0.7380952380952381
U56,N,DD,4,126,74,0.5873015873015873
U56,N,DD,5,126,57,0.4523809523809524
U56,N,DD,6,84,28,0.3333333333333333
U56,N,DD,7,36,8,0.2222222222222222
U56,N,DD,8,9,1,0.1111111111111111
U56,N,DD,9,1,0,0.0
U56,H,S_FULL,3,84,84,1.0
U56,H,S_FULL,4,126,126,1.0
U56,H,S_FULL,5,126,126,1.0
U56,H,S_FULL,6,84,84,1.0
U56,H,S_FULL,7,36,36,1.0
U56,H,S_FULL,8,9,9,1.0
U56,H,S_FULL,9,1,1,1.0
U56,H,S_OOS,3,84,71,0.8452380952380952
U56,H,S_OOS,4,126,90,0.7142857142857143
U56,H,S_OOS,5,126,71,0.5634920634920635
U56,H,S_OOS,6,84,34,0.40476190476190477
U56,H,S_OOS,7,36,9,0.25
U56,H,S_OOS,8,9,1,0.1111111111111111
U56,H,S_OOS,9,1,0,0.0
U56,H,CAGR,3,84,51,0.6071428571428571
U56,H,CAGR,4,126,49,0.3888888888888889
U56,H,CAGR,5,126,27,0.21428571428571427
U56,H,CAGR,6,84,8,0.09523809523809523
U56,H,CAGR,7,36,1,0.027777777777777776
U56,H,CAGR,8,9,0,0.0
U56,H,CAGR,9,1,0,0.0
U56,H,DD,3,84,84,1.0
U56,H,DD,4,126,126,1.0
U56,H,DD,5,126,126,1.0
U56,H,DD,6,84,84,1.0
U56,H,DD,7,36,36,1.0
U56,H,DD,8,9,9,1.0
U56,H,DD,9,1,1,1.0
U56,GROSS,S_FULL,3,120,3,0.025
U56,GROSS,S_FULL,4,210,1,0.004761904761904762
U56,GROSS,S_FULL,5,252,0,0.0
U56,GROSS,S_FULL,6,210,0,0.0
U56,GROSS,S_FULL,7,120,0,0.0
U56,GROSS,S_FULL,8,45,0,0.0
U56,GROSS,S_FULL,9,10,0,0.0
U56,GROSS,S_FULL,10,1,0,0.0
U56,GROSS,S_OOS,3,120,119,0.9916666666666667
U56,GROSS,S_OOS,4,210,210,1.0
U56,GROSS,S_OOS,5,252,252,1.0
U56,GROSS,S_OOS,6,210,210,1.0
U56,GROSS,S_OOS,7,120,120,1.0
U56,GROSS,S_OOS,8,45,45,1.0
U56,GROSS,S_OOS,9,10,10,1.0
U56,GROSS,S_OOS,10,1,1,1.0
U56,GROSS,CAGR,3,120,0,0.0
U56,GROSS,CAGR,4,210,0,0.0
U56,GROSS,CAGR,5,252,0,0.0
U56,GROSS,CAGR,6,210,0,0.0
U56,GROSS,CAGR,7,120,0,0.0
U56,GROSS,CAGR,8,45,0,0.0
U56,GROSS,CAGR,9,10,0,0.0
U56,GROSS,CAGR,10,1,0,0.0
U56,GROSS,DD,3,120,0,0.0
U56,GROSS,DD,4,210,0,0.0
U56,GROSS,DD,5,252,0,0.0
U56,GROSS,DD,6,210,0,0.0
U56,GROSS,DD,7,120,0,0.0
U56,GROSS,DD,8,45,0,0.0
U56,GROSS,DD,9,10,0,0.0
U56,GROSS,DD,10,1,0,0.0
U56,CADENCE,S_FULL,3,84,29,0.34523809523809523
U56,CADENCE,S_FULL,4,126,20,0.15873015873015872
U56,CADENCE,S_FULL,5,126,7,0.05555555555555555
U56,CADENCE,S_FULL,6,84,1,0.011904761904761904
U56,CADENCE,S_FULL,7,36,0,0.0
U56,CADENCE,S_FULL,8,9,0,0.0
U56,CADENCE,S_FULL,9,1,0,0.0
U56,CADENCE,S_OOS,3,84,59,0.7023809523809523
U56,CADENCE,S_OOS,4,126,71,0.5634920634920635
U56,CADENCE,S_OOS,5,126,56,0.4444444444444444
U56,CADENCE,S_OOS,6,84,28,0.3333333333333333
U56,CADENCE,S_OOS,7,36,8,0.2222222222222222
U56,CADENCE,S_OOS,8,9,1,0.1111111111111111
U56,CADENCE,S_OOS,9,1,0,0.0
U56,CADENCE,CAGR,3,84,27,0.32142857142857145
U56,CADENCE,CAGR,4,126,19,0.15079365079365079
U56,CADENCE,CAGR,5,126,7,0.05555555555555555
U56,CADENCE,CAGR,6,84,1,0.011904761904761904
U56,CADENCE,CAGR,7,36,0,0.0
U56,CADENCE,CAGR,8,9,0,0.0
U56,CADENCE,CAGR,9,1,0,0.0
U56,CADENCE,DD,3,84,84,1.0
U56,CADENCE,DD,4,126,126,1.0
U56,CADENCE,DD,5,126,126,1.0
U56,CADENCE,DD,6,84,84,1.0
U56,CADENCE,DD,7,36,36,1.0
U56,CADENCE,DD,8,9,9,1.0
