stem,date,n_tok,n_head,bytes_csv,bytes_json,bytes_console,bytes_data,has_data,missing_csvjson,cov_CSV,cov_CSVJSON,cov_CSVJSONTXT,cov_NONCONSOLE,cov_ANY,hcov_CSV,hcov_CSVJSON,hcov_CSVJSONTXT,hcov_NONCONSOLE,hcov_ANY
2026-09-03_broad-momentum-top10,2026-09-03,2,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-03_composite-vs-equal-weight,2026-09-03,9,5,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-03_core-plus-trend-sleeve,2026-09-03,11,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,,,,,
2026-09-03_full-exposure-v1,2026-09-03,5,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,,,,,
2026-09-03_macro-trend-ensemble,2026-09-03,5,2,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-03_qqq-trend-only,2026-09-03,24,4,0,0,0,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-04_monthly-seasonality_cloud,2026-09-04,9,3,34696,0,31843,34696,1,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0
2026-09-04_no-vol-scaling,2026-09-04,2,2,0,0,17022,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2026-09-04_one-year-leverage-audit_cloud,2026-09-04,3,2,2809,0,47313,2809,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
2026-09-04_position-count,2026-09-04,12,3,0,0,20509,0,0,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2026-09-04_prox-inverted-signal_cloud,2026-09-04,5,3,0,0,30958,0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2026-09-04_rebalance-freq_cloud,2026-09-04,27,0,0,0,34337,0,0,27,0.0,0.0,0.0,0.0,1.0,,,,,
2026-09-04_sector-only-universe_C,2026-09-04,18,5,9827,0,17471,9827,1,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6,0.6,0.6,0.6,1.0
2026-09-04_selectability-pre-test_cloud,2026-09-04,7,5,41418,0,38051,41418,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-09-04_sharpe-bound-book-change_cloud,2026-09-04,16,3,26679,0,23412,26679,1,6,0.625,0.625,0.625,0.625,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
2026-09-04_spy-tlt-gld-riskparity_C,2026-09-04,8,6,0,0,0,9797,0,8,0.0,0.0,0.875,0.875,0.875,0.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
2026-09-04_spinoff-calendar,2026-09-04,2,0,21006,0,6384,21006,1,2,0.0,0.0,0.0,0.0,0.5,,,,,
2026-09-04_momentum-plus-quality-proxy_cloud,2026-09-04,11,0,87962,0,54814,87962,1,3,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,1.0,,,,,
2026-09-04_third-universe-portability_B,2026-09-04,3,0,0,0,22497,0,0,3,0.0,0.0,0.0,0.0,1.0,,,,,
2026-09-04_trend-gate-as-drawdown-insurance_B,2026-09-04,26,6,0,0,37675,0,0,26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2026-09-04_trend-gate-lookback-primary_cloud,2026-09-04,17,7,0,0,21328,0,0,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2026-09-04_turnover-budget_B,2026-09-04,15,4,68763,0,42262,68763,1,2,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.0,0.75,0.75,0.75,0.75,1.0
2026-09-04_vol-cap-as-a-satellite-clause_B,2026-09-04,11,4,22344,0,58554,22344,1,1,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0
2026-09-04_vol-scaler-replacement_B,2026-09-04,7,2,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-04_small-cap-pead,2026-09-04,3,2,0,0,3663,0,0,3,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.5
2026-09-04_lookback-candidate-cost-and-lag_cloud,2026-09-04,16,2,0,0,50040,0,0,16,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0
2026-09-04_which-4b-bar-binds_B,2026-09-04,25,1,270876,0,167407,270876,1,1,0.96,0.96,0.96,0.96,1.0,1.0,1.0,1.0,1.0,1.0
2026-09-04_is-window-has-no-crash_C,2026-09-04,1,0,48106,0,37749,48106,1,0,1.0,1.0,1.0,1.0,1.0,,,,,
2026-09-04_lookback-blend_C,2026-09-04,19,7,0,0,28854,0,0,19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2026-09-04_52w-high-proximity_C,2026-09-04,6,5,9514,0,24300,9514,1,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.8,0.8,0.8,0.8,1.0
2026-09-04_abs-momentum-filter_C,2026-09-04,21,5,0,0,24305,0,0,21,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,1.0
2026-09-04_asset-class-dispersion_B,2026-09-04,6,3,0,0,0,25939,0,6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
2026-09-04_broad-H2-binding-bar_cloud,2026-09-04,14,7,0,0,25105,0,0,14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
