rung,n,agree,TP,FP,FN,TN,MCC,precision,recall
10,14940,0.8705488621151272,310,1934,0,12696,0.34624277071996445,0.13814616755793227,1.0
25,14940,0.936479250334672,107,949,0,13884,0.3079659727878839,0.10132575757575757,1.0
