p_star,panel,cost,dial,pick,abstain,lab_margin,oos_margin,argmax_margin
0.5,u56,10.0,band,0.20,False,0.13095170932401845,-0.15324078464357682,-0.11177239608194012
0.5,u56,10.0,gross,1.00,False,0.0015342709270076416,-0.0007067477247511,-0.0007067477247511
0.5,u56,10.0,cadence,Q,False,0.068116223169979,-0.3016406869200775,-0.052372440638785545
0.5,u56,10.0,share,0.75,False,0.4470905742807203,0.23734334917537359,0.23734334917537359
0.5,u56,10.0,volcap,off,False,0.0,-0.01720797040074984,-0.03812344417460045
0.5,u56,10.0,kexp,1.00,False,0.4852116733497591,0.2831152899712255,0.22087510405280653
0.5,u56,25.0,band,0.20,False,0.15699896794967727,-0.13145991282117664,-0.09075919333971716
0.5,u56,25.0,gross,1.00,False,0.0018106185793484997,-0.0005073231677683587,-0.0005073231677683587
0.5,u56,25.0,cadence,Q,False,0.09051588323294868,-0.2795006234071109,-0.03974765240809974
0.5,u56,25.0,share,0.75,False,0.6123255293679848,0.37002675337402835,0.37002675337402835
0.5,u56,25.0,volcap,off,False,0.0,-0.013823466204405666,-0.03682346718876095
0.5,u56,25.0,kexp,1.00,False,0.6254639460105329,0.4171224048026747,0.3630115089541621
0.5,broad,10.0,band,0.20,False,0.028556671378667797,-0.10654379064423192,-0.009044045671733336
0.5,broad,10.0,gross,1.00,False,0.0016343458299907798,-0.0010967681058313694,-0.0010967681058313694
0.5,broad,10.0,cadence,Q,False,0.02280067468330027,-0.2265126961220275,0.0
0.5,broad,10.0,share,0.75,False,0.20149673947708258,0.28241429157476783,0.09843425885025892
0.5,broad,10.0,volcap,off,False,0.0,0.03763866866536347,0.03763866866536347
0.5,broad,10.0,kexp,1.00,False,0.44661870385404745,0.2984111508436369,0.31703607941798084
0.5,broad,25.0,band,0.20,False,0.053808787967898786,-0.07842720724434338,0.009057993003597664
0.5,broad,25.0,gross,1.00,False,0.00195410348278946,-0.000837978803555739,-0.000837978803555739
0.5,broad,25.0,cadence,Q,False,0.04485313599992846,-0.19820900319172907,-0.006487455458835667
0.5,broad,25.0,share,0.75,False,0.3546388510260604,0.4161744338575519,0.4161744338575519
0.5,broad,25.0,volcap,off,False,0.0,0.05133104227133517,0.05133104227133517
0.5,broad,25.0,kexp,1.00,False,0.5598106702159059,0.4054354038673404,0.42642499836371045
0.5,small,10.0,band,0.20,False,0.06478151892525585,0.058989390066160774,0.058989390066160774
0.5,small,10.0,gross,1.00,False,0.0016977853860382641,-0.0008027782638425629,-0.0008027782638425629
0.5,small,10.0,cadence,Q,False,0.06569707822493975,-0.004804759864723507,0.05290973046443059
0.5,small,10.0,share,0.05,False,-0.37476422982691937,0.02182030511420774,-0.07249901538577264
0.5,small,10.0,volcap,off,False,0.006948803634144851,0.009489117261131441,-0.0038376845444135776
0.5,small,10.0,kexp,-1.00,False,0.013777251764514609,0.08003379914166125,0.0608161727060183
0.5,small,25.0,band,0.20,False,0.09886497783888792,0.09225981386939786,0.09225981386939786
0.5,small,25.0,gross,1.00,False,0.0018909486479350424,-0.0006261491219079485,-0.0006261491219079485
0.5,small,25.0,cadence,Q,False,0.10411508024130911,0.03664222692866548,0.07848068041163714
0.5,small,25.0,share,0.75,False,-0.04551647043178331,0.06804156436651143,-0.09677707918080425
0.5,small,25.0,volcap,off,False,0.0067924812139462665,0.017157368245095145,-0.0024589662504912735
0.5,small,25.0,kexp,-0.50,True,0.0,0.0,0.04051367610821438
0.55,u56,10.0,band,0.20,False,0.13095170932401845,-0.15324078464357682,-0.11177239608194012
0.55,u56,10.0,gross,1.00,False,0.0015342709270076416,-0.0007067477247511,-0.0007067477247511
0.55,u56,10.0,cadence,Q,False,0.068116223169979,-0.3016406869200775,-0.052372440638785545
0.55,u56,10.0,share,0.75,False,0.4470905742807203,0.23734334917537359,0.23734334917537359
0.55,u56,10.0,volcap,off,False,0.0,-0.01720797040074984,-0.03812344417460045
0.55,u56,10.0,kexp,1.00,False,0.4852116733497591,0.2831152899712255,0.22087510405280653
0.55,u56,25.0,band,0.20,False,0.15699896794967727,-0.13145991282117664,-0.09075919333971716
0.55,u56,25.0,gross,1.00,False,0.0018106185793484997,-0.0005073231677683587,-0.0005073231677683587
0.55,u56,25.0,cadence,Q,False,0.09051588323294868,-0.2795006234071109,-0.03974765240809974
0.55,u56,25.0,share,0.75,False,0.6123255293679848,0.37002675337402835,0.37002675337402835
0.55,u56,25.0,volcap,off,False,0.0,-0.013823466204405666,-0.03682346718876095
0.55,u56,25.0,kexp,1.00,False,0.6254639460105329,0.4171224048026747,0.3630115089541621
0.55,broad,10.0,band,0.20,False,0.028556671378667797,-0.10654379064423192,-0.009044045671733336
0.55,broad,10.0,gross,1.00,False,0.0016343458299907798,-0.0010967681058313694,-0.0010967681058313694
0.55,broad,10.0,cadence,Q,False,0.02280067468330027,-0.2265126961220275,0.0
0.55,broad,10.0,share,0.75,False,0.20149673947708258,0.28241429157476783,0.09843425885025892
0.55,broad,10.0,volcap,off,False,0.0,0.03763866866536347,0.03763866866536347
0.55,broad,10.0,kexp,1.00,False,0.44661870385404745,0.2984111508436369,0.31703607941798084
0.55,broad,25.0,band,0.20,False,0.053808787967898786,-0.07842720724434338,0.009057993003597664
0.55,broad,25.0,gross,1.00,False,0.00195410348278946,-0.000837978803555739,-0.000837978803555739
0.55,broad,25.0,cadence,Q,False,0.04485313599992846,-0.19820900319172907,-0.006487455458835667
0.55,broad,25.0,share,0.75,False,0.3546388510260604,0.4161744338575519,0.4161744338575519
0.55,broad,25.0,volcap,off,False,0.0,0.05133104227133517,0.05133104227133517
0.55,broad,25.0,kexp,1.00,False,0.5598106702159059,0.4054354038673404,0.42642499836371045
0.55,small,10.0,band,0.20,False,0.06478151892525585,0.058989390066160774,0.058989390066160774
0.55,small,10.0,gross,1.00,False,0.0016977853860382641,-0.0008027782638425629,-0.0008027782638425629
0.55,small,10.0,cadence,Q,False,0.06569707822493975,-0.004804759864723507,0.05290973046443059
