panel,window,n,clears,cuts,cut_rate,lo,hi
B136,IS,249,32,32,1.0,0.8928172849426366,1.0
B136,OOS,249,8,5,0.625,0.30573785458380187,0.863158240538479
B136,FULL,249,7,7,1.0,0.6456611570247934,1.0
SMALL439,IS,249,83,50,0.6024096385542169,0.4948463779413774,0.7009123367759931
SMALL439,OOS,249,56,42,0.75,0.6230710799856808,0.8448308477702616
SMALL439,FULL,249,53,44,0.8301886792452831,0.7077446317626587,0.9080015822777624
U56,IS,249,9,9,1.0,0.7008472464490407,1.0
U56,OOS,249,0,0,,,
U56,FULL,249,0,0,,,
