panel,book,arm,be_FULL,censored_FULL,be_noDD,censored_noDD,be_noCAGR,censored_noCAGR,be_SHARPEONLY,censored_SHARPEONLY,binding_bar,be_H1,be_H2,be_OOS,be_DD,be_CAGR,slack_H1,slack_H2,slack_OOS,slack_DD,slack_CAGR
u56,V1u,control,,False,,False,,False,,False,fails at 0,,2.0,2.5,25.5,,-0.039735422006061394,0.04733922950411884,0.06689342661692821,0.06369388420964678,-0.018648995443218686
u56,V1u,v1gate-dg,,False,,False,,False,,False,fails at 0,,1.5,2.5,30.0,,-0.05833952028238343,0.03828617232830778,0.05902033165974274,0.07156335749262877,-0.020556488936540288
u56,V1u,v1gate-rw,,False,,False,,False,,False,fails at 0,,3.5,4.0,30.0,,-0.07922832648485878,0.08088096016732982,0.09603694334143942,0.06635946929542838,-0.016673222085519995
u56,V1u,band3-dg,,False,,False,,False,,False,fails at 0,,2.0,2.5,30.0,,-0.06025375373657493,0.04591586933307956,0.0658692091169274,0.06843246717905196,-0.020007865431042382
u56,V1u,band3-rw,,False,,False,,False,,False,fails at 0,,4.5,5.0,30.0,,-0.08863299319706885,0.10304979824445604,0.11661883191916622,0.06843246717905216,-0.016330016065459294
u56,V1u,vol60-dg,,False,,False,,False,,False,fails at 0,,2.0,2.5,25.5,,-0.039735422006061394,0.04733922950411884,0.06689342661692821,0.06369388420964678,-0.018648995443218686
u56,V1u,vol60-rw,,False,,False,,False,,False,fails at 0,,2.0,2.5,25.5,,-0.039735422006061394,0.04733922950411884,0.06689342661692821,0.06369388420964678,-0.018648995443218686
u56,V1u,g200-dg,,False,,False,,False,,False,fails at 0,,1.5,2.5,30.0,,-0.05833952028238343,0.03828617232830778,0.05902033165974274,0.07156335749262877,-0.020556488936540288
u56,V1u,g200-rw,,False,,False,,False,,False,fails at 0,,4.5,5.0,30.0,,-0.07922832648485878,0.10997078017071127,0.12290971442878706,0.06635946929542838,-0.014754027957708388
u56,TOP20,control,,False,30.0,True,,False,30.0,True,fails at 0,30.0,30.0,30.0,,30.0,0.38984719565464065,0.33551778528167986,0.3491974741598526,-0.018934070251576923,0.0588052524133392
u56,TOP20,v1gate-dg,21.0,False,21.0,False,23.0,False,23.0,False,CAGR,23.0,30.0,30.0,30.0,21.0,0.2085352978254157,0.30482813384590013,0.3288718351553649,0.03782048701427246,0.02190714091415541
u56,TOP20,v1gate-rw,24.5,False,24.5,False,24.5,False,24.5,False,H1,24.5,30.0,30.0,30.0,28.5,0.22122564471558837,0.3459896692755525,0.36473214501177853,0.020103049758851466,0.030895443076721707
u56,TOP20,band3-dg,30.0,True,30.0,True,30.0,True,30.0,True,,30.0,30.0,30.0,30.0,30.0,0.33919766404084906,0.35210607722452847,0.3702334595045006,0.00544021254060828,0.04696761789115392
u56,TOP20,band3-rw,30.0,True,30.0,True,30.0,True,30.0,True,,30.0,30.0,30.0,30.0,30.0,0.3357825935403097,0.3462415345789752,0.3642921387827488,0.004271613960252274,0.04749531504658991
u56,TOP20,vol60-dg,29.5,False,29.5,False,30.0,True,30.0,True,CAGR,30.0,30.0,30.0,30.0,29.5,0.25674334238137975,0.30457727357609843,0.3248315900672013,0.035417059232305564,0.03152386550650921
u56,TOP20,vol60-rw,30.0,True,30.0,True,30.0,True,30.0,True,,30.0,30.0,30.0,30.0,30.0,0.28089794783263755,0.3398239106525921,0.3551468749275527,0.01748769019349697,0.041436593110236425
u56,TOP20,g200-dg,30.0,True,30.0,True,30.0,True,30.0,True,,30.0,30.0,30.0,30.0,30.0,0.3384253309451316,0.33680357541968153,0.35627494659559134,0.00774802193733326,0.0450542239562875
u56,TOP20,g200-rw,30.0,True,30.0,True,30.0,True,30.0,True,,30.0,30.0,30.0,30.0,30.0,0.34334701187509087,0.33762282826875534,0.35657244094789176,0.00920198677643716,0.04659766922384151
u56,EWall,control,,False,30.0,True,,False,30.0,True,fails at 0,30.0,30.0,30.0,,30.0,0.2407196154348522,0.24500167888189106,0.2608570139137091,-0.02281061927725353,0.0270374920016149
u56,EWall,v1gate-dg,,False,,False,30.0,True,30.0,True,fails at 0,30.0,30.0,30.0,30.0,,0.1633529407410773,0.37162726979443994,0.4201265190703073,0.09390282605932057,-0.029776390064952488
u56,EWall,v1gate-rw,7.0,False,7.0,False,23.5,False,23.5,False,CAGR,23.5,30.0,30.0,30.0,7.0,0.19367265517109178,0.2849747108393025,0.31275305816598487,0.04460800876654997,0.006551998987288518
u56,EWall,band3-dg,,False,,False,30.0,True,30.0,True,fails at 0,30.0,30.0,30.0,30.0,,0.29450327986259406,0.3817695171056855,0.42758780982208455,0.08200528554890626,-0.01806681129349509
u56,EWall,band3-rw,30.0,True,30.0,True,30.0,True,30.0,True,,30.0,30.0,30.0,30.0,30.0,0.2970369967370309,0.33548738394301914,0.36034396180377215,0.02632846254488827,0.020758378928558724
u56,EWall,vol60-dg,30.0,True,30.0,True,30.0,True,30.0,True,,30.0,30.0,30.0,30.0,30.0,0.2122667025102375,0.2938443899168698,0.3183171459892621,0.03355816239608478,0.010825885473010013
u56,EWall,vol60-rw,30.0,True,30.0,True,30.0,True,30.0,True,,30.0,30.0,30.0,30.0,30.0,0.19953214121157703,0.29801350601684373,0.3166628894070421,0.019473201569049275,0.017556872505045507
u56,EWall,g200-dg,,False,,False,30.0,True,30.0,True,fails at 0,30.0,30.0,30.0,30.0,,0.2697653336679696,0.3760247523824668,0.42531291443905517,0.08263658509138797,-0.02117478156188339
u56,EWall,g200-rw,20.5,False,20.5,False,30.0,True,30.0,True,CAGR,30.0,30.0,30.0,30.0,20.5,0.28600115168215556,0.27333289846735964,0.299362960576382,0.017507182997573867,0.017439594655331916
u56,FRAC85,control,,False,30.0,True,,False,30.0,True,fails at 0,30.0,30.0,30.0,,30.0,0.3028920078113132,0.25187112263303957,0.27131405265068087,-0.009906461800781724,0.02992488680172442
u56,FRAC85,v1gate-dg,16.5,False,16.5,False,23.0,False,23.0,False,CAGR,23.0,30.0,30.0,30.0,16.5,0.21818901671304747,0.32644818505695683,0.34609331358944095,0.03913829481663436,0.018629526571337707
u56,FRAC85,band3-dg,30.0,True,30.0,True,30.0,True,30.0,True,,30.0,30.0,30.0,30.0,30.0,0.3030493858531841,0.31930105497423955,0.34026778035538563,0.01099736618448438,0.030238268615104924
u56,FRAC85,vol60-dg,30.0,True,30.0,True,30.0,True,30.0,True,,30.0,30.0,30.0,30.0,30.0,0.22795800512927855,0.33014301665214474,0.3531268134141393,0.03278870912516818,0.020825295000002603
u56,FRAC85,g200-dg,25.5,False,28.0,False,25.5,False,30.0,True,DD,30.0,30.0,30.0,25.5,28.0,0.28831605839722363,0.3084513565755157,0.3274002156207595,0.0042318092376895655,0.029206181387423702
broad,V1u,control,,False,,False,,False,,False,fails at 0,2.0,,,,,0.06970238567512932,-0.02757550991028146,-0.024730140963863945,-0.0054915383535877604,-0.01277092316349343
