panel,cost,mc_mean,exact_pool_mean,diff,mc_se,verdict
U56,0.0,1.3075299377960101,1.3064169845361535,0.0011129532598566083,0.0005743791555721146,PASS
U56,10.0,1.2429553645265532,1.2432649148373578,-0.00030955031080459605,0.00047277229471889696,PASS
U56,25.0,1.1484340709310652,1.148126855116343,0.0003072158147221504,0.0004113551687102621,PASS
B136,0.0,1.1544762444418515,1.1540499382341847,0.0004263062076668156,0.0004371072426669645,PASS
B136,10.0,1.087921737645783,1.0879619108626946,-4.017321691152098e-05,0.00031928278658692715,PASS
B136,25.0,0.9878696558205907,0.9884322406674274,-0.000562584846836689,0.0002847442369091956,PASS
