universe,book,cost_bps,pick,took_stop,IS_Sharpe,ctl_IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctl_OOS_Sharpe,regret,SPY_OOS_Sharpe,v1_OOS_Sharpe,pass4a,pass4b
broad,EWall,10.0,daily/next/stop25,True,1.146951250440525,1.1458535010857955,0.13941430614199257,1.142246998475669,-0.22223136486364203,1.1022031339130582,0.040043864562610665,0.8820239235972316,0.5726795060813383,True,False
broad,EWall,25.0,control (no stop),False,1.1359109440642108,1.1359109440642108,0.13778891144087635,1.0913501695849346,-0.25391347869315706,1.0913501695849346,0.0,0.8820239235972316,0.5726795060813383,False,False
broad,TOP20,10.0,control (no stop),False,1.0502048070115417,1.0502048070115417,0.14862653950160798,0.9301240819488711,-0.2596966291762923,0.9301240819488711,0.0,0.8820239235972316,0.5726795060813383,False,False
broad,TOP20,25.0,control (no stop),False,0.9096489511984301,0.9096489511984301,0.1257100029253504,0.8066189970303554,-0.26149610286554237,0.8066189970303554,0.0,0.8820239235972316,0.5726795060813383,False,False
broad,V1u,10.0,daily/same/stop15,True,0.7009109223345384,0.6997883642829793,0.05766989373692133,0.567833761969335,-0.23933861988217486,0.5726795060813383,-0.004845744112003336,0.8820239235972316,0.5726795060813383,False,False
broad,V1u,25.0,daily/same/stop15,True,0.2864636953376107,0.2853647584069271,0.009478178726799014,0.1410104060788664,-0.29332381355710624,0.14599987578246443,-0.004989469703598037,0.8820239235972316,0.5726795060813383,False,False
u56,EWall,10.0,control (no stop),False,1.1099714775734477,1.1099714775734477,0.1381731378987332,1.1357379992068701,-0.2252589051154077,1.1357379992068701,0.0,0.8820107671822842,0.7135835570891119,False,False
u56,EWall,25.0,control (no stop),False,1.0993258136003343,1.0993258136003343,0.13671134762230652,1.1250416500196643,-0.22547617750089244,1.1250416500196643,0.0,0.8820107671822842,0.7135835570891119,False,False
u56,TOP20,10.0,control (no stop),False,1.1869259287603628,1.1869259287603628,0.16638958865609776,1.1676752607259366,-0.22210408719864583,1.1676752607259366,0.0,0.8820107671822842,0.7135835570891119,False,False
u56,TOP20,25.0,control (no stop),False,1.0692805043296694,1.0692805043296694,0.15087237124064035,1.0721876011978528,-0.22340270136729112,1.0721876011978528,0.0,0.8820107671822842,0.7135835570891119,False,False
u56,V1u,10.0,daily/same/stop15,True,0.5961099815679317,0.5961099815679317,0.0714313855444102,0.711556444238919,-0.16196401256833803,0.7135835570891119,-0.002027112850192969,0.8820107671822842,0.7135835570891119,False,False
u56,V1u,25.0,daily/same/stop15,True,0.25045220562899934,0.25045220562899934,0.032396298546274016,0.35670865981619776,-0.2044516206725564,0.3592038657013107,-0.0024952058851129277,0.8820107671822842,0.7135835570891119,False,False
