grid,panel,book,cost,pts,sweep_pts,S_range,plateau_frac,PLATEAU,plateau_w_pp,mono_S,trend_S,n_mono_margins,c1_crossing,window_w,window_contig,window_interior,lo_bar,hi_bar,c2_crossing,adopted_pass4b,bind_bar,bind_margin,step_delta,thin_ratio,THIN,thin_pp,FLIP1,flip_pp,argmax_S,argmax_mmin,pass4b
PUB,broad,EWall,10.0,6,5,0.03845823823658301,1.0,True,8.0,0.5,1,0,False,0,False,False,,,False,False,CAGR,-0.026295147076505862,0.0015301680767555448,17.184482852537446,False,141.65822403058755,False,inf,8.0,8.0,0
PUB,broad,EWall,25.0,6,5,0.0882540252004056,0.6666666666666666,False,6.0,0.5,1,1,False,0,False,False,,,False,False,CAGR,-0.02954841415962299,0.0024942834537454717,11.846453984711495,False,93.83677958614744,False,inf,8.0,8.0,0
PUB,broad,TOP20,10.0,6,5,0.019414732041620253,1.0,True,8.0,0.5,1,0,False,0,False,False,,,False,False,DD,-0.014435205749682462,0.0048559460871258064,2.9726865765568125,False,10.578976205793474,False,inf,8.0,3.0,0
PUB,broad,TOP20,25.0,6,5,0.019652492280543554,1.0,True,8.0,0.5,1,0,False,0,False,False,,,False,False,H2,-0.1168510308383609,0.005025347536225022,23.25232832078673,False,63.938201950765425,False,inf,8.0,8.0,0
PUB,small,EWall,10.0,6,5,0.13861575091069844,0.16666666666666666,False,3.0,1.0,1,3,False,0,False,False,,,False,False,H1,-0.3224144775239517,0.032601785114081905,9.889473119209324,False,36.82856446437101,False,inf,8.0,8.0,0
PUB,small,EWall,25.0,6,5,0.20300842626608667,0.16666666666666666,False,3.0,1.0,1,4,False,0,False,False,,,False,False,H1,-0.384292536529922,0.04577736515962885,8.394815542350837,False,23.8571447117147,False,inf,8.0,8.0,0
PUB,small,TOP20,10.0,6,5,0.015277104656671425,1.0,True,8.0,0.75,1,1,False,0,False,False,,,False,False,H2,-0.14912088758811648,0.004357726872158907,34.219879300108346,False,125.51442136644297,False,inf,5.0,5.0,0
PUB,small,TOP20,25.0,6,5,0.015486909873815513,1.0,True,8.0,0.75,1,1,False,0,False,False,,,False,False,H2,-0.25888904133214585,0.004773626054866087,54.23320518963616,False,175.601248537118,False,inf,5.0,5.0,0
PUB,u56,EWall,10.0,6,5,0.08046024687613063,0.5,False,3.0,0.75,1,0,False,0,False,False,,,False,False,CAGR,-0.019762454800725374,0.0025919921552168823,7.624426933912448,False,43.31990653784662,False,inf,3.0,3.0,0
PUB,u56,EWall,25.0,6,5,0.06473481500864486,0.6666666666666666,False,6.0,0.75,1,0,False,0,False,False,,,False,False,CAGR,-0.022650338344435653,0.0025847862545271827,8.762944442606889,False,23.627712765774717,False,inf,3.0,3.0,0
PUB,u56,TOP20,10.0,6,5,0.026598982836042007,1.0,True,8.0,0.75,1,1,False,5,True,False,,,False,True,DD,0.004742353654230785,0.0012119988986109553,3.9128366037839557,False,3.9204797163631517,False,inf,8.0,0.0,5
PUB,u56,TOP20,25.0,6,5,0.03912963554486337,1.0,True,8.0,0.75,1,0,False,4,True,False,,,False,True,DD,0.003190714213407303,0.0012982189909893083,2.4577627007103153,False,2.520671072036817,False,5.0,8.0,0.0,4
FINE,broad,EWall,10.0,18,17,0.03963519937170079,1.0,True,8.0,0.5625,1,1,False,0,False,False,,,False,False,CAGR,-0.026295147076505862,0.0004966858346566738,52.94120597315195,False,92.73863273005084,False,inf,8.0,8.0,0
FINE,broad,EWall,25.0,18,17,0.0882540252004056,0.5555555555555556,False,6.5,0.6875,1,2,False,0,False,False,,,False,False,CAGR,-0.02954841415962299,0.0008739084985217582,33.81179403748218,False,168.1269321084332,False,inf,8.0,8.0,0
FINE,broad,TOP20,10.0,18,17,0.024468185870267,1.0,True,8.0,0.5625,-1,0,False,0,False,False,,,False,False,DD,-0.014435205749682462,2.220446049250313e-16,65010387235286.375,False,2.3540738788035687,False,inf,7.0,3.0,0
