selector,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,dOOS,mean_n,OOS4b,pass4a,pass4b
S0 do-nothing (IS-Sharpe argmax),0.13528314383543535,0.7515293011355744,-0.25755634537005023,0.0,8.545454545454545,0,3,0
SCREEN 4bIS [AS165],0.13446307665687504,0.7801828225389414,-0.2500527593077138,0.02865352140336713,9.727272727272727,2,3,2
SCREEN 4bIS [PUB],0.11748870234622633,0.7686800250409273,-0.24593883257912388,0.017150723905352952,13.909090909090908,3,4,3
SIZE n>=10,0.11856663226602066,0.80580617407917,-0.23650760348923996,0.05427687294359562,16.181818181818183,3,3,2
SIZE n>=15,0.11024425734448234,0.8275473395489171,-0.2254447833735029,0.07601803841334266,20.181818181818183,6,3,4
SIZE n>=20,0.1054667167322815,0.8223607305420295,-0.22545216724432027,0.07083142940645522,22.727272727272727,6,3,4
SIZE n>=25,0.10960228753664109,0.8812170090968536,-0.22230374533040598,0.1296877079612792,27.818181818181817,6,3,4
NULL matched to SCREEN 4bIS [AS165] (mean draw),,0.7787162540266053,,0.02718695289103101,,-1,-1,-1
NULL matched to SIZE n>=25 (mean draw),,0.798643084773733,,0.04711378363815879,,-1,-1,-1
RULES v1 @ each cell's cost,0.050421550425425246,0.48487460717844255,-0.21957618647365687,,,-1,-1,-1
SPY buy-and-hold,0.1545061826223454,0.8820155513331742,-0.33716769110305456,,,-1,-1,-1
