family,est,argmax,rng,turns,tv,tv_over_rng,OOS_D,OOS_2D,OOS_W,OOS_2W,OOS_M,OOS_6W,OOS_7W,OOS_8W,OOS_2M,OOS_10W,OOS_Q,OOS_16W,OOS_2Q
ALL,PH0,2M,0.2872098834169218,4,0.9466847283661184,3.29614258779488,0.6214600140553629,0.6620298183315754,0.6797916134382446,0.6887066093175185,0.7558913233285968,0.7797167509920108,0.6059406809299515,0.6505268323744994,0.8257831633530315,0.6932079354572596,0.5385732799361097,0.6297653872525257,0.6461728354635191
ALL,MEANPH,M,0.21731804339248706,5,0.6128689771634106,2.8201476858345313,0.6214600140553629,0.6641330894371144,0.6797916134382446,0.7080297886645863,0.7558913233285968,0.6769054841170251,0.6742749166248861,0.6742999358219842,0.7192931142666318,0.6702050179334207,0.5385732799361097,0.6529384593645733,0.5962204095788385
ALL,BLEND-DR,M,0.21731804339248706,7,0.6439296238825107,2.9630748272454404,0.6214600140553629,0.667197199590775,0.6797916134382446,0.7172090234970506,0.7558913233285968,0.6979720642845321,0.7008028175025666,0.7000819886183542,0.7398666290256086,0.6994531427086238,0.5385732799361097,0.6862523625636491,0.6269819612249764
ALL,BLEND-BH,M,0.21731804339248728,7,0.6430540703986403,2.9590459234774737,0.6214600140553619,0.6669405110191482,0.6797916134382439,0.7170427367589924,0.7558913233285968,0.7000489886616696,0.701607205408414,0.6972893512500863,0.7419141088751123,0.6976575547410778,0.5385732799361095,0.6835856948537331,0.6296593407819795
SMALL,PH0,2M,0.3106698056579462,5,0.8820543331934927,2.8392019988085115,0.13074533091151883,0.18962304769806904,0.20520275926815387,0.21472721979345488,0.3030347243140429,0.22151772616081,0.21555699328431904,0.3052131868362396,0.44141513656946507,0.3643350754511967,0.23647449584176292,0.3776943459622232,0.3274257713342867
SMALL,MEANPH,2M,0.1934519686995744,5,0.4773475970991164,2.4675251449129685,0.13074533091151883,0.18124408366500294,0.20520275926815387,0.22958687930549843,0.3030347243140429,0.26113311932801725,0.26787650106947175,0.2762952243686971,0.3241972996110932,0.2902693470508088,0.23647449584176292,0.3151330145937705,0.2814219186876176
SMALL,BLEND-DR,16W,0.21069120457077914,5,0.5131463136857324,2.435537424218139,0.13074533091151883,0.18264375830455318,0.20520275926815387,0.23371736161501355,0.3030347243140429,0.2736999831555726,0.28399027431066254,0.29264406685689026,0.3392911134863877,0.30970787731514976,0.23647449584176292,0.34143653548229796,0.30328414397353487
SMALL,BLEND-BH,2M,0.2139395162134574,5,0.5152333486123665,2.4083131425720072,0.13074533091151855,0.18251915518171025,0.20520275926815365,0.2341470301860826,0.30303472431404227,0.27572652117049296,0.28630687998042387,0.29098104490448257,0.34468484712497593,0.30817120966396255,0.23647449584176294,0.33918157657025344,0.3034215824701465
U56,PH0,6W,0.4190666468935712,4,1.170621200418878,2.7934010236710067,1.1802439692281967,1.2090623715933768,1.2230250732965673,1.2373355217778286,1.2699198629948025,1.38702396443922,1.0762384131263854,1.0888807395661992,1.3027843999784066,1.1244743460214546,0.9758412591106568,0.9679573175456487,1.05963990215589
U56,MEANPH,M,0.29407860388414575,5,0.6179518914319168,2.101315373747364,1.1802439692281967,1.2213019280461739,1.2230250732965673,1.248994566002444,1.2699198629948025,1.1731829663247118,1.1628996492897887,1.1538661208719985,1.1947449498132903,1.1310184213230772,0.9758412591106568,1.061562468845943,0.9948439426826478
U56,BLEND-DR,M,0.29407860388414575,7,0.6436905285911354,2.188838358484324,1.1802439692281967,1.2259815354085752,1.2230250732965673,1.2635339314460483,1.2699198629948025,1.2041227660004619,1.1994512804154727,1.189917391234479,1.2200009644370822,1.1704249519592578,0.9758412591106568,1.1037801022254738,1.0378629850291294
U56,BLEND-BH,M,0.294078603884146,7,0.6369828286309946,2.1660291507706484,1.1802439692281972,1.2255632136528178,1.2230250732965664,1.2627683825663742,1.269919862994802,1.2064499504012125,1.200288161525546,1.1845892183767532,1.2192637308334984,1.1686442090000335,0.9758412591106561,1.0997728537823888,1.0449014230998708
ETF,PH0,6W,0.4513742912106884,4,1.2258456999286251,2.715807532238109,0.7913130126415691,0.8164497426771022,0.8412506946203576,0.8438652752414247,0.9142862185627898,1.001250513809311,0.7153035758436984,0.7249113685577913,0.919510208921436,0.7502678927808539,0.5498762225986227,0.6658607606934884,0.7059968639933422
ETF,MEANPH,M,0.3644099959641671,5,0.8538672599192825,2.3431499392877364,0.7913130126415691,0.8239812593987665,0.8412506946203576,0.877480240375073,0.9142862185627898,0.7979869678081671,0.7890902555422653,0.785710443535943,0.8304987004812275,0.7735385197937035,0.5498762225986227,0.7459043527246982,0.6650249387074483
ETF,BLEND-DR,M,0.3644099959641671,5,0.8808037392228554,2.4170679975240468,0.7913130126415691,0.8279013068949415,0.8412506946203576,0.8887959771304716,0.9142862185627898,0.8218011193964518,0.8210578278140035,0.815230166799554,0.8545262409299473,0.8071940002543596,0.5498762225986227,0.7807238812953456,0.6967431509153879
ETF,BLEND-BH,M,0.36440999596416856,5,0.8784370123244681,2.4105733159165106,0.7913130126415675,0.8276101246289471,0.8412506946203591,0.8883440491962332,0.9142862185627915,0.8237025998635715,0.819584308260115,0.8132957571820426,0.8543897543638995,0.8049991098390499,0.5498762225986229,0.7787864691338824,0.6988308995937801
