panel,chooser,cadence,n,gross,n_eligible,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,full_CAGR,full_Sharpe,full_MaxDD,H1,H2,pass4b,pass4b_oos,pass4a,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD
B136,CH_ISSHARPE,M,20,1.0,24,0.2080859836927318,1.0051190817446478,-0.33675172386421526,0.21790885109126035,1.098868309749659,-0.33675172386421526,1.3379769460189916,0.9122633916978986,False,False,False,0.8769078511614361,0.15331427255204866,-0.3371595330739301
B136,CH_GATED,M,40,0.6,2,0.11571087479783504,1.0969035960678541,-0.19319095899992578,0.11175486871429574,1.102144754603533,-0.19319095899992567,1.229148232509644,0.9978350659566614,True,True,False,0.8769078511614361,0.15331427255204866,-0.3371595330739301
B136,CH_MATCH,M,20,1.0,0,0.2080859836927318,1.0051190817446478,-0.33675172386421526,0.21790885109126035,1.098868309749659,-0.33675172386421526,1.3379769460189916,0.9122633916978986,False,False,False,0.8769078511614361,0.15331427255204866,-0.3371595330739301
B136,CH_CSTAR,M,20,1.0,24,0.2080859836927318,1.0051190817446478,-0.33675172386421526,0.21790885109126035,1.098868309749659,-0.33675172386421526,1.3379769460189916,0.9122633916978986,False,False,False,0.8769078511614361,0.15331427255204866,-0.3371595330739301
SMALL,CH_ISSHARPE,M,20,1.0,24,0.07943175955123993,0.43728779957533453,-0.45436706239304037,0.10298018452783309,0.5443077223275606,-0.4543670623930405,0.7649138502453015,0.3800053692841381,False,False,False,0.8768940791478297,0.15331699963496637,-0.33717235283398317
SMALL,CH_GATED,M,20,1.0,0,0.07943175955123993,0.43728779957533453,-0.45436706239304037,0.10298018452783309,0.5443077223275606,-0.4543670623930405,0.7649138502453015,0.3800053692841381,False,False,False,0.8768940791478297,0.15331699963496637,-0.33717235283398317
SMALL,CH_MATCH,M,20,1.0,0,0.07943175955123993,0.43728779957533453,-0.45436706239304037,0.10298018452783309,0.5443077223275606,-0.4543670623930405,0.7649138502453015,0.3800053692841381,False,False,False,0.8768940791478297,0.15331699963496637,-0.33717235283398317
SMALL,CH_CSTAR,M,20,1.0,0,0.07943175955123993,0.43728779957533453,-0.45436706239304037,0.10298018452783309,0.5443077223275606,-0.4543670623930405,0.7649138502453015,0.3800053692841381,False,False,False,0.8768940791478297,0.15331699963496637,-0.33717235283398317
U56,CH_ISSHARPE,M,5,1.0,24,0.20379665635187272,0.8289883791599595,-0.34606709963805427,0.24724733044373304,1.0118556653552577,-0.34606709963805393,1.2605272151426699,0.8182283333827896,False,False,False,0.8685843027246067,0.15150873781069918,-0.33717235283398317
U56,CH_GATED,M,10,0.6,7,0.137216473068549,1.092614207595474,-0.19013569756385307,0.13282105251285925,1.1203618274336926,-0.19013569756385285,1.2127159926901017,1.051882396607654,True,True,False,0.8685843027246067,0.15150873781069918,-0.33717235283398317
U56,CH_MATCH,M,5,1.0,0,0.20379665635187272,0.8289883791599595,-0.34606709963805427,0.24724733044373304,1.0118556653552577,-0.34606709963805393,1.2605272151426699,0.8182283333827896,False,False,False,0.8685843027246067,0.15150873781069918,-0.33717235283398317
U56,CH_CSTAR,M,5,1.0,24,0.20379665635187272,0.8289883791599595,-0.34606709963805427,0.24724733044373304,1.0118556653552577,-0.34606709963805393,1.2605272151426699,0.8182283333827896,False,False,False,0.8685843027246067,0.15150873781069918,-0.33717235283398317
