K,scheme,bk,n,families,max_gap,detail,rate_lo,rate_hi
3,count,0,216,3,0.7916666666666667,ABS:0.17(n12); QEXP:0.57(n108); QROLL:0.96(n96),0.0,0.0677775275838775
3,count,1,216,2,0.16774193548387095,ABS:0.80(n30); QROLL:0.97(n186),0.06888662938485003,0.12379257752923234
3,count,2,216,2,0.566060606060606,ABS:0.39(n66); QROLL:0.96(n150),0.12384598063499212,0.8248601931875953
3,width,0,624,3,0.3915343915343915,ABS:0.57(n84); QEXP:0.57(n108); QROLL:0.96(n432),0.0,0.24428063040162684
4,count,0,162,2,0.38888888888888884,QEXP:0.57(n108); QROLL:0.96(n54),0.0,0.05201531186669669
4,count,1,162,2,0.37318840579710144,ABS:0.58(n24); QROLL:0.96(n138),0.05465175394001017,0.10047307952241495
4,count,2,162,2,0.3030303030303031,ABS:0.67(n30); QROLL:0.97(n132),0.10250056318990763,0.15296237891416986
4,count,3,162,2,0.6296296296296295,ABS:0.33(n54); QROLL:0.96(n108),0.1531876548772246,0.8248601931875953
4,width,0,588,3,0.39161220043572986,ABS:0.61(n72); QEXP:0.57(n108); QROLL:0.97(n408),0.0,0.1977032199954965
4,width,1,36,2,0.5833333333333333,ABS:0.33(n12); QROLL:0.92(n24),0.2150482968988307,0.24428063040162684
5,count,0,130,2,0.4611111111111111,QEXP:0.49(n90); QROLL:0.95(n40),0.0,0.04829689883070666
5,count,1,129,3,0.41666666666666663,ABS:0.58(n24); QEXP:1.00(n18); QROLL:0.95(n87),0.04829689883070666,0.08464667005592272
5,count,2,130,2,0.48305084745762716,ABS:0.50(n12); QROLL:0.98(n118),0.08464667005592272,0.12023385866802237
5,count,3,129,2,0.24943988050784172,ABS:0.69(n26); QROLL:0.94(n103),0.12023385866802237,0.16707948660211663
5,count,4,130,2,0.6718426501035196,ABS:0.30(n46); QROLL:0.98(n84),0.16707948660211663,0.8248601931875953
5,width,0,516,3,0.38569604086845466,ABS:0.60(n60); QEXP:0.57(n108); QROLL:0.96(n348),0.0,0.1612249493357352
5,width,1,108,2,0.47619047619047616,ABS:0.50(n24); QROLL:0.98(n84),0.16707948660211663,0.24428063040162684
6,count,0,108,2,0.5277777777777777,QEXP:0.42(n72); QROLL:0.94(n36),0.0,0.0448097275388426
6,count,1,108,3,0.8,ABS:0.17(n12); QEXP:0.89(n36); QROLL:0.97(n60),0.04640684838927686,0.0677775275838775
6,count,2,108,2,0.04166666666666663,ABS:1.00(n12); QROLL:0.96(n96),0.06888662938485003,0.10047307952241495
6,count,3,108,2,0.3111111111111111,ABS:0.67(n18); QROLL:0.98(n90),0.10250056318990763,0.12379257752923234
6,count,4,108,2,0.3487179487179487,ABS:0.60(n30); QROLL:0.95(n78),0.12384598063499212,0.17405989641972527
6,count,5,108,2,0.75,ABS:0.22(n36); QROLL:0.97(n72),0.17513980681240468,0.8248601931875953
6,width,0,456,3,0.3925925925925926,ABS:0.62(n48); QEXP:0.57(n108); QROLL:0.97(n300),0.0,0.13116420945602442
6,width,1,168,2,0.4545454545454546,ABS:0.50(n36); QROLL:0.95(n132),0.14073406890340012,0.24428063040162684
8,count,0,81,2,0.47222222222222215,QEXP:0.42(n72); QROLL:0.89(n9),0.0,0.0340620233858668
8,count,1,81,2,0.0888888888888889,QEXP:0.89(n36); QROLL:0.98(n45),0.0340620233858668,0.05201531186669669
8,count,2,81,2,0.4920634920634921,ABS:0.44(n18); QROLL:0.94(n63),0.05465175394001017,0.07092018301982715
8,count,4,81,2,0.47101449275362317,ABS:0.50(n12); QROLL:0.97(n69),0.10250056318990763,0.12226975906327403
8,count,5,81,2,0.19047619047619047,ABS:0.78(n18); QROLL:0.97(n63),0.12226975906327403,0.15296237891416986
8,count,6,81,2,0.4126984126984127,ABS:0.56(n18); QROLL:0.97(n63),0.1531876548772246,0.18923180896598332
8,count,7,81,2,0.7333333333333334,ABS:0.22(n36); QROLL:0.96(n45),0.18923180896598332,0.8248601931875953
8,width,0,330,3,0.3855218855218855,ABS:0.58(n24); QEXP:0.57(n108); QROLL:0.96(n198),0.0,0.10250056318990763
8,width,1,258,2,0.3464285714285714,ABS:0.62(n48); QROLL:0.97(n210),0.10560684530511145,0.1977032199954965
8,width,2,36,2,0.5833333333333333,ABS:0.33(n12); QROLL:0.92(n24),0.2150482968988307,0.24428063040162684
