panel,key,klass,dir,m,sigma,B,published_Sharpe,mean_Sharpe,sd_Sharpe,min_Sharpe,max_Sharpe,range_Sharpe
u56,MOM,RATIO,POS,1.0,0.25,6,1.06088027382214,1.06088027382214,0.0,1.06088027382214,1.06088027382214,0.0
u56,MOM,RATIO,NEG,1.0,0.25,6,0.939878882535132,0.939878882535132,0.0,0.939878882535132,0.939878882535132,0.0
u56,REBASED,RATIO,POS,1.0,0.25,6,1.1288343457805177,1.1288343457805177,0.0,1.1288343457805177,1.1288343457805177,0.0
u56,REBASED,RATIO,NEG,1.0,0.25,6,0.8429819192027188,0.8429819192027189,1.2161883888976234e-16,0.8429819192027188,0.8429819192027188,0.0
u56,DDTR,RATIO,POS,1.0,0.25,6,0.9978122940741604,0.9978122940741604,0.0,0.9978122940741604,0.9978122940741604,0.0
u56,DDTR,RATIO,NEG,1.0,0.25,6,1.0215524634627178,1.0215524634627178,0.0,1.0215524634627178,1.0215524634627178,0.0
u56,PRICE,LEVEL,POS,1.0,0.25,6,0.9431676325397648,0.9349238937399944,0.021897114695665833,0.8981532242709647,0.9523850982567528,0.054231873985788104
u56,PRICE,LEVEL,NEG,1.0,0.25,6,1.172911060003237,1.177973843266533,0.03451762329354315,1.1491113925504965,1.2418558419496395,0.09274444939914295
u56,FROZEN,LEVEL,POS,1.0,0.25,6,0.8663297054564575,0.9028135636247329,0.01968527470264462,0.8767924194086479,0.9337883332146584,0.056995913806010434
u56,FROZEN,LEVEL,NEG,1.0,0.25,6,1.1325417636044128,1.1352740115235627,0.020124695168184232,1.1088719401973857,1.1696756713901448,0.06080373119275917
u56,PXTERM,LEVEL,POS,1.0,0.25,6,1.1190046702787275,1.1527401783070772,0.017094849077469658,1.1302057030020034,1.1740756130576573,0.04386991005565388
u56,PXTERM,LEVEL,NEG,1.0,0.25,6,0.9333433487405495,0.9393198950709691,0.036098647409981824,0.9054152599672635,0.9905183796408965,0.08510311967363304
broad,MOM,RATIO,POS,1.0,0.25,6,0.975516800594191,0.9755168005941909,1.2161883888976234e-16,0.975516800594191,0.975516800594191,0.0
broad,MOM,RATIO,NEG,1.0,0.25,6,0.9437119235497395,0.9437119235497394,1.2161883888976234e-16,0.9437119235497395,0.9437119235497395,0.0
broad,REBASED,RATIO,POS,1.0,0.25,6,0.9739157702018559,0.9739157702018559,0.0,0.9739157702018559,0.9739157702018559,0.0
broad,REBASED,RATIO,NEG,1.0,0.25,6,0.9526847261078878,0.9526847261078878,0.0,0.9526847261078878,0.9526847261078878,0.0
broad,DDTR,RATIO,POS,1.0,0.25,6,0.6858260849601854,0.6858260849601853,1.2161883888976234e-16,0.6858260849601854,0.6858260849601854,0.0
broad,DDTR,RATIO,NEG,1.0,0.25,6,1.021453193597063,1.021453193597063,0.0,1.021453193597063,1.021453193597063,0.0
broad,PRICE,LEVEL,POS,1.0,0.25,6,0.6446515005683741,0.6802814591892009,0.02610864597843784,0.6302614027438306,0.7029167448740272,0.07265534213019664
broad,PRICE,LEVEL,NEG,1.0,0.25,6,1.3247686696484076,1.3321516192964802,0.025048467621498535,1.3047271889977785,1.3730003614189894,0.06827317242121089
broad,FROZEN,LEVEL,POS,1.0,0.25,6,0.7742799919787707,0.7744659386771438,0.031554082634839734,0.7234135200957899,0.8160234962825728,0.0926099761867829
broad,FROZEN,LEVEL,NEG,1.0,0.25,6,1.2082554718705953,1.2086922725896037,0.016897114874254063,1.1873699768123613,1.2293995876842203,0.04202961087185897
broad,PXTERM,LEVEL,POS,1.0,0.25,6,1.0282715973331902,1.0418202047822724,0.029877152200256652,0.9947013049580782,1.0778809343845048,0.08317962942642665
broad,PXTERM,LEVEL,NEG,1.0,0.25,6,0.8908706827523696,0.8975078815690304,0.030874355823099036,0.8579556675354746,0.9290008515731699,0.07104518403769533
small,MOM,RATIO,POS,1.0,0.25,6,0.6394215865840213,0.6394215865840213,0.0,0.6394215865840213,0.6394215865840213,0.0
small,MOM,RATIO,NEG,1.0,0.25,6,0.11461769941477438,0.11461769941477438,0.0,0.11461769941477438,0.11461769941477438,0.0
small,REBASED,RATIO,POS,1.0,0.25,6,0.23884238035432043,0.23884238035432045,3.0404709722440586e-17,0.23884238035432043,0.23884238035432043,0.0
small,REBASED,RATIO,NEG,1.0,0.25,6,0.7719199407861761,0.7719199407861761,0.0,0.7719199407861761,0.7719199407861761,0.0
small,DDTR,RATIO,POS,1.0,0.25,6,0.308493838168603,0.30849383816860293,6.080941944488117e-17,0.308493838168603,0.308493838168603,0.0
small,DDTR,RATIO,NEG,1.0,0.25,6,0.3115777734118229,0.31157777341182286,6.080941944488117e-17,0.3115777734118229,0.3115777734118229,0.0
small,PRICE,LEVEL,POS,1.0,0.25,6,-0.021706515890954133,-0.03333273899368835,0.047572494641972225,-0.11814117619741835,0.01860321290016161,0.13674438909757997
small,PRICE,LEVEL,NEG,1.0,0.25,6,1.067172597688121,1.0311699299418848,0.07917176670997246,0.9393730821770883,1.1348433172036783,0.19547023502659
small,FROZEN,LEVEL,POS,1.0,0.25,6,0.15173326689409403,0.11108527283183839,0.0742626028523152,-0.014986543615514618,0.1746472744093356,0.18963381802485024
small,FROZEN,LEVEL,NEG,1.0,0.25,6,0.6709519108114613,0.6731709211633455,0.04475795738991693,0.5984620835112235,0.7375042154929483,0.13904213198172477
small,PXTERM,LEVEL,POS,1.0,0.25,6,0.7503278990079418,0.7622582963115553,0.10023880850828006,0.6313734289000614,0.917563105182699,0.2861896762826376
small,PXTERM,LEVEL,NEG,1.0,0.25,6,0.06884550086182764,0.07677621307923164,0.03750298975484587,0.05253587538851005,0.15204199809899166,0.0995061227104816
small,DVOL,LEVEL,POS,1.0,0.25,6,-0.2954162545172238,-0.2528737309821007,0.045292854738183626,-0.2896778965487636,-0.18882798690257124,0.10084990964619234
small,DVOL,LEVEL,NEG,1.0,0.25,6,1.301895060227924,1.2680988807326925,0.029069859821967282,1.2162856185479525,1.2923880883892533,0.07610246984130087
small,DVOLT,LEVEL,POS,1.0,0.25,6,0.2061634489364403,0.23718027874517258,0.026398198678651248,0.18802244876180002,0.26312206565419094,0.07509961689239092
small,DVOLT,LEVEL,NEG,1.0,0.25,6,0.6678280616754587,0.65231199762727,0.04154979196835311,0.6006431843780807,0.7173732627411352,0.11673007836305449
small,VOLSH,RATIO,POS,1.0,0.25,6,0.14039315754306483,0.14039315754306483,0.0,0.14039315754306483,0.14039315754306483,0.0
small,VOLSH,RATIO,NEG,1.0,0.25,6,0.9536089303122098,0.9536089303122098,0.0,0.9536089303122098,0.9536089303122098,0.0
