panel,book,gross,cost,w_pts,n_pass,base_to,drag
broad,EWALL,0.5,0.0,0,0,1.45892680307649,0.0
broad,EWALL,0.5,5.0,0,0,1.45892680307649,0.0007294634015382449
broad,EWALL,0.5,10.0,0,0,1.45892680307649,0.0014589268030764898
broad,EWALL,0.5,15.0,0,0,1.45892680307649,0.002188390204614735
broad,EWALL,0.5,25.0,0,0,1.45892680307649,0.0036473170076912246
broad,EWALL,0.5,50.0,0,0,1.45892680307649,0.007294634015382449
broad,EWALL,0.75,0.0,0,0,2.167919232160117,0.0
broad,EWALL,0.75,5.0,0,0,2.167919232160117,0.0010839596160800583
broad,EWALL,0.75,10.0,0,0,2.167919232160117,0.0021679192321601166
broad,EWALL,0.75,15.0,0,0,2.167919232160117,0.0032518788482401753
broad,EWALL,0.75,25.0,0,0,2.167919232160117,0.005419798080400292
broad,EWALL,0.75,50.0,0,0,2.167919232160117,0.010839596160800585
broad,EWALL,1.0,0.0,6,6,2.8754319753684747,0.0
broad,EWALL,1.0,5.0,5,5,2.8754319753684747,0.0014377159876842373
broad,EWALL,1.0,10.0,4,4,2.8754319753684747,0.0028754319753684747
broad,EWALL,1.0,15.0,2,2,2.8754319753684747,0.004313147963052712
broad,EWALL,1.0,25.0,1,1,2.8754319753684747,0.007188579938421187
broad,EWALL,1.0,50.0,1,1,2.8754319753684747,0.014377159876842373
broad,TOP20,0.5,0.0,2,3,8.632780470901592,0.0
broad,TOP20,0.5,5.0,0,0,8.632780470901592,0.004316390235450796
broad,TOP20,0.5,10.0,0,0,8.632780470901592,0.008632780470901592
broad,TOP20,0.5,15.0,0,0,8.632780470901592,0.012949170706352387
broad,TOP20,0.5,25.0,0,0,8.632780470901592,0.021581951177253977
broad,TOP20,0.5,50.0,0,0,8.632780470901592,0.043163902354507955
broad,TOP20,0.75,0.0,0,0,12.89941973854961,0.0
broad,TOP20,0.75,5.0,0,0,12.89941973854961,0.006449709869274805
broad,TOP20,0.75,10.0,0,0,12.89941973854961,0.01289941973854961
broad,TOP20,0.75,15.0,0,0,12.89941973854961,0.019349129607824415
broad,TOP20,0.75,25.0,0,0,12.89941973854961,0.03224854934637403
broad,TOP20,0.75,50.0,0,0,12.89941973854961,0.06449709869274806
broad,TOP20,1.0,0.0,0,0,17.182168549639897,0.0
broad,TOP20,1.0,5.0,0,0,17.182168549639897,0.008591084274819949
broad,TOP20,1.0,10.0,0,0,17.182168549639897,0.017182168549639897
