scope,episode,n,cells,clusters,slope,R2,t,p,mean_slope,t_slope,mean_rho,t_rho,frac_pos,hit_n,hit,hit_z,level_shift,frac_worse,level_ratio
REF broad136 (SPY investable),full,93,3,1,1.6932019625353776,0.9185049787636876,,,1.6932109952490226,478.5531012173317,0.9551075268817205,143.59218715061866,1.0,21,0.8571428571428571,6.425396041156863,-0.0614446344710393,1.0,1.71877677968363
REF broad136 (SPY investable),ex2020,93,3,1,0.9389825727780489,0.888558202609895,,,0.9389748724598653,310.31601108840687,0.8623655913978495,228.70570026049012,1.0,21,0.7142857142857143,4.913538149119955,-0.004469186255675073,0.7741935483870968,1.0522803550271678
REF broad136 (SPY investable),ex2022,93,3,1,1.6932019625353776,0.9185049787636876,,,1.6932109952490226,478.5531012173317,0.9551075268817205,143.59218715061866,1.0,21,0.8571428571428571,6.425396041156863,-0.0614446344710393,1.0,1.71877677968363
REF broad136 (SPY investable),exboth,93,3,1,0.8408332527606178,0.9657906031023531,,,0.840832300333716,2179.142663841671,0.9220430107526884,102.73191399874844,1.0,21,0.7142857142857143,4.913538149119955,0.008331837245981676,0.0967741935483871,0.9025345142652366
REF broad136 (ex-SPY),full,93,3,1,1.692494464125526,0.9189146935195345,,,1.6925036875855526,497.0109843293702,0.9506720430107528,147.1308301376008,1.0,21,0.8571428571428571,6.425396041156863,-0.06137435828980815,1.0,1.719567637812171
REF broad136 (ex-SPY),ex2020,93,3,1,0.9388621752834172,0.8893098258081569,,,0.9388537421560436,301.0529420441601,0.8620967741935485,808.0880432936999,1.0,21,0.7142857142857143,4.913538149119955,-0.004236218744742882,0.7741935483870968,1.0496664405192888
REF broad136 (ex-SPY),ex2022,93,3,1,1.692494464125526,0.9189146935195345,,,1.6925036875855526,497.0109843293702,0.9506720430107528,147.1308301376008,1.0,21,0.8571428571428571,6.425396041156863,-0.06137435828980815,1.0,1.719567637812171
REF broad136 (ex-SPY),exboth,93,3,1,0.8404064572401565,0.9654824053946484,,,0.8404052554870818,1878.0783825667363,0.9162634408602152,65.21429781790837,1.0,21,0.7142857142857143,4.913538149119955,0.008365066148489362,0.0967741935483871,0.9019259662123327
REF u56 (SPY investable),full,93,3,1,1.7130913968113244,0.9001562946129008,,,1.7133374788018518,103.823672425628,0.9380376344086022,110.2237469089079,1.0,21,0.8571428571428571,6.425396041156863,-0.05352097109051019,1.0,1.6269942636695311
REF u56 (SPY investable),ex2020,93,3,1,1.1821017976777746,0.9035151147454581,,,1.1821324953522654,573.2515639507449,0.9702956989247312,208.0481212703426,1.0,21,0.8571428571428571,6.425396041156863,0.0015085361149063533,0.10752688172043011,0.9823276096955512
REF u56 (SPY investable),ex2022,93,3,1,1.7130913968113244,0.9001562946129008,,,1.7133374788018518,103.823672425628,0.9380376344086022,110.2237469089079,1.0,21,0.8571428571428571,6.425396041156863,-0.05352097109051019,1.0,1.6269942636695311
REF u56 (SPY investable),exboth,93,3,1,0.9634960625881633,0.9471549415028361,,,0.9635762556776387,179.1417135093149,0.9481182795698926,109.73755985347232,1.0,21,0.8571428571428571,6.425396041156863,0.004984328147046428,0.07526881720430108,0.9416089601371448
REF u56 (ex-SPY),full,93,3,1,1.7185076503315926,0.9064684322342079,,,1.7187615359628914,103.17469623930782,0.9485215053763443,114.67598122848376,1.0,21,0.8571428571428571,6.425396041156863,-0.05351237373026087,1.0,1.6325632967477663
REF u56 (ex-SPY),ex2020,93,3,1,1.1891718965902012,0.9030668636830286,,,1.1892075595715192,505.5168694358965,0.9661290322580646,149.36154279573108,1.0,21,0.9047619047619048,6.929348671835833,0.0012578777103472104,0.10752688172043011,0.9851307797450068
REF u56 (ex-SPY),ex2022,93,3,1,1.7185076503315926,0.9064684322342079,,,1.7187615359628914,103.17469623930782,0.9485215053763443,114.67598122848376,1.0,21,0.8571428571428571,6.425396041156863,-0.05351237373026087,1.0,1.6325632967477663
REF u56 (ex-SPY),exboth,93,3,1,0.9670576561003084,0.9510652429068176,,,0.9671468332428798,165.29656328479064,0.9463709677419355,116.91239748146258,1.0,21,0.8571428571428571,6.425396041156863,0.004526017950943071,0.07526881720430108,0.9464984892911016
e=0.00 k=100,full,93,3,1,1.6505283807228905,0.9016038046977912,,,1.6505310655747618,719.8698986530721,0.9444892473118282,233.3277053450504,1.0,21,0.8571428571428571,6.425396041156863,-0.06770643584660518,1.0,1.7583940227817834
e=0.00 k=100,ex2020,93,3,1,0.9442194989276781,0.8647065770136578,,,0.9442158238962061,295.26468580493173,0.8501344086021506,216.56387527708145,1.0,21,0.7142857142857143,4.913538149119955,-0.009878401598434623,0.7741935483870968,1.1106500531775734
e=0.00 k=100,ex2022,93,3,1,1.6505283807228905,0.9016038046977912,,,1.6505310655747618,719.8698986530721,0.9444892473118282,233.3277053450504,1.0,21,0.8571428571428571,6.425396041156863,-0.06770643584660518,1.0,1.7583940227817834
e=0.00 k=100,exboth,93,3,1,0.8484281666157018,0.9158230037269918,,,0.8484266643221977,660.5999939834595,0.8776881720430109,73.91873923607682,1.0,21,0.5714285714285714,3.401680257083045,0.0009032819034494599,0.5161290322580645,0.989882149489968
e=0.00 k=20,full,558,18,6,1.6437124919285626,0.8259460361680196,16.6222193815958,0.0,1.6758082404689867,31.90168834527347,0.9148280495447018,52.11196989002255,1.0,126,0.8174603174603174,14.710252696386094,-0.07600617390407982,1.0,1.798098218286368
e=0.00 k=20,ex2020,558,18,6,0.9486113201757259,0.7381987241152606,12.012948519301327,0.0,0.9711249094508302,21.98582238375969,0.8348535354808847,46.91853368510655,1.0,126,0.6666666666666666,10.801234497346433,-0.02016325985279182,0.6505376344086021,1.2117230869122124
e=0.00 k=20,ex2022,558,18,6,1.647305408049942,0.8221302493088042,16.444408076914225,0.0,1.6801097812967063,31.41451587225244,0.9156793040249885,51.58872718435901,1.0,126,0.8174603174603174,14.710252696386094,-0.0749231354738293,1.0,1.786725838950323
e=0.00 k=20,exboth,558,18,6,0.8304957358995241,0.8962813805927068,18.71381133292994,0.0,0.8443764223205976,35.388685001684664,0.9159368041970899,116.49277210194414,1.0,126,0.7380952380952381,12.652874696891537,0.004233376706862813,0.3673835125448029,0.9555476847006391
