panel,dial,value,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,MISS_full,L_H1,L_H2,L_OOS,L_DD,L_CAGR,A_H1,A_H2,A_DD,pass4b,pass4a
U56,GROSS,0.75,0.15578668168705812,1.139700973748421,-0.19127568902302328,1.203742907417884,1.0970651527689368,0.13911411272723173,1.111898434102762,-0.1395225553008913,0.1696947758085483,1.1643314948267134,-0.19127568902302317,7.072619578865213,True,True,True,True,True,False,False,False,True,False
U56,GROSS,0.65,0.13480401426794475,1.1393779211240733,-0.16728472783934845,1.2034628945890664,1.0966643661388287,0.12045115950517693,1.1116681851828996,-0.12142550898346571,0.14675738319632714,1.1639311376823183,-0.16728472783934878,4.67352346049773,True,True,True,True,True,False,False,False,True,False
U56,GROSS,0.55,0.11386068330886356,1.1390100939583327,-0.14291447375060684,1.203133869600626,1.0962241843796319,0.10180176980907607,1.1113894436354554,-0.10316664358683714,0.12388675263616333,1.1634891279133808,-0.14291447375060629,2.23649805162357,True,True,True,True,True,False,False,False,True,False
U56,GROSS,0.45,0.09297140530058834,1.1385991658513437,-0.11809417065750327,1.2027565738245591,1.0957470175710884,0.0831782234579812,1.111062753224024,-0.08474962569960465,0.10109971762891212,1.163007939867685,-0.11809417065750294,1.2704752424845256,True,True,True,True,False,False,False,True,False,False
U56,GROSS,0.35,0.07215046274232884,1.1381505359724737,-0.09276262767838162,1.2023408746572048,1.0952346035533385,0.06459304021063916,1.1106996395637374,-0.06617692972612133,0.07841209628705603,1.1624886125240645,-0.0927626276783815,3.352569498310476,True,True,True,True,False,False,False,True,False,False
B136,GROSS,0.75,0.16040704123612182,1.0634318900924733,-0.20740302267849475,1.2898666135999557,0.8844777366429588,0.16061313997190863,1.1441918935936697,-0.14636241107806824,0.16023726571201902,1.0100346106764955,-0.20740302267849475,8.499316864659468,True,True,True,False,True,True,False,False,False,False
B136,GROSS,0.65,0.13895172068729855,1.0626200842874902,-0.1815398564875792,1.289070505668076,0.8835634940278978,0.13894382265320337,1.1435145080141078,-0.12733247761124222,0.13895822785259915,1.0090979821698232,-0.18153985648757875,5.913000245567912,True,True,True,True,True,True,False,False,True,False
B136,GROSS,0.55,0.11748409738093457,1.06176197335862,-0.15513526976429914,1.2882271314270397,0.8826087872006162,0.11732547317238184,1.1427905042402007,-0.10814275954909958,0.11761480345776176,1.008117261923511,-0.15513526976429937,3.2725415732399066,True,True,True,True,True,True,False,False,True,False
B136,GROSS,0.45,0.0960234496348773,1.0608624235478246,-0.1281841567538472,1.2873402010089618,0.8816191019661377,0.09577401897855609,1.1420239200748576,-0.08879853620873712,0.09622899612292013,1.007097767395711,-0.12818415675384776,1.0120276079466834,True,True,True,True,False,True,False,False,False,False
B136,GROSS,0.35,0.07458782816568266,1.0599245358909708,-0.10068113078456065,1.286415610203458,0.8805950792182164,0.07430453322055297,1.1412208722254356,-0.06930575655301052,0.07482128862695192,1.0060403957911241,-0.10068113078456076,3.155589754866148,True,True,True,True,False,True,False,True,False,False
