tau,delta,deleted,of
0.005,0.0,0,72
0.005,0.005,9,72
0.005,0.01,9,72
0.005,0.02,9,72
0.005,0.05,9,72
0.01,0.0,0,72
0.01,0.005,17,72
0.01,0.01,17,72
0.01,0.02,17,72
0.01,0.05,17,72
0.02,0.0,0,72
0.02,0.005,28,72
0.02,0.01,28,72
0.02,0.02,28,72
0.02,0.05,28,72
0.05,0.0,0,72
0.05,0.005,40,72
0.05,0.01,40,72
0.05,0.02,40,72
0.05,0.05,40,72
0.1,0.0,0,72
0.1,0.005,49,72
0.1,0.01,51,72
0.1,0.02,51,72
0.1,0.05,51,72
0.25,0.0,0,72
0.25,0.005,59,72
0.25,0.01,62,72
0.25,0.02,62,72
0.25,0.05,62,72
0.5,0.0,0,72
0.5,0.005,64,72
0.5,0.01,68,72
0.5,0.02,68,72
0.5,0.05,68,72
1.0,0.0,0,72
1.0,0.005,67,72
1.0,0.01,71,72
1.0,0.02,71,72
1.0,0.05,71,72
