claim_set,n_units,names_rung,adjudicated,states_resolution,frac_states_resolution,states_margin,frac_states_margin,states_rung_count,frac_states_rung_count
C_STRICT,1455,1455,1455,229,0.15738831615120275,166,0.1140893470790378,930,0.6391752577319587
C_PROX,1661,1661,1455,250,0.15051173991571343,174,0.10475617098133655,1041,0.6267308850090307
C_ALL,6414,1661,5403,696,0.10851262862488306,449,0.07000311817898347,3327,0.5187090739008419
