scope,increment,k_star,amend,unrecoverable,extra_draws
SC_BLOCK,INC_ONE,12,450,154,11000
SC_BLOCK,INC_TWO,12,450,154,11000
SC_BLOCK,INC_REC,12,450,154,11000
SC_RESAMPLE,INC_ONE,12,1371,1074,11000
SC_RESAMPLE,INC_TWO,12,1371,1074,11000
SC_RESAMPLE,INC_REC,12,1371,1074,11000
SC_ALL,INC_ONE,12,7931,7631,11000
SC_ALL,INC_TWO,12,7931,7631,11000
SC_ALL,INC_REC,12,7931,7631,11000
