panel,book,s,rho,rho_over_s,band_nonempty_pred,v_lo_analytic,v_hi_analytic,g_lo_exact,g_hi_exact,n_g_both,n_g_both_legal,n_g_sharpe,n_g_4b,n_g_4b_legal,n_g_4a,Sharpe,H1,H2,OOS_Sharpe
B136,EWALL,1.1561508114813461,0.8886455999425493,0.7686242928843778,True,0.605457344360731,0.6751847981228848,0.8,0.8,1,1,20,1,1,9,1.0278757756974226,1.1481693570881313,0.9153630325868606,1.0197958500223399
B136,EWBAND3,1.1974230401321204,0.8444778389482722,0.7052460247091077,True,0.5845887180547017,0.7104982183395726,0.8,0.9,2,2,20,2,2,9,1.0645688468935761,1.1651192797620513,0.9706327100585108,1.073888691339224
B136,EWNOGATE,1.265938477407568,1.0951028346786376,0.865052176090916,False,0.5529494619939855,0.5478937511618006,,,0,0,20,0,0,6,1.1254824902845406,1.2468058675127347,1.0269093359442998,1.1032462866175123
B136,TOP10,1.004442354211816,0.6900353151182743,0.6869834911130801,True,0.6969041051134176,0.8695207141639671,0.6,0.7,2,2,0,0,0,7,0.8929993853102731,1.1101887343957384,0.7133027022773496,0.783087080736492
B136,TOP20,1.0763423012262912,0.7601619099591508,0.7062455030273252,True,0.6503507287621053,0.7893055310180466,0.7,0.7,1,1,0,0,0,7,0.9569220267824663,1.1245837518769575,0.8112968660035689,0.8919109997076113
B136,TOP40,1.1296828459504193,0.8409953111854563,0.7444525817136881,True,0.6196429400599416,0.7134403628888817,0.7,0.7,1,1,20,1,1,8,1.004344433305874,1.1329623826861264,0.8877027837298183,0.9806549301523665
B136,TOP5,0.9900617038828252,0.6238924143687217,0.6301550821751206,True,0.7070266401121659,0.961704271732656,0.5,0.6,2,2,0,0,0,6,0.8802142694195482,1.0159838873259095,0.7743886421261417,0.8138364984573807
B136,V1,0.7181672049898293,1.0409514489047653,1.4494555608669255,False,0.9747033770637206,0.5763957585450201,,,0,0,0,0,0,0,0.6384864894602731,0.7562118752060613,0.53790268160566,0.5819967077749229
SMALL,EWALL,0.3901342980677043,1.508058615779266,3.86548586793965,False,1.7942539363163639,0.39786251921644256,,,0,0,0,0,0,0,0.3361144561927857,0.4394315275258105,0.25876426065803804,0.29096153130134794
SMALL,EWBAND3,0.44106024644759023,1.5167739247486889,3.4389268517513565,False,1.5870847704774471,0.39557642059241804,,,0,0,0,0,0,0,0.37998895666758553,0.501756913193058,0.29055781092615574,0.31143922817964537
SMALL,EWNOGATE,0.7469376537311776,1.1416118877992283,1.5283897954488364,False,0.9371598774051489,0.5255726630148057,,,0,0,0,0,0,9,0.6435131300611805,0.8136560853228896,0.6184297053345124,0.6273748277940845
SMALL,TOP10,0.5546187793301355,0.7499895199118289,1.3522613150922527,False,1.2621281970391534,0.8000111789169239,,,0,0,0,0,0,0,0.4778236374811229,0.5334951835522445,0.43344393059439656,0.5518920661123933
SMALL,TOP20,0.5372511993737235,0.8260944479750078,1.5376316496603273,False,1.3029286873924035,0.7263092028650846,,,0,0,0,0,0,0,0.46286085486665735,0.6033892846653531,0.3477080548134003,0.4873261474551357
SMALL,TOP40,0.4836704416194494,0.8191671543645125,1.693647334787994,False,1.447266443771559,0.7324512424640165,,,0,0,0,0,0,0,0.41669914249178214,0.4267369347024977,0.41118963198497127,0.47143691331668514
SMALL,TOP5,0.3681680225395224,0.823040229478329,2.2355016706807462,False,1.90130580915635,0.7290044623703272,,,0,0,0,0,0,0,0.3171897351664521,0.4427200830977866,0.21185054191185718,0.41812573550030774
SMALL,V1,0.6382153552494858,1.2961716799150633,2.0309315174787272,False,1.0968084585278615,0.46290164281271545,,,0,0,0,0,0,0,0.5498450357377693,0.7420318520884241,0.37499378301892894,0.4612988033930826
u56,EWALL,1.1860232536166335,0.8409639172093825,0.7090619131159236,True,0.5902076522238794,0.7134669962904158,0.8,0.9,2,2,20,2,2,6,1.0544097869779518,1.0731127231208477,1.0405288516238542,1.1179201643470598
u56,EWBAND3,1.2842400924787731,0.8018711051892794,0.6243934525058704,True,0.5450694181715636,0.7482499320864937,0.8,1.0,3,3,20,3,3,6,1.1417274646259075,1.1170833645046634,1.1669745470466155,1.2408464299997117
u56,EWNOGATE,1.2695713586221866,1.0314915021664348,0.8124722530649006,True,0.5513671959012064,0.5816819612569022,,,0,0,20,0,0,4,1.1286865259311598,1.2040922985560263,1.0788487081122824,1.1399210529819888
u56,TOP10,1.0423424889595791,0.6535545649373077,0.627005587759986,True,0.6715642962024022,0.9180564748370399,0.7,0.8,2,2,0,0,0,5,0.926673333250845,0.9175602280119559,0.9400328841682196,0.9713000763974526
u56,TOP20,1.2457608775105165,0.8300534735766564,0.6663024088823574,True,0.5619055892964424,0.7228449962562433,0.7,0.8,2,2,20,2,2,5,1.1075183032675309,1.109854576127613,1.1116757756063143,1.1774855445356025
u56,TOP40,1.2708019950711633,0.869538950037049,0.6842442437213485,True,0.5508332554677811,0.6900208437752391,0.9,1.1,3,2,20,3,2,7,1.1297805981696727,1.082503085134391,1.175088652722577,1.2682347044432116
u56,TOP5,1.0689443774548968,0.6387520849815088,0.5975540902346534,True,0.6548516599775426,0.9393315718372478,0.5,0.6,2,2,0,0,0,4,0.9503231997235522,0.8990998075171356,0.9996141057462737,0.9938163868184413
u56,V1,0.7529966509224358,0.7213350477244858,0.9579525311843499,False,0.9296190084544016,0.8317909990548112,,,0,0,0,0,0,0,0.669436316592555,0.6409659860757589,0.6970841799522023,0.7572627991254554
