panel,stat,b_GAP,b_SD,signature,b_GAP_nested,b_SD_nested,level_full
U56,Q50,-0.3993481053561523,-0.5796212756596234,ULCER,-0.49591910094537733,-0.4756941584134268,0.01638138285502
U56,Q75,-0.30557554430564343,-0.3448829965032423,ULCER,-0.20864845268252916,-0.17303680558777718,0.04980096568079312
U56,Q90,-0.3083153959742098,-0.13265652882759338,ULCER,-0.075980436712182,0.0049188725953499745,0.08823751941432226
U56,Q95,-0.21739751305655627,-0.07502274932513144,ULCER,0.10982576331798993,0.06620992968036721,0.104400427139896
U56,Q99,-0.08329461403486205,-0.042761143405731915,ULCER,0.41924408498652815,0.10122321275517186,0.13412607806938945
U56,Q995,-0.08105548579545706,-0.05139043690740248,ULCER,0.2824447832734924,0.09567592973699143,0.15179398746816783
U56,Q100,0.2990470473066888,-0.05196036098351873,ULCER,0.6578307335168374,0.1008599184874172,0.19127563591226449
U56,K21,0.46063963295009935,0.18050187183312724,MAXDD,0.9911685285900496,0.4045629298868545,0.19127563591226449
U56,K63,0.2795320289599262,-0.13029100103053531,ULCER,0.6610705423929034,0.08274990458834873,0.19127563591226449
U56,K126,0.2971461856700303,-0.11095291091779763,ULCER,0.6578307335168374,0.029426243531297528,0.19127563591226449
U56,K252,0.2990470473066888,-0.0800437942686049,ULCER,0.6578307335168374,0.059825686365822334,0.19127563591226449
U56,KFULL,0.2990470473066888,-0.05196036098351873,ULCER,0.6578307335168374,0.1008599184874172,0.19127563591226449
U56,ULCER,-0.3186087378301946,-0.24995813972869924,ULCER,-0.17293897781681947,-0.09805711444158526,0.047098038672403454
U56,CALMAR,-0.3329144403148558,-0.7792090683031498,ULCER,-0.4191034725853266,-0.7146190536444796,0.8250626613466923
B135,Q50,-0.42788011643575813,-0.5746078686112172,ULCER,0.07540004628009628,-0.4487271667648756,0.02049484203168206
B135,Q75,-0.17984919104313868,-0.31935569649999407,ULCER,0.20920512307879974,-0.18759867124699506,0.04947925342273496
B135,Q90,-0.22428262801585958,-0.14780918978704807,ULCER,0.27842152135310705,-0.04606089049475426,0.08749828986209221
B135,Q95,-0.11429815531992747,-0.06722610422324192,ULCER,0.408596917976169,0.013492864421145194,0.10676761348643192
B135,Q99,0.3743238024011187,-0.025145271656667613,ULCER,0.6922000489494813,0.0679855641070818,0.1359120869472666
B135,Q995,0.30370198805826776,-0.033467572242700076,ULCER,0.6618257088428742,0.059247706626901354,0.1491477302916514
B135,Q100,0.2950220055797194,-0.014720087856237905,ULCER,0.7609169297505611,0.06061214242856742,0.20740302267849475
B135,K21,0.4205799641703559,0.19473770833624277,MAXDD,0.6141852618477512,0.2985537747888679,0.19255493454746397
B135,K63,0.2805006879976895,-0.11670154155383679,ULCER,0.7609169297505611,-0.001163826313359524,0.20740302267849475
B135,K126,0.2950220055797194,-0.11392638020856731,ULCER,0.7609169297505611,-0.04381445508062073,0.20740302267849475
B135,K252,0.2950220055797194,-0.07426521139831502,ULCER,0.7609169297505611,-0.0017340648436500474,0.20740302267849475
B135,KFULL,0.2950220055797194,-0.014720087856237905,ULCER,0.7609169297505611,0.06061214242856742,0.20740302267849475
B135,ULCER,-0.146910530279849,-0.2550735637544801,ULCER,0.4015116374880577,-0.12582606429054433,0.04784239561949634
B135,CALMAR,-0.5927711781160261,-0.7623701686576473,ULCER,-0.608617589097961,-0.8636457287632422,0.7803555336154125
SMALL663,Q50,0.03242334970432984,0.09254765112260178,MAXDD,-0.22463492873368343,0.4682530783726735,0.06044741921254565
SMALL663,Q75,0.025663520765125628,0.18708613507503014,MAXDD,-0.1645331521496317,0.4807264917664356,0.11821216279671415
SMALL663,Q90,0.13058784414318053,0.198118794570906,MAXDD,-0.033094268160904945,0.4571994300924359,0.1648802955923613
SMALL663,Q95,0.17554370393889523,0.2000654774428167,MAXDD,0.03604189566260987,0.44104934901932896,0.18878063001089318
SMALL663,Q99,0.14097685720001787,0.17616840699470898,MAXDD,0.007100994541938198,0.41213829268883356,0.22567634807792314
SMALL663,Q995,0.08905256174845116,0.16952830182991102,MAXDD,-0.030544786685584593,0.40986290551446375,0.2488038888462219
SMALL663,Q100,0.021981369131391676,0.17489442207530914,MAXDD,-0.1904626382297189,0.4020396965146063,0.35814054180328136
SMALL663,K21,0.20558372525631813,0.5667592441756654,MAXDD,-0.06717760656863957,0.8000248207265722,0.3474288288585998
SMALL663,K63,-0.04117450666019377,0.307731362443996,mixed,-0.37683474321731025,0.5086720083144506,0.35814054180328136
SMALL663,K126,-0.09205221415846247,0.19223783969212457,mixed,-0.37683474321731025,0.35424080071453334,0.35814054180328136
SMALL663,K252,-0.15399344992525088,0.11808607246318305,mixed,-0.37683474321731025,0.294526271692629,0.35814054180328136
SMALL663,KFULL,0.021981369131391676,0.17489442207530914,MAXDD,-0.1904626382297189,0.4020396965146063,0.35814054180328136
SMALL663,ULCER,0.05566402485844832,0.14343355142729375,MAXDD,-0.19602696883549683,0.45902020864049814,0.09678622360485631
SMALL663,CALMAR,-0.9165476097092234,-0.8391348876577854,ULCER,-0.9613554321803042,-0.7314879656088558,0.21986958851966348
