parent,kind,seed,arm,gross,cadence,Sharpe,CAGR,MaxDD,H1,H2,OOS_Sharpe,keep4a,fail4b,keep4b
U56,REAL,-1,EWall,0.5,W,1.1225615674521916,0.08787581658627475,-0.1540613386852545,1.200418710414303,1.060119520773849,1.131397689473859,False,CAGR,False
U56,REAL,-1,MA-RS,0.5,W,1.091251187402833,0.07685481740688616,-0.12691709586450628,1.1802212252583062,1.026014636834432,1.1078597586252963,False,CAGR,False
U56,REAL,-1,EWall,0.5,M,1.1333494603457737,0.08782974761305495,-0.15165159915670923,1.197200733433345,1.081816993081574,1.1531879584359663,False,CAGR,False
U56,REAL,-1,MA-RS,0.5,M,1.1577272546018436,0.08341814757924526,-0.12420551301004268,1.2179637083483172,1.1142895226857656,1.192412588820213,False,CAGR,False
U56,REAL,-1,EWall,0.75,W,1.1232617805868643,0.1323141888137609,-0.22456687664384067,1.202146476571811,1.0601222935838515,1.1312617928450484,False,DD,False
U56,REAL,-1,MA-RS,0.75,W,1.0913835754263106,0.11551466393347187,-0.18623041492877712,1.180711419528564,1.025985714122393,1.1077813550589952,False,-,True
U56,REAL,-1,EWall,0.75,M,1.1334226281398192,0.13249977399054647,-0.22208494960118297,1.2010033203765262,1.0791636583194628,1.1501277358865563,False,DD,False
U56,REAL,-1,MA-RS,0.75,M,1.1593950929595145,0.1260094314002118,-0.1820781888734183,1.2207120270382843,1.1151307823169632,1.193048216778216,False,-,True
U56,REAL,-1,EWall,1.0,W,1.1236875520285141,0.1768935586885565,-0.2909289185181174,1.2036386334333382,1.0598419703984816,1.1308279501643184,False,DD,False
U56,REAL,-1,MA-RS,1.0,W,1.091447495232596,0.15420136108489446,-0.24285458426962836,1.1811382664162622,1.025900463911291,1.1076321004617942,False,DD,False
U56,REAL,-1,EWall,1.0,M,1.1332224216975748,0.17755324461156796,-0.28913213888600797,1.2045601528076244,1.0763032038741909,1.1467883621858255,False,DD,False
U56,REAL,-1,MA-RS,1.0,M,1.1609819736474989,0.16911595836308457,-0.23730396705009593,1.22339163965592,1.115905572105241,1.1935727459296295,False,DD,False
U56,DRAW,0,EWall,0.5,W,1.189803669910017,0.0842937974281377,-0.13411844147098395,1.337669871247007,1.0800384418310218,1.1529285523046637,False,CAGR,False
U56,DRAW,0,MA-RS,0.5,W,1.1816335228082666,0.07691324151817547,-0.10040215733321634,1.3818497761058572,1.0354186477645595,1.1242788969116693,False,CAGR,False
U56,DRAW,0,EWall,0.5,M,1.2018528935796646,0.08434757861038622,-0.13136792685792154,1.3382222946581053,1.0993657360531228,1.1737624527295507,False,CAGR,False
U56,DRAW,0,MA-RS,0.5,M,1.236499484207052,0.08228004494425867,-0.09842725679982411,1.390029835468187,1.1207986339175589,1.2101637010266997,False,CAGR,False
U56,DRAW,0,EWall,0.75,W,1.1904187813714473,0.1271548004159364,-0.19635458804558337,1.338918342514779,1.0803811990426577,1.1531324866300028,False,-,True
U56,DRAW,0,MA-RS,0.75,W,1.1822319646581887,0.11595353936921082,-0.14807770501449546,1.3821718737515687,1.0364146509287888,1.1251659854330631,False,-,True
U56,DRAW,0,EWall,0.75,M,1.2017370283348954,0.12743650376189963,-0.19303859660883627,1.3413685417953571,1.0973554958655465,1.1712939589793407,False,-,True
U56,DRAW,0,MA-RS,0.75,M,1.2386688149855372,0.12453731592435857,-0.14487939586207643,1.392460603552791,1.1228758236937098,1.2118640579187558,False,-,True
U56,DRAW,0,EWall,1.0,W,1.190796798518823,0.1703546945517327,-0.2554955275825268,1.3399752484709768,1.0804785373840944,1.153079214311209,False,DD,False
U56,DRAW,0,MA-RS,1.0,W,1.1827494429694267,0.15528944586947202,-0.19410120056630242,1.3824254884991287,1.0373385250058407,1.1259704314243446,False,-,True
U56,DRAW,0,EWall,1.0,M,1.2014108434572077,0.17105377351056994,-0.2521651832962909,1.3443046108007162,1.0952244242759737,1.168648077668941,False,DD,False
U56,DRAW,0,MA-RS,1.0,M,1.240754833388068,0.16749200893646488,-0.18958506869182656,1.3948091287581101,1.1248872360314073,1.2134698753493796,False,-,True
U56,DRAW,1,EWall,0.5,W,1.1307821859403664,0.08707308815544179,-0.14174413637501404,1.2400131268757177,1.0442363931848775,1.1193313286745852,False,CAGR,False
U56,DRAW,1,MA-RS,0.5,W,1.0925950343442268,0.07735273079478433,-0.12529661298272288,1.1893440021111024,1.0151620486458548,1.1024805538438285,False,CAGR,False
U56,DRAW,1,EWall,0.5,M,1.1406811534677426,0.08700014255108934,-0.14082455535065685,1.2391066418843542,1.0618337998094312,1.1378070947037275,False,CAGR,False
U56,DRAW,1,MA-RS,0.5,M,1.1145103499709679,0.08073526192096603,-0.12543056648716067,1.1616799295590892,1.078921022418161,1.1645342867018629,False,CAGR,False
U56,DRAW,1,EWall,0.75,W,1.1316873835242895,0.13114969610715987,-0.20722010883501718,1.2419231591414328,1.0444886409796843,1.1194318771962581,False,DD,False
U56,DRAW,1,MA-RS,0.75,W,1.0929898988201387,0.11629567022863974,-0.1839564412082363,1.190612781416734,1.0149487103598025,1.1021690211054669,False,-,True
U56,DRAW,1,EWall,0.75,M,1.141408858055389,0.13130705025191824,-0.2063805415926354,1.2435827472334133,1.0599296238687872,1.1354778494965216,False,DD,False
U56,DRAW,1,MA-RS,0.75,M,1.1166593985225453,0.12183685902487129,-0.18389235202180876,1.1658433733100382,1.0794545084839826,1.1647874850516307,False,-,True
U56,DRAW,1,EWall,1.0,W,1.1323414378532546,0.17540837754310323,-0.2692444048845225,1.2436143892717018,1.0444862130818229,1.1192644731415746,False,DD,False
U56,DRAW,1,MA-RS,1.0,W,1.0933096936978492,0.1552884360753859,-0.24002364924569541,1.191805723814309,1.014676969981355,1.1017860994854518,False,DD,False
U56,DRAW,1,EWall,1.0,M,1.141931767222011,0.17604717181576723,-0.26888676703022296,1.2478102094747918,1.0579385038638252,1.132997119796107,False,DD,False
U56,DRAW,1,MA-RS,1.0,M,1.118754810120152,0.16335642327805333,-0.23969149094319597,1.169942189718642,1.0799703781981913,1.1649750349466725,False,DD,False
U56,DRAW,2,EWall,0.5,W,1.078237800433367,0.08118070043247116,-0.15885173617916948,1.11999319309389,1.0508078877340676,1.1110191690571642,False,CAGR,False
U56,DRAW,2,MA-RS,0.5,W,0.9721400513226538,0.06647499892201636,-0.12405999862755246,0.9640733733003832,0.9899845035935987,1.062337244840975,False,CAGR,False
