panel,cost,sel,scaler,n,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pass4b_oos,v1_OOS_CAGR,v1_OOS_Sharpe,v1_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD
u56,10.0,S1_ISSharpe,NONE,20.0,0.9928968404730495,-0.11653190552192016,0.14360571273280298,1.167991233806965,-0.18308348697878107,True,0.07730300522922962,0.747063834691694,-0.13827796154480798,0.15450717694493266,0.8820107671822842,-0.33717235283398284
u56,10.0,S2_4bAware,NOTHING,,,,,,,,,0.747063834691694,,,0.8820107671822842,
u56,25.0,S1_ISSharpe,NONE,20.0,0.8577174907477432,-0.12545350656369159,0.12730703643605445,1.0495601201126592,-0.18440712200737241,True,0.037834702288707334,0.39920030769495,-0.14177187688535975,0.15450717694493266,0.8820107671822842,-0.33717235283398284
u56,25.0,S2_4bAware,NOTHING,,,,,,,,,0.39920030769495,,,0.8820107671822842,
broad,10.0,S1_ISSharpe,POS,5.0,1.1162986561809611,-0.25386210114919794,0.22349276000469476,1.0085969211486898,-0.297079527559294,False,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301
broad,10.0,S2_4bAware,NOTHING,,,,,,,,,0.5762505378038233,,,0.8820239235972316,
broad,25.0,S1_ISSharpe,POS,20.0,0.9612791818187691,-0.16113203958073785,0.13018454981544103,0.8559462612046633,-0.22824228173612648,False,0.011143568780353386,0.15539928865606328,-0.26721084947028584,0.1545044425578177,0.8820239235972316,-0.3371595330739301
broad,25.0,S2_4bAware,NOTHING,,,,,,,,,0.15539928865606328,,,0.8820239235972316,
small,10.0,S1_ISSharpe,INV,20.0,0.7663146771497567,-0.15003102562942705,0.03297913279679032,0.31320345166957564,-0.29271044400117396,False,0.07921670849894169,0.5806618551671671,-0.3283573771619781,0.15450717694493266,0.8820107671822842,-0.33717235283398284
small,10.0,S2_4bAware,NOTHING,,,,,,,,,0.5806618551671671,,,0.8820107671822842,
small,25.0,S1_ISSharpe,INV,20.0,0.4749597340464804,-0.15659471545839154,-0.005643616657441841,0.022646029179294588,-0.3758880452549934,False,0.026724735037732872,0.250067051410945,-0.43035606447187935,0.15450717694493266,0.8820107671822842,-0.33717235283398284
small,25.0,S2_4bAware,NOTHING,,,,,,,,,0.250067051410945,,,0.8820107671822842,
