uni,q,book,arm,frac_pos_full,frac_pos_IS,frac_pos_OOS,frac_priceable,dMaxDD_med,dCAGR_med,rate_med
universe.json(56),0.1,TOP3,stop15,0.8,0.55,0.8,0.8,0.8366608936575426,2.1009234929195597,2.6173507607041326
universe.json(56),0.1,TOP3,stop25,0.1,0.15,0.1,0.1,-1.7233073080902273,0.2576813789753607,0.17971493577751502
universe.json(56),0.1,TOP3,v1gate-dg,1.0,0.75,1.0,1.0,13.285497466168433,9.201024148051285,0.6664579498809146
universe.json(56),0.1,TOP3,v1gate-rw,1.0,0.675,1.0,1.0,8.422972733516687,6.907225814659601,0.8422327907400866
universe.json(56),0.1,TOP3,vol60-dg,1.0,0.8,1.0,1.0,13.316695402523703,9.289907280250386,0.653376152806631
universe.json(56),0.1,TOP3,vol60-rw,1.0,0.25,1.0,1.0,7.803657347537468,6.6842675103722655,0.8535854029944003
universe.json(56),0.1,TOP40,abs12-dg,1.0,1.0,1.0,1.0,3.801767088092589,3.5211069519792693,0.9327858646614149
universe.json(56),0.1,TOP40,abs12-rw,1.0,1.0,1.0,1.0,3.6271324229535997,3.266006380998665,0.8899982214536739
universe.json(56),0.1,TOP40,band3-dg,1.0,1.0,1.0,1.0,6.640192498716008,3.378659426855257,0.512170757663224
universe.json(56),0.1,TOP40,band3-rw,1.0,1.0,1.0,1.0,6.640192498716019,3.2080644924532775,0.4876025199520203
universe.json(56),0.1,TOP40,ddctl-8/.5/high,1.0,1.0,1.0,1.0,6.128952214031208,5.04373012686401,0.808871431796764
universe.json(56),0.1,TOP40,ddctl-8/.5/recover,1.0,1.0,1.0,1.0,6.1289522140312025,3.4132752293779434,0.5485297274014447
universe.json(56),0.1,TOP40,ebud-0.10,0.35,0.925,0.0,0.0,0.0,-0.02311795763733082,
universe.json(56),0.1,TOP40,ebud-0.20,0.325,0.325,0.0,0.0,-5.551115123125783e-15,-0.03484043979713469,
universe.json(56),0.1,TOP40,g200-dg,1.0,1.0,1.0,1.0,6.891182688652325,3.868160925798192,0.5677693167071078
