phi,uni,pub_IS,pub_OOS,n_star_IS,n_star_OOS,n_star_full,adm_pub_IS_mean,adm_pub_OOS_mean
0.0,u56,162,159,,10,40,0.5666856770305047,0.7997322498793568
0.0,broad,139,152,136.0,136,136,0.4979449122306265,0.8347296813462227
0.05,u56,155,146,,5,40,0.5842839699982557,0.871933621933622
0.05,broad,113,150,136.0,136,136,0.6559621549769333,0.8509368659744599
0.1,u56,146,146,,5,40,0.6287689002726596,0.871933621933622
0.1,broad,112,147,136.0,136,136,0.6573696145124716,0.8580133807909128
0.25,u56,138,145,,5,40,0.643087914591674,0.8784695696460403
0.25,broad,106,136,136.0,5,40,0.6786499215070644,0.8900928792569659
0.5,u56,117,145,,5,40,0.7555197517603532,0.8784695696460403
0.5,broad,100,131,136.0,5,40,0.7368707482993198,0.9087003222341569
