window,arm,char,outcome,strata,resid,b,t,n,dof,r2,ctrl_t,sig
full,EWall,breadth,Sharpe,3,none,0.08123919410762125,8.113990545694655,168,166,0.28397920642896557,,True
full,EWall,breadth,Sharpe,3,partial,0.0412476421131751,3.397401499362064,168,165,0.38288144081178743,-5.142339196040639,True
full,EWall,breadth,Sharpe,3,residx,0.041247642113175026,2.736691075897755,168,166,0.043169638466259874,,True
full,EWall,breadth,Sharpe,3,ratio,0.08333741450181727,8.411286959795111,168,166,0.29883769179085007,,True
full,EWall,breadth,Sharpe,5,none,0.04153041165043746,4.318041238909406,168,166,0.10097988928129731,,True
full,EWall,breadth,Sharpe,5,partial,0.013500574749087356,1.233646302662118,168,165,0.20288190075793966,-4.592741640498259,False
full,EWall,breadth,Sharpe,5,residx,0.013500574749087354,1.1088338781373472,168,166,0.007352246325513456,,False
full,EWall,breadth,Sharpe,5,ratio,0.04415192389017305,4.6245556356328255,168,166,0.11413049037600553,,True
full,EWall,breadth,Sharpe,7,none,0.026234798234288183,2.7906616118386363,168,166,0.04481207875293569,,True
full,EWall,breadth,Sharpe,7,partial,0.0033706880539527313,0.33390447986161936,168,165,0.15812583849761996,-4.712590535222798,False
full,EWall,breadth,Sharpe,7,residx,0.003370688053952731,0.3073841503466327,168,166,0.0005688630533111638,,False
full,EWall,breadth,Sharpe,7,ratio,0.03255780574917443,3.5079862605943393,168,166,0.06901601651276856,,True
full,EWall,breadth,Sharpe,21,none,0.015256048423587257,1.7144186095645866,168,166,0.01739815641687259,,False
full,EWall,breadth,Sharpe,21,partial,-0.0004769689674554711,-0.050167646946093575,168,165,0.09648506214947239,-3.800376252103753,False
full,EWall,breadth,Sharpe,21,residx,-0.00047696896745547086,-0.04783067002019332,168,166,1.3781575092908227e-05,,False
full,EWall,breadth,Sharpe,21,ratio,0.021833524199914883,2.4766608481737995,168,166,0.03563418231828197,,True
full,EWall,breadth,CAGR,3,none,0.00947162392305481,6.467759921542667,168,166,0.20127764168377815,,True
full,EWall,breadth,CAGR,3,partial,0.005324038502707607,2.8853632901403703,168,165,0.2567468005115411,-3.509129280259329,True
full,EWall,breadth,CAGR,3,residx,0.005324038502707602,2.54320306583276,168,166,0.037501949726988504,,True
full,EWall,breadth,CAGR,3,ratio,0.008681996819061866,5.812686646712039,168,166,0.1691164635935125,,True
full,EWall,breadth,CAGR,5,none,0.004906897268422127,3.456541949060898,168,166,0.06714154460931121,,True
full,EWall,breadth,CAGR,5,partial,0.0024160462277408963,1.438284549947911,168,165,0.10546918706624753,-2.6588900140018303,False
full,EWall,breadth,CAGR,5,residx,0.0024160462277408937,1.372156396839508,168,166,0.011215044242784633,,False
full,EWall,breadth,CAGR,5,ratio,0.0037367054179459546,2.593316517064388,168,166,0.03893633952483144,,True
full,EWall,breadth,CAGR,7,none,0.0025377339633769758,1.8449121206031287,168,166,0.020092245435168965,,False
full,EWall,breadth,CAGR,7,partial,0.0005667448365104747,0.3678759020303134,168,165,0.06044183811794979,-2.6619489031444408,False
full,EWall,breadth,CAGR,7,residx,0.0005667448365104747,0.35780190627419745,168,166,0.0007706237781853753,,False
full,EWall,breadth,CAGR,7,ratio,0.0018556622936214955,1.3426617385122268,168,166,0.010743212764104282,,False
full,EWall,breadth,CAGR,21,none,0.0010856628855607693,0.8351261494663089,168,166,0.004183841716906667,,False
full,EWall,breadth,CAGR,21,partial,0.0001242470373937713,0.08638942716746462,168,165,0.018207755778328782,-1.5352064786119188,False
full,EWall,breadth,CAGR,21,residx,0.00012424703739377256,0.08586024193720047,168,166,4.4407552854730525e-05,,False
full,EWall,breadth,CAGR,21,ratio,0.0002696610731427854,0.20702414108531264,168,166,0.0002581200736454514,,False
full,EWall,breadth,MaxDD,3,none,0.02852264677572192,6.3692574689840615,168,166,0.19638835901494434,,True
full,EWall,breadth,MaxDD,3,partial,-0.0022050937841520497,-0.4898122045106619,168,165,0.5239640053179553,-10.655599263791322,False
full,EWall,breadth,MaxDD,3,residx,-0.002205093784152093,-0.33908761358909467,168,166,0.0006921736342259122,,False
full,EWall,breadth,MaxDD,3,ratio,0.036051455804632204,8.711706905291463,168,166,0.3137485356428964,,True
full,EWall,breadth,MaxDD,5,none,0.026164550464258182,5.990178116970351,168,166,0.17773844277747508,,True
full,EWall,breadth,MaxDD,5,partial,0.002250744542867021,0.5505270598246117,168,165,0.5066592999571078,-10.488519885330843,False
full,EWall,breadth,MaxDD,5,residx,0.0022507445428670047,0.3880262276905864,168,166,0.0009061922477467954,,False
full,EWall,breadth,MaxDD,5,ratio,0.0358165964973821,9.104846430155359,168,166,0.33306074137504926,,True
full,EWall,breadth,MaxDD,7,none,0.022711894862535248,5.206240594949299,168,166,0.14036378858840315,,True
full,EWall,breadth,MaxDD,7,partial,0.0030318790084562057,0.7898234449402195,168,165,0.49122361090346034,-10.66707423093147,False
full,EWall,breadth,MaxDD,7,residx,0.003031879008456207,0.5656185742669416,168,166,0.0019235480821953033,,False
full,EWall,breadth,MaxDD,7,ratio,0.03303589152697845,8.37392316369522,168,166,0.29697535252117735,,True
full,EWall,breadth,MaxDD,21,none,0.019186326397650277,4.87222321362509,168,166,0.12511193909699148,,True
full,EWall,breadth,MaxDD,21,partial,0.004893048173427159,1.3719101891171928,168,165,0.4218957574896324,-9.2036268605868,False
full,EWall,breadth,MaxDD,21,residx,0.004893048173427165,1.0497297949813935,168,166,0.006594374014987414,,False
full,EWall,breadth,MaxDD,21,ratio,0.029933776768357335,8.525810395517308,168,166,0.3045356427040211,,True
full,EWall,breadth,DDnorm,3,none,0.09887778845151449,3.5187459512485857,168,166,0.06941060590719916,,True
full,EWall,breadth,DDnorm,3,partial,-0.01057628911604594,-0.309173169366818,168,165,0.19164867908522554,-4.9951110032334105,False
full,EWall,breadth,DDnorm,3,residx,-0.01057628911604606,-0.27887890138559485,168,166,0.0004682953054242489,,False
full,EWall,breadth,DDnorm,3,ratio,0.13115400391054763,4.80543290076868,168,166,0.12212130987519965,,True
full,EWall,breadth,DDnorm,5,none,0.10641410894635883,3.823300857737405,168,166,0.08093135478184998,,True
full,EWall,breadth,DDnorm,5,partial,0.014836071348605151,0.47690982931593245,168,165,0.21371367327215762,-5.278636228816311,False
full,EWall,breadth,DDnorm,5,residx,0.014836071348605128,0.4243988417074657,168,166,0.001083850360303562,,False
full,EWall,breadth,DDnorm,5,ratio,0.14821562069044827,5.560246544108317,168,166,0.1570024172455946,,True
full,EWall,breadth,DDnorm,7,none,0.09979061385482912,3.5996404349660707,168,166,0.07240499943387035,,True
full,EWall,breadth,DDnorm,7,partial,0.022618280666642024,0.7761762218768739,168,165,0.21656568370240648,-5.510158534421306,False
full,EWall,breadth,DDnorm,7,residx,0.02261828066664198,0.6900741152936796,168,166,0.0028604826279271522,,False
full,EWall,breadth,DDnorm,7,ratio,0.14293300643279527,5.381458221048488,168,166,0.14854369528102496,,True
full,EWall,breadth,DDnorm,21,none,0.09367716903674503,3.5900160437653823,168,166,0.07204619477297813,,True
full,EWall,breadth,DDnorm,21,partial,0.03815712451588489,1.3963339843309335,168,165,0.18021563158783382,-4.665996835340329,False
full,EWall,breadth,DDnorm,21,residx,0.0381571245158849,1.2742803347087146,168,166,0.00968711164344438,,False
full,EWall,breadth,DDnorm,21,ratio,0.13774110313691387,5.534237098276504,168,166,0.1557652749751346,,True
full,EWall,breadth,CAGRnorm,3,none,0.08902641595497461,8.251835911087195,168,166,0.2908795020397624,,True
full,EWall,breadth,CAGRnorm,3,partial,0.04500550633842917,3.4522050324104376,168,165,0.3930928517010541,-5.271505405468171,True
full,EWall,breadth,CAGRnorm,3,residx,0.045005506338429084,2.758694430725931,168,166,0.04383605580632943,,True
full,EWall,breadth,CAGRnorm,3,ratio,0.09177752469523066,8.618494765817923,168,166,0.3091348866341205,,True
full,EWall,breadth,CAGRnorm,5,none,0.04554718082207413,4.396512466162483,168,166,0.10429715962155983,,True
full,EWall,breadth,CAGRnorm,5,partial,0.01449883828913974,1.2345266751324988,168,165,0.2116628492069802,-4.740440876074009,False
full,EWall,breadth,CAGRnorm,5,residx,0.014498838289139716,1.1034572673306364,168,166,0.007281636682898385,,False
full,EWall,breadth,CAGRnorm,5,ratio,0.04905315428001784,4.779629849447956,168,166,0.12097158120454332,,True
full,EWall,breadth,CAGRnorm,7,none,0.029076938171650118,2.8681893612748537,168,166,0.04721732761629682,,True
full,EWall,breadth,CAGRnorm,7,partial,0.0036507156030985005,0.3368012053395446,168,165,0.16741668713864588,-4.880667228151431,False
full,EWall,breadth,CAGRnorm,7,residx,0.003650715603098489,0.30833575453266554,168,166,0.0005723886746705764,,False
full,EWall,breadth,CAGRnorm,7,ratio,0.03660267663528379,3.6640069343873867,168,166,0.07482207493177129,,True
full,EWall,breadth,CAGRnorm,21,none,0.017045524690474535,1.7786675551857987,168,166,0.018701760793008004,,False
full,EWall,breadth,CAGRnorm,21,partial,-0.0006335606305404654,-0.062118968622988255,168,165,0.1046907329647968,-3.9808591447367343,False
full,EWall,breadth,CAGRnorm,21,residx,-0.00063356063054046,-0.05895591647518763,168,166,2.0938116329416445e-05,,False
full,EWall,breadth,CAGRnorm,21,ratio,0.02495179839126045,2.6324974047656333,168,166,0.040074254782233476,,True
full,EWall,disp,Sharpe,3,none,-0.043341551334385595,-3.820655433149388,168,166,0.08082844657325439,,True
full,EWall,disp,Sharpe,3,partial,0.01311658240302517,1.107281987176195,168,165,0.34458204789934277,-8.148581336684659,False
full,EWall,disp,Sharpe,3,residx,0.01311658240302521,0.9013420185094674,168,166,0.004870245553815322,,False
full,EWall,disp,Sharpe,3,ratio,0.04988821251230333,4.461962807346132,168,166,0.1070905662981092,,True
full,EWall,disp,Sharpe,5,none,-0.0011399235827562761,-0.11238219550472484,168,166,7.607709054957557e-05,,False
full,EWall,disp,Sharpe,5,partial,0.03057290612863365,3.0868170778508564,168,165,0.23944998724548738,-7.206368898157993,True
full,EWall,disp,Sharpe,5,residx,0.03057290612863363,2.7614667228343537,168,166,0.043920332813061846,,True
full,EWall,disp,Sharpe,5,ratio,0.051725585134834995,5.552711984732173,168,166,0.15664381184103393,,True
full,EWall,disp,Sharpe,7,none,0.016354866938633885,1.7152834652041156,168,166,0.017415408417049028,,False
full,EWall,disp,Sharpe,7,partial,0.04002700485277634,4.443669069511399,168,165,0.24759966394614208,-7.104856146287689,True
full,EWall,disp,Sharpe,7,residx,0.04002700485277634,4.052917481070866,168,166,0.09004268850183372,,True
full,EWall,disp,Sharpe,7,ratio,0.05737024169423243,6.728696070726166,168,166,0.2142954709962792,,True
full,EWall,disp,Sharpe,21,none,0.025169738991741502,2.872612412113236,168,166,0.0473561664015657,,True
full,EWall,disp,Sharpe,21,partial,0.04095275689412921,4.841959536497509,168,165,0.20888016565357204,-5.80415985622562,True
full,EWall,disp,Sharpe,21,residx,0.0409527568941292,4.5850902778032205,168,166,0.11240888507919278,,True
full,EWall,disp,Sharpe,21,ratio,0.0508804942532223,6.311282640900065,168,166,0.19351817370060698,,True
full,EWall,disp,CAGR,3,none,-0.003811742318811609,-2.3650888228639286,168,166,0.032598206859414725,,True
full,EWall,disp,CAGR,3,partial,0.0029947131625592503,1.6869548480208254,168,165,0.232482511720432,-6.555218605379774,False
full,EWall,disp,CAGR,3,residx,0.002994713162559255,1.4922905460529696,168,166,0.013237660935879636,,False
full,EWall,disp,CAGR,3,ratio,0.006456723768188362,4.13869948596622,168,166,0.09353433380114862,,True
full,EWall,disp,CAGR,5,none,0.0014258401205453084,0.9728550092208961,168,166,0.005669164493863232,,False
full,EWall,disp,CAGR,5,partial,0.004995145887963247,3.292599514797884,168,165,0.15009646996765214,-5.295193195547359,True
full,EWall,disp,CAGR,5,residx,0.004995145887963247,3.133383375285291,168,166,0.05584232714418902,,True
full,EWall,disp,CAGR,5,ratio,0.0063844901850284965,4.613921640132309,168,166,0.11366580817637262,,True
full,EWall,disp,CAGR,7,none,0.004012647155778566,2.9630901524929487,168,166,0.05023405487959165,,True
full,EWall,disp,CAGR,7,partial,0.006522721546088322,4.784818329826792,168,165,0.17424799116879064,-4.977971420700407,True
full,EWall,disp,CAGR,7,residx,0.006522721546088326,4.6347561581950485,168,166,0.11457677682902623,,True
