panel,N,H,cap,mean_nsel,turnover,IS_turnover,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,L_H1,L_H2,L_OOS,L_DD,L_CAGR,A_H1,A_H2,A_DD,O_S,O_DD,O_CAGR,pass4b,pass4a,pass4b_oos,in_L3,in_L7,pass4b_full_and_oos
U56,5,21,INF,4.731832139201638,8.050801141160372,7.453784477295306,0.16526378251575946,0.9130725491230905,-0.25448282774434805,1.1044320738995652,0.7704124888821413,0.17794407689814018,1.0681189205787942,-0.17242674171582928,0.15493188538926694,0.8147585666640084,-0.2544828277443477,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False
U56,5,26,INF,4.733879222108495,7.149933733181446,6.758222029476706,0.19753120071851193,1.0545061868930072,-0.24844095674860767,1.222493487375704,0.9300352234705428,0.2095274250185455,1.215279278597128,-0.1794403958145041,0.1877490566173503,0.9516643798733064,-0.24844095674860733,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
U56,5,32,INF,4.733879222108495,6.692221412676047,6.462593733792082,0.20298932869363973,1.0515098614045644,-0.2367744841427999,1.1522000339582823,0.9854634864559517,0.19199008146036012,1.1142047887462205,-0.17444172189618634,0.21211645152442338,1.0188101574492496,-0.23677448414279978,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
U56,5,37,INF,4.733879222108495,5.922355623259386,5.580624443144986,0.20987531704360407,1.1180183938454284,-0.23340665542645533,1.2838989455437073,0.9922461134892747,0.22098541235447633,1.2749373217118458,-0.2062419965992328,0.20080892312918786,1.0163739553834716,-0.23340665542645567,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False
U56,5,42,INF,4.733879222108495,5.62797308181334,5.52865561827347,0.19914870847511335,1.0424432579893308,-0.2446965289066838,1.1285380915465528,0.992882699162625,0.18308098995354172,1.0905789565540371,-0.21790041965036222,0.2125340190374665,1.0217856783996235,-0.24469652890668414,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False
U56,5,47,INF,4.731832139201638,5.731460914694855,5.12486647262024,0.20918253639257167,1.0833019326805284,-0.27364856535719695,1.0935826008018117,1.085950598375033,0.18840186030022488,1.0787914530840201,-0.22713589863801265,0.22655475550365556,1.0927306918536033,-0.27364856535719717,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
U56,5,52,INF,4.733879222108495,5.1894200911788015,4.944295917591872,0.18310695776627117,0.9748756630064015,-0.24469652890668403,1.17629582543275,0.8357166632373333,0.18931513391143473,1.1256589321025756,-0.19649288185529712,0.17802269720668784,0.8865794850815636,-0.24469652890668392,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False
U56,5,57,INF,4.733879222108495,4.7054986493768505,4.5577652959316355,0.2362634427085306,1.1916839563564516,-0.24884990590699219,1.3217176107808095,1.1062512329229826,0.22728054811767695,1.2791641382670889,-0.1958301693265937,0.24370456176383448,1.1425867695762824,-0.2488499059069923,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False
U56,5,63,INF,4.733879222108495,4.694593870244951,4.251120434287468,0.18977511597180818,1.0083089004227344,-0.2626459628371727,1.2188907331391385,0.8621484937065437,0.20306466376308507,1.196723402549628,-0.19385430809702886,0.1789496103291821,0.8948042461568647,-0.2626459628371731,True,True,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False
U56,5,69,INF,4.733879222108495,4.325939204693968,4.144429835018521,0.19974512084382767,1.0350654654174225,-0.2976286391199282,1.223706816193638,0.9111860623125075,0.20376380368132807,1.1896846897586155,-0.19413897562060278,0.19644829833198263,0.9468568625062483,-0.29762863911992854,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
U56,5,76,INF,4.733879222108495,4.014821970691542,3.5607528426596193,0.19588031549182183,1.0214290812113809,-0.2845404508737259,1.3013294137882607,0.8441785220008904,0.21638337741046065,1.303592523148025,-0.19181469553957342,0.1792682485903303,0.8680530882689299,-0.28454045087372615,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False
U56,5,83,INF,4.733879222108495,3.872082618218631,3.7584835465054223,0.20777635019114804,1.0795770377721974,-0.21245360504597588,1.0578496268257336,1.1078033297597747,0.1663874320537473,0.9763349931313364,-0.20987492221977588,0.24293361613979103,1.1575755555442144,-0.21245360504597488,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
U56,5,90,INF,4.733879222108495,3.6691048587889554,3.4875606823765795,0.18423630358916476,0.9538758062722699,-0.2626459628371728,1.0283923461448823,0.8997355384669878,0.186111932230969,1.0410328414405932,-0.23695031636111563,0.1826951143164932,0.8983056393743357,-0.26264596283717334,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False
U56,5,105,INF,4.733879222108495,3.4118449726453033,3.262060091032683,0.23364892324997233,1.1313533188075267,-0.270774728157102,1.1440003365321987,1.1446886661416815,0.18154844181230811,1.0636235746672051,-0.2437594087945152,0.2782398857603239,1.1912224230506447,-0.2707747281571026,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
U56,5,115,INF,4.733879222108495,3.188137412112352,3.0459985264928977,0.2014247898117647,1.073760014189361,-0.24469652890668392,1.2507074929346875,0.944209889326689,0.20901211717203738,1.2224151420720009,-0.22906768292492308,0.19521706824409013,0.9813366988398147,-0.2446965289066838,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False
U56,5,126,INF,4.733879222108495,3.1266004238461065,2.972093743206773,0.17793757695658097,0.9844672527247917,-0.258535970580156,1.1944183705410534,0.8264057018183052,0.18764660078193307,1.1163893761484653,-0.24238284139504873,0.17000779023074863,0.8977370957234518,-0.2585359705801554,True,True,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False
U56,8,21,INF,7.560900716479018,7.40344716943831,6.664421288076875,0.15806636605254787,0.9851528786992018,-0.23458387589388707,1.10293478069367,0.9029477867235614,0.1476673915323794,1.0239442165252264,-0.14888925224299399,0.16669408696386356,0.9661116605835949,-0.2345838758938873,True,True,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False
U56,8,26,INF,7.569089048106449,6.568841801425129,6.047704862219714,0.18845430043755917,1.1508965044561885,-0.20888176747499165,1.21404184865024,1.1110202360660417,0.17133765312742355,1.1595564628210169,-0.14062386014910444,0.20272664952624075,1.1519157017489658,-0.2088817674749912,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
U56,8,32,INF,7.574206755373592,5.933213671076492,6.0118188239976025,0.17838867636495181,1.0739311997310106,-0.22858006626170968,1.099884686403523,1.067036438956287,0.14332677673272332,0.9885041640735013,-0.16581130992938298,0.20804532770275985,1.1402392122242906,-0.22858006626170957,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
U56,8,37,INF,7.562947799385875,6.254739048170133,5.846729817197505,0.19603859691337244,1.1611749589865183,-0.22574756574775345,1.3185498713388506,1.0522947951172095,0.19523812175677957,1.2852696615150465,-0.17896787710215878,0.19669769254915126,1.0870528940821376,-0.22574756574775323,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False
U56,8,42,INF,7.570112589559877,5.450723914269779,5.363099352839231,0.17694001828485506,1.0676249214739175,-0.221173549269701,1.0838406005821857,1.068066440856041,0.15049866487883112,1.0282539878005337,-0.1796490036314733,0.19915318673003468,1.1026188843998033,-0.221173549269701,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False
U56,8,47,INF,7.560900716479018,5.3252086395626606,4.692142135834153,0.1945237666661268,1.1390362658112236,-0.25958690881915714,1.1853651348739507,1.117008341216994,0.1751001730348949,1.1481157392737875,-0.16257070640591564,0.2107475801587524,1.1411708701130412,-0.259586908819157,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
U56,8,52,INF,7.572159672466735,4.67466361637832,4.618593847548817,0.16609119781234094,1.0022413531421872,-0.22298660735835996,1.0902710054331504,0.9512583546667002,0.1440188977277146,0.9993970550740239,-0.17587727168789602,0.1845730441088047,1.014835954366048,-0.2229866073583604,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False
U56,8,57,INF,7.571136131013306,4.456352309757064,4.297864652588991,0.19164796370144477,1.1112696362297958,-0.2492803636715175,1.2164856831090762,1.0474456963573398,0.17423488350633742,1.1445055944703457,-0.16787763766348318,0.20617030817107862,1.0993481072166815,-0.24928036367151785,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
U56,8,63,INF,7.569089048106449,4.2806738697416895,3.959559527669169,0.2026274454638164,1.184500928514401,-0.25806004061025567,1.2510298261120991,1.1518471498580123,0.17462201492703544,1.1793779360813703,-0.15843560124368838,0.22617258754037173,1.2006132451923373,-0.25806004061025556,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,True,False
U56,8,69,INF,7.574206755373592,3.896231391426895,3.9687106088141406,0.18385382326860888,1.0821684444960926,-0.26462593770800313,1.171613686830868,1.0396982485140736,0.1575457617613063,1.089765364602416,-0.16098356911380318,0.20594999494327704,1.0921529769289269,-0.26462593770800313,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
U56,8,76,INF,7.574206755373592,3.8251966804560813,3.478477418828758,0.17377072909105307,1.0375569060404817,-0.26647939735615067,1.2731374370826212,0.8977978004780539,0.17774750159434927,1.2524525211887663,-0.16102671052965967,0.1705084025856265,0.9272591557918478,-0.2664793973561508,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,True,False
U56,8,83,INF,7.571136131013306,3.6719112577767223,3.575258944804033,0.19072014740764143,1.115840599491202,-0.20165404860621639,1.1210991643472221,1.1260238238807045,0.1506098930578279,1.0098000195242482,-0.17434569741122086,0.22477255310359223,1.196241504400791,-0.20165404860621639,True,True,True,True,True,False,False,False,True,True,True,True,False,True,False,False,True
U56,8,90,INF,7.574206755373592,3.3946874813001733,3.0788488096960958,0.1704324636762451,0.9911661598975136,-0.25806004061025545,1.1062568859276969,0.9071257668056721,0.1692813368327255,1.0717687054235892,-0.20229656661753725,0.1713805507894801,0.940885025298755,-0.25806004061025545,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False
U56,8,105,INF,7.574206755373592,3.245919017116687,3.0991687013754428,0.18976010844667734,1.0756240436990305,-0.24837012125684133,1.0925990790947697,1.0817085948503815,0.1474124555814338,0.9894216650499057,-0.2034040490242789,0.22577674483174426,1.1442778066506498,-0.248370121256841,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
U56,8,115,INF,7.574206755373592,3.08681683673366,2.943262975963468,0.17860491070011975,1.0875344207375808,-0.22298660735836007,1.251262873119305,0.9743058849573546,0.17154636196095807,1.171876711717185,-0.18470064216489313,0.18444512133861157,1.040904586904551,-0.22298660735836018,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False
