panel,gate,cell,value,bar,passed
U56,G1_cost_linearity,EW_BAND g0.75 10bps,0.0,1e-12,True
U56,G1_cost_linearity,EW_BAND g1.00 50bps,0.0,1e-12,True
U56,G1_cost_linearity,EW_ELIG g1.00 10bps,0.0,1e-12,True
U56,G0a_SPY_denominator_convention,N_excl_SPY (this run),0.0006541848058337629,1e-12,False
U56,G0a_SPY_denominator_convention,N_incl_SPY (helper's own),0.0,1e-12,True
U56,G0b_idea727_g100_OOS_Sharpe,EW_BAND,2.496894071968292e-05,0.0005,True
U56,G0b_idea727_g100_OOS_Sharpe,EW_ELIG,-0.036812378082113906,0.0005,False
U56,G0b_idea727_RULESv2_OOS_Sharpe,EW_BAND g0.75,3.651120571657174e-05,0.0005,True
B136,G1_cost_linearity,EW_BAND g0.75 10bps,0.0,1e-12,True
B136,G1_cost_linearity,EW_BAND g1.00 50bps,0.0,1e-12,True
B136,G1_cost_linearity,EW_ELIG g1.00 10bps,0.0,1e-12,True
B136,G0a_SPY_denominator_convention,N_excl_SPY (this run),0.000256244999658449,1e-12,False
B136,G0a_SPY_denominator_convention,N_incl_SPY (helper's own),0.0,1e-12,True
B136,G0b_idea727_g100_OOS_Sharpe,EW_BAND,2.5055717500777064e-08,0.0005,True
B136,G0b_idea727_g100_OOS_Sharpe,EW_ELIG,-0.03608691929609753,0.0005,False
B136,G0b_idea727_RULESv2_OOS_Sharpe,EW_BAND g0.75,4.469181269728395e-06,0.0005,True
