claim_set,draws,n_claims,n_cells,share_above_bar,share_above_25,share_above_50,med_M_base,mean_M_base,max_M_base,med_W_base,mean_W_base,max_W_base
STRICT,100,323,25,0.26625386996904027,0.15479876160990713,0.1021671826625387,0.01,0.12142414860681114,0.92,0.0,0.09278637770897835,0.99
STRICT,200,323,25,0.29721362229102166,0.15479876160990713,0.1021671826625387,0.015,0.1325386996904025,0.94,0.0,0.09176470588235293,0.97
STRICT,400,323,25,0.43962848297213625,0.15479876160990713,0.1021671826625387,0.03,0.1388699690402477,0.9425,0.0,0.09137770897832817,0.9625
WIDE,100,1810,48,0.34640883977900555,0.2541436464088398,0.023204419889502764,0.01,0.1311878453038674,0.92,0.0,0.02019889502762431,0.99
WIDE,200,1810,48,0.28011049723756903,0.2541436464088398,0.023204419889502764,0.015,0.13226519337016576,0.94,0.0,0.019450276243093922,0.97
WIDE,400,1810,48,0.4165745856353591,0.2541436464088398,0.023204419889502764,0.015,0.13484944751381214,0.9425,0.0,0.019167127071823203,0.9625
