q,clause,cells,agg_err,agg_calibrated,cells_over_bar,percell_calibrated
0.8,AS_WRITTEN,32,0.056157894736842094,True,0,True
0.8,ANNOTATED,32,0.18664130434782608,True,24,False
0.8,WIDER_RUNGS,32,0.05760714285714286,True,0,True
0.8,LONGER_TAPE,32,0.03864572643326556,True,0,True
0.9,AS_WRITTEN,32,0.021303030303030313,True,0,True
0.9,ANNOTATED,32,0.18664130434782608,False,26,False
0.9,WIDER_RUNGS,32,0.024538461538461544,True,0,True
0.9,LONGER_TAPE,32,0.017830538921272215,True,0,True
0.95,AS_WRITTEN,32,0.009870370370370378,True,0,True
0.95,ANNOTATED,32,0.18664130434782608,False,26,False
0.95,WIDER_RUNGS,32,0.008700000000000008,True,0,True
0.95,LONGER_TAPE,32,0.01065449768574728,True,0,True
