panel,ladder,stat,beta,floor_f025,floor_f050,floor_full
B136,CADENCE,CAGR,-0.4570603765171551,3.4802929082709326,2.313889757516818,1.8463253895186096
B136,CADENCE,DD,0.45230351743124986,4.071012723048728,5.14359500921322,7.623470897118423
B136,CADENCE,S_FULL,-0.6955548162823586,0.18671072404522543,0.1022327980736939,0.07115495315410092
B136,CADENCE,S_OOS,-0.6126843143604137,0.2649222580522102,0.20312067821355168,0.11325529524020728
B136,GROSS,CAGR,0.007577385192141467,1.0591079191824335,1.0517598072065875,1.0702988360427712
B136,GROSS,DD,0.14298245120295427,1.0550125106818942,1.1179479008170192,1.2864280606593717
B136,GROSS,S_FULL,-0.8460898213065339,0.0012921664333419847,0.0004227769799379222,0.00039966707365901577
B136,GROSS,S_OOS,-0.9461988808202622,0.001716142162264761,0.0004732414160340537,0.00046199462908180777
B136,H,CAGR,-0.6251027415829731,2.1672896305444276,1.6509055896396063,0.9107027373571412
B136,H,DD,0.46990043465320036,4.145413102412873,5.760343718080801,7.954516095049858
B136,H,S_FULL,-1.3560581299846075,0.14032977369046062,0.07852630627499396,0.021394727541090397
B136,H,S_OOS,-1.2888644305547317,0.3080218172348752,0.1382791242328315,0.05154960186986668
B136,N,CAGR,-0.4510380190257286,6.718845144038195,3.292974999796071,3.5944231255558456
B136,N,DD,-0.03649511704420449,6.847006224944618,5.55821782694334,6.509181522842699
B136,N,S_FULL,-0.30978405195842806,0.18522589506882756,0.1593167254875214,0.12053112976248326
B136,N,S_OOS,-0.04974874903461068,0.2393417180030663,0.19666032521111088,0.22338792431073118
U56,CADENCE,CAGR,-0.4759940652526175,1.7540752097439984,1.016819461646536,0.906597672704823
U56,CADENCE,DD,0.2745429552860474,2.735827771715077,4.125201950748069,4.003291955027809
U56,CADENCE,S_FULL,-0.3112743473639939,0.09063571973916529,0.06589744091806521,0.058865156398083096
U56,CADENCE,S_OOS,-0.6945712379955717,0.2542263262280674,0.13090913174633007,0.09704441230057848
U56,GROSS,CAGR,0.0033326430068102014,1.0332832880538048,1.0388354952662882,1.0380692471477992
U56,GROSS,DD,0.14401078368930922,0.9777583253789994,1.048332005780722,1.1938432556992673
U56,GROSS,S_FULL,-0.32202444667873914,0.0014021014783468233,0.0018625818804920424,0.0008972093148214011
U56,GROSS,S_OOS,-0.18623079945518595,0.0024867006849998985,0.0014284266017814407,0.0019207163003902572
U56,H,CAGR,-0.3593865831107195,2.519008886510166,1.5298664869283884,1.5304197924899796
U56,H,DD,0.44942192378877677,3.520275404849609,5.406428397971351,6.564551170891317
U56,H,S_FULL,-0.5319414882604537,0.13252202566215612,0.055453673721133856,0.06337993535645858
U56,H,S_OOS,-0.6172201235419507,0.2081992302309675,0.1573197354335692,0.08847533187304535
U56,N,CAGR,-0.44466941439530494,8.095886236974454,3.997876334827877,4.3700319617852035
U56,N,DD,0.020350623401634904,5.52614875556668,6.231374039509558,5.684363419230408
U56,N,S_FULL,-0.31828177419640397,0.27387180829137436,0.20611136669603586,0.1761523806496179
U56,N,S_OOS,-0.2508416522500728,0.37388644327361975,0.3179288913349978,0.26405478158276907
