cad,family,k,argmax_agree,argmin_agree,chance,common_share
2W,SMALL,2,0.6326530612244898,0.6326530612244898,0.5,0.04612770675612756
2W,U56,2,0.6363636363636364,0.6363636363636364,0.5,0.10410441885650476
2W,ETF,2,0.8787878787878788,0.8787878787878788,0.5,0.4875091803512186
6W,SMALL,6,0.5306122448979592,0.46938775510204084,0.16666666666666666,0.46956470456941163
6W,U56,6,0.9696969696969697,0.9696969696969697,0.16666666666666666,0.9057650831058824
6W,ETF,6,0.6666666666666666,1.0,0.16666666666666666,0.9359933675114611
8W,SMALL,8,0.2857142857142857,0.3673469387755102,0.125,0.21423969026922035
8W,U56,8,0.8787878787878788,0.3939393939393939,0.125,0.7502423479050545
8W,ETF,8,0.7272727272727273,0.9393939393939394,0.125,0.8422170022089831
10W,SMALL,10,0.2653061224489796,0.22448979591836735,0.1,0.27933026906169106
10W,U56,10,0.7272727272727273,0.3333333333333333,0.1,0.6158845108289116
10W,ETF,10,0.5151515151515151,0.8484848484848485,0.1,0.6746198144038511
2M,SMALL,2,0.9387755102040817,0.9387755102040817,0.5,0.6959910380456236
2M,U56,2,1.0,1.0,0.5,0.909661998574712
2M,ETF,2,0.9696969696969697,0.9696969696969697,0.5,0.8353055282864461
