arm,cost,fin,n,p4b,p4a,p4a_v1,both
CTL,0.0,0.0,8,0,0,0,0
CTL,0.0,100.0,8,0,0,0,0
CTL,0.0,200.0,8,0,0,0,0
CTL,0.0,300.0,8,0,0,0,0
CTL,0.0,400.0,8,0,0,0,0
CTL,0.0,500.0,8,0,0,0,0
CTL,0.0,600.0,8,0,0,0,0
CTL,10.0,0.0,8,0,0,0,0
CTL,10.0,100.0,8,0,0,0,0
CTL,10.0,200.0,8,0,0,0,0
CTL,10.0,300.0,8,0,0,0,0
CTL,10.0,400.0,8,0,0,0,0
CTL,10.0,500.0,8,0,0,0,0
CTL,10.0,600.0,8,0,0,0,0
CTL,25.0,0.0,8,0,0,0,0
CTL,25.0,100.0,8,0,0,0,0
CTL,25.0,200.0,8,0,0,0,0
CTL,25.0,300.0,8,0,0,0,0
CTL,25.0,400.0,8,0,0,0,0
CTL,25.0,500.0,8,0,0,0,0
CTL,25.0,600.0,8,0,0,0,0
CTL,50.0,0.0,8,0,0,0,0
CTL,50.0,100.0,8,0,0,0,0
CTL,50.0,200.0,8,0,0,0,0
CTL,50.0,300.0,8,0,0,0,0
CTL,50.0,400.0,8,0,0,0,0
CTL,50.0,500.0,8,0,0,0,0
CTL,50.0,600.0,8,0,0,0,0
CTLg,0.0,0.0,8,0,0,0,0
CTLg,0.0,100.0,8,0,0,0,0
CTLg,0.0,200.0,8,0,0,0,0
CTLg,0.0,300.0,8,0,0,0,0
CTLg,0.0,400.0,8,0,0,0,0
CTLg,0.0,500.0,8,0,0,0,0
CTLg,0.0,600.0,8,0,0,0,0
CTLg,10.0,0.0,8,0,0,0,0
CTLg,10.0,100.0,8,0,0,0,0
CTLg,10.0,200.0,8,0,0,0,0
CTLg,10.0,300.0,8,0,0,0,0
CTLg,10.0,400.0,8,0,0,0,0
CTLg,10.0,500.0,8,0,0,0,0
CTLg,10.0,600.0,8,0,0,0,0
CTLg,25.0,0.0,8,0,0,0,0
CTLg,25.0,100.0,8,0,0,0,0
CTLg,25.0,200.0,8,0,0,0,0
CTLg,25.0,300.0,8,0,0,0,0
CTLg,25.0,400.0,8,0,0,0,0
CTLg,25.0,500.0,8,0,0,0,0
CTLg,25.0,600.0,8,0,0,0,0
CTLg,50.0,0.0,8,0,0,0,0
CTLg,50.0,100.0,8,0,0,0,0
CTLg,50.0,200.0,8,0,0,0,0
CTLg,50.0,300.0,8,0,0,0,0
CTLg,50.0,400.0,8,0,0,0,0
CTLg,50.0,500.0,8,0,0,0,0
CTLg,50.0,600.0,8,0,0,0,0
INC,0.0,0.0,8,8,0,4,0
INC,0.0,100.0,8,8,0,4,0
INC,0.0,200.0,8,8,0,4,0
INC,0.0,300.0,8,8,0,4,0
INC,0.0,400.0,8,8,0,4,0
INC,0.0,500.0,8,8,0,4,0
INC,0.0,600.0,8,8,0,4,0
INC,10.0,0.0,8,8,0,4,0
INC,10.0,100.0,8,8,0,4,0
INC,10.0,200.0,8,8,0,4,0
INC,10.0,300.0,8,8,0,4,0
INC,10.0,400.0,8,8,0,4,0
INC,10.0,500.0,8,8,0,4,0
INC,10.0,600.0,8,8,0,4,0
INC,25.0,0.0,8,6,0,4,0
INC,25.0,100.0,8,6,0,4,0
INC,25.0,200.0,8,6,0,4,0
INC,25.0,300.0,8,6,0,4,0
INC,25.0,400.0,8,6,0,4,0
INC,25.0,500.0,8,6,0,4,0
INC,25.0,600.0,8,6,0,4,0
INC,50.0,0.0,8,2,0,2,0
INC,50.0,100.0,8,2,0,2,0
INC,50.0,200.0,8,2,0,2,0
INC,50.0,300.0,8,2,0,2,0
INC,50.0,400.0,8,2,0,2,0
INC,50.0,500.0,8,2,0,2,0
INC,50.0,600.0,8,2,0,2,0
LEV,0.0,0.0,8,8,0,4,0
LEV,0.0,100.0,8,8,0,4,0
LEV,0.0,200.0,8,8,0,4,0
LEV,0.0,300.0,8,8,0,4,0
LEV,0.0,400.0,8,8,0,4,0
LEV,0.0,500.0,8,8,0,4,0
LEV,0.0,600.0,8,8,0,4,0
LEV,10.0,0.0,8,8,0,4,0
LEV,10.0,100.0,8,8,0,4,0
LEV,10.0,200.0,8,8,0,4,0
LEV,10.0,300.0,8,8,0,4,0
LEV,10.0,400.0,8,8,0,4,0
LEV,10.0,500.0,8,8,0,4,0
LEV,10.0,600.0,8,8,0,4,0
LEV,25.0,0.0,8,7,0,4,0
LEV,25.0,100.0,8,7,0,4,0
LEV,25.0,200.0,8,6,0,4,0
LEV,25.0,300.0,8,6,0,4,0
LEV,25.0,400.0,8,6,0,4,0
LEV,25.0,500.0,8,4,0,4,0
LEV,25.0,600.0,8,3,0,4,0
LEV,50.0,0.0,8,1,0,2,0
LEV,50.0,100.0,8,0,0,2,0
LEV,50.0,200.0,8,0,0,2,0
LEV,50.0,300.0,8,0,0,2,0
LEV,50.0,400.0,8,0,0,2,0
LEV,50.0,500.0,8,0,0,2,0
LEV,50.0,600.0,8,0,0,2,0
