panel,rung,n,n_sep,maxe_F,med_e_F,med_e_W,max_e_W,share_F
U56,0.0,216,0,0.00023623338934730675,,,0.0002743575721364522,
U56,10.0,216,0,0.00019056244997894822,,,0.0002030756191866434,
U56,25.0,216,0,0.0001227859983570223,,,0.0004439274966698825,
B136,0.0,216,0,0.008087713414803854,,,0.008181253612076889,
B136,10.0,216,0,0.008103069070494184,,,0.008144546068871827,
B136,25.0,216,0,0.008122102344173654,,,0.008229047938962064,
SMALL,0.0,216,0,0.03455292105230584,,,0.03477370678524783,
SMALL,10.0,216,0,0.03987447956445528,,,0.03987689240562908,
SMALL,25.0,216,0,0.048697585462377235,,,0.04930118018517898,
