panel,book,cost,n_elig,n_oos,ctl_CAGR,ctl_Sharpe,ctl_MaxDD,v1_Sharpe,spy_Sharpe,spy_CAGR,tier_pick,tier_IS_price,IS_lever,rule_warranted,S1_pick,S1_OOSrank,S1_OOSrate,S1_regret,S1_OOS_Sharpe,S1_OOS_CAGR,S1_OOS_MaxDD,Stier_pick,Stier_OOSrank,Stier_OOSrate,Stier_regret,Stier_OOS_Sharpe,Stier_OOS_CAGR,Stier_OOS_MaxDD
broad,EWall,10.0,14,12,0.13933574083806333,1.1022031339130582,-0.2537106610635026,0.5762505378038233,0.8820239235972316,0.1545044425578177,T4_stop,0.5643527927907155,0.949392989946467,True,stop25,,,,1.0951469664818427,0.13287927830521795,-0.26584745557548783,stop25,,,,1.0951469664818427,0.13287927830521795,-0.26584745557548783
broad,EWall,25.0,13,12,0.13778891144087635,1.0913501695849346,-0.25391347869315706,0.15539928865606328,0.8820239235972316,0.1545044425578177,T4_stop,0.8807229081682342,0.9390277847024194,True,vol60-dg,1.0,0.3007298461897216,0.0,1.1020383628219215,0.11769385576362001,-0.18709252316824732,stop15,,,,1.021419286675688,0.11763266710530296,-0.2650269056746273
broad,TOP20,10.0,3,11,0.14862653950160798,0.9301240819488711,-0.2596966291762923,0.5762505378038233,0.8820239235972316,0.1545044425578177,T3_ddctl,4.781349169546807,1.1130888749381778,False,ebud-0.10,11.0,0.8549551987087972,0.7274701107483855,0.8535342288080167,0.12228211061770566,-0.2288828170330488,ddctl-8/.5/recover,10.0,0.6263169688904074,0.49883188092999575,0.8250090168840654,0.10299655409178743,-0.18684216781520335
broad,TOP20,25.0,3,11,0.1257100029253504,0.8066189970303554,-0.26149610286554237,0.15539928865606328,0.8820239235972316,0.1545044425578177,T3_ddctl,5.642998802123676,0.9202986899442293,False,ebud-0.10,10.0,0.6485349419190923,0.5230206987289105,0.7510865702437203,0.10539299399804758,-0.23016855578352646,ddctl-8/.5/recover,11.0,0.6799860922035289,0.5544718490133471,0.7098858343615876,0.08507541264992868,-0.20173813025209775
broad,V1u,10.0,6,6,0.05825091721868203,0.5726795060813383,-0.23464470864180642,0.5762505378038233,0.8820239235972316,0.1545044425578177,T1_gate,0.45035692729554944,0.5483328485859077,True,g200-rw,1.0,-0.12657206766713386,0.0,0.5902319040623647,0.061128162640717854,-0.2119126361153264,g200-rw,1.0,-0.12657206766713386,0.0,0.5902319040623647,0.061128162640717854,-0.2119126361153264
broad,V1u,25.0,6,6,0.01003251284669271,0.14599987578246443,-0.28896691802049135,0.15539928865606328,0.8820239235972316,0.1545044425578177,T1_gate,0.07132525333932452,0.14355294296457494,True,g200-rw,1.0,-0.12396362317720884,0.0,0.16941174931586253,0.01272947393026791,-0.26721084947028584,g200-rw,1.0,-0.12396362317720884,0.0,0.16941174931586253,0.01272947393026791,-0.26721084947028584
small,EWall,10.0,10,11,0.10089643214031607,0.6366624355474834,-0.36166373582084055,0.5806618551671671,0.8820107671822842,0.15450717694493266,T3_ddctl,0.7617740273935181,0.47442218531411584,False,band3-dg,5.0,0.2912979696868156,0.11603927688391572,0.5664863714962136,0.03837588361212907,-0.1470362580000889,ddctl-8/.5/recover,1.0,0.17525869280289988,0.0,0.7042019824504229,0.07818324692139456,-0.2320656836177164
small,EWall,25.0,8,9,0.09782050310343715,0.6206770724346838,-0.36426007858274945,0.250067051410945,0.8820107671822842,0.15450717694493266,T3_ddctl,0.6188463790799428,0.4601151500505865,False,ddctl-8/.5/recover,1.0,0.17140067055439973,0.0,0.6830863344772165,0.07553049086706154,-0.23421384151565972,ddctl-8/.5/recover,1.0,0.17140067055439973,0.0,0.6830863344772165,0.07553049086706154,-0.23421384151565972
small,TOP20,10.0,5,10,0.17097711041046781,0.8091056551333645,-0.30849894580592363,0.5806618551671671,0.8820107671822842,0.15450717694493266,T3_ddctl,1.8053851207681557,0.6348777751568708,False,ddctl-8/.5/high,6.0,0.7215571199437948,0.5249766793932531,0.6710105665540217,0.0876541184293178,-0.19302230552602395,ddctl-8/.5/high,6.0,0.7215571199437948,0.5249766793932531,0.6710105665540217,0.0876541184293178,-0.19302230552602395
small,TOP20,25.0,5,7,0.14135706840808382,0.6962918593916119,-0.3097889357986776,0.250067051410945,0.8820107671822842,0.15450717694493266,T3_ddctl,0.5619030495935786,0.4302953402413102,False,ddctl-8/.5/high,4.0,0.5656540702902058,0.3729405547161513,0.6611285391875689,0.08425829621687564,-0.2088460182273182,ddctl-8/.5/high,4.0,0.5656540702902058,0.3729405547161513,0.6611285391875689,0.08425829621687564,-0.2088460182273182
