arm,G,max_vol,bps,CAGR,Sharpe,MaxDD,H1,H2,oCAGR,oSharpe,oMaxDD,TO,y2020,y2022,p4a,p4b,fail4b,iSharpe,dd2020,dd2022,Vol
EXCL,0.75,0.3,10,0.0736102685693325,0.8965727638542762,-0.21512392899280453,1.0377596106816658,0.7625483362245604,0.07265271588189748,0.8892485551770921,-0.21512392899280453,10.569753426029424,0.09992332072146803,-0.1670586448002127,False,False,"H2,DD,CAGR",0.9051638155932068,-0.10641052445481669,-0.20695737812097803,0.0830890803780182
EXCL,0.75,0.3,25,0.05671376587540422,0.7045194646061853,-0.23999322893508013,0.862849162493513,0.554097801269607,0.05485157380142347,0.6859130256607511,-0.23999322893507935,10.569753426029424,0.07792227408618646,-0.19524433973118183,False,False,"H1,H2,OOS,DD,CAGR",0.7266940798553438,-0.1122884542965612,-0.2278616693979082,0.0832351400459389
EXCL,0.75,0.4,10,0.09234620996999254,1.0051300886371752,-0.14964879973000267,1.051175336447813,0.9646455905827481,0.09928158358955441,1.0624970631253208,-0.14964879973000267,9.133315385207396,0.10229725995831895,-0.08602223762741457,False,False,CAGR,0.9337468384778764,-0.14964879973000278,-0.14594791346183977,0.09212396496273048
EXCL,0.75,0.4,25,0.0774783453040433,0.855569177804411,-0.15776949440410615,0.90422258830021,0.8123642047396649,0.08411976515385433,0.9130266357435891,-0.15776949440410615,9.133315385207396,0.0834937846144801,-0.11167808408794788,False,False,"H1,H2,CAGR",0.7841432748624675,-0.15147905667360984,-0.15776949440410626,0.0922153322461349
EXCL,0.75,0.5,10,0.10003203916553804,1.038283486824607,-0.15845658919839833,1.048579359934165,1.0313328373081156,0.1109040941102517,1.1224839954029344,-0.15845658919839845,8.536386160477017,0.11435391498450254,-0.06619887717579698,False,False,CAGR,0.9324247083256431,-0.15845658919839856,-0.13399773416529126,0.09631987686973453
EXCL,0.75,0.5,25,0.0860328719900465,0.9046336424235109,-0.16004996356616707,0.9172580773750716,0.895263800871848,0.09654407772901474,0.989081990320053,-0.1600499635661673,8.536386160477017,0.09704962981168297,-0.09074387442173837,False,False,"H1,CAGR",0.7984510010161409,-0.16004996356616696,-0.14408764855050227,0.09639566148843781
EXCL,0.75,0.6,10,0.1040491811310249,1.0490288480160836,-0.15874704847794519,1.06846717048947,1.0344959688835331,0.11329149227062874,1.111874408264675,-0.1587470484779454,8.208759352934159,0.15086306315621356,-0.09248192667818889,False,False,CAGR,0.9696219470490616,-0.1587470484779454,-0.15203693430931564,0.0990648706361151
EXCL,0.75,0.6,25,0.09053460892350085,0.9240392019815247,-0.16113530298864687,0.9454322816460434,0.9074005873143065,0.09940302871023943,0.9871576088117032,-0.16113530298864653,8.208759352934159,0.1341358227976528,-0.1155576656166537,False,False,"H1,CAGR",0.8442460026119113,-0.16032338494569154,-0.16113530298864676,0.099139482282156
EXCL,0.75,0.8,10,0.10723728018278855,1.0555568806375917,-0.16096308077252652,1.1474571991983884,0.979060225537972,0.1114044678551307,1.063793593228616,-0.16096308077252663,7.8769757648359215,0.18938755266591834,-0.1211191128586464,False,True,-,1.0459831874409502,-0.16085227103053623,-0.15943832558061133,0.10140841723763909
EXCL,0.75,0.8,25,0.09422674921492291,0.9382620475419678,-0.1761274345526339,1.0317507073961623,0.8599384277678043,0.09801001737955861,0.9469464198723324,-0.17612743455263447,7.8769757648359215,0.17303125715056966,-0.14348687309580666,False,False,CAGR,0.9279855065084456,-0.16236697971265301,-0.17382171480185693,0.1014928496489616
