panel,book,cost,pick,pick_regime,pick_OOS_Sharpe,pick_OOS_CAGR,pick_OOS_MaxDD,ctl_OOS_Sharpe,ctl_OOS_CAGR,regret_vs_control,regret_vs_best_matched,best_cond_OOS,best_cond_arm,spearman_IS_OOS
u56,V1u,0.0,MATCHED[ddctl16/spy200],matched-spy200,0.9485144496927679,0.10396587724534201,-0.14604900111466657,0.9489017887754472,0.09847074271706058,-0.0003873390826792944,-0.0012421398729648425,0.9489017887754472,ddctl16,0.44499153704395167
u56,V1u,10.0,MATCHED[ddctl16/spy200],matched-spy200,0.7132062554805877,0.07552062361592182,-0.16502125088146335,0.7135811186539041,0.071676179287683,-0.0003748631733163643,-0.0011723464401027783,0.7135811186539041,ddctl16,0.37369455044574945
u56,V1u,25.0,MATCHED[ddctl16/spy200],matched-spy200,0.35885307103833375,0.03415583722574378,-0.20963654311120072,0.3592014253245978,0.032674294773369805,-0.0003483542862640632,-0.0010590458519635915,0.35761825205710357,gross75,0.3488954020124739
u56,TOP20,0.0,MATCHED[ddctl16/spy200],matched-spy200,1.2312588237901416,0.18603973644943217,-0.23149740493929816,1.2312087703939816,0.17684772887227385,5.005339616004356e-05,0.0,1.2888523542561388,gross50,-0.5138300068629055
u56,TOP20,10.0,MATCHED[ddctl16/spy200],matched-spy200,1.1677654483127284,0.17497218139257287,-0.23239663457860027,1.1676757786012193,0.16638965234820668,8.966971150914382e-05,0.0,1.217108816405319,gross50,-0.2753538792758154
u56,TOP20,25.0,MATCHED[ddctl16/spy200],matched-spy200,1.0723375418123395,0.1585596375447449,-0.23374406648536838,1.0721881027666573,0.15087243394308603,0.00014943904568220923,0.0,1.1258600925580247,ddctl08,-0.12515337423312883
u56,EWall,0.0,ddctl12,spy200,1.1695533556322977,0.12790488500461317,-0.18334087648357078,1.1428755510902837,0.13914970573908247,0.02667780454201396,0.026444230819121506,1.3559809304625372,gross25,-0.7165649565773844
u56,EWall,10.0,ddctl12,spy200,1.159194765115511,0.1266591962770609,-0.1837395851216701,1.1357457661990906,0.13817415675493705,0.023448998916420383,0.023347727106949767,1.3302554864255218,gross25,-0.7177919513660442
u56,EWall,25.0,ddctl12,spy200,1.1436389309471096,0.12479297495361008,-0.18433749866438476,1.125049412500613,0.13671236509806106,0.01858951844649659,0.01859350657488501,1.2913775796994746,gross25,-0.5580824655848879
broad,V1u,0.0,MATCHED[ddctl16/spy200],matched-spy200,0.8571635100377765,0.09660178104598804,-0.21822857553439146,0.8572937826333676,0.09163740452979319,-0.00013027259559117432,-0.0004254292078592625,0.8739801942715569,ddctl08,0.13759255290632771
