window,SINGLE20,RSP,SPY,weighting_leg,selection_leg,total
FULL,1.3731816870198834,0.7981638001679299,0.8845060132920908,-0.0863422131241609,0.5750178868519535,0.48867567372779264
IS,1.4438620763822583,0.9173572957112788,0.8986386739891564,0.018718621722122353,0.5265047806709795,0.5452234023931019
OOS,1.325797124519598,0.6942915109555566,0.8739575612872552,-0.17966605033169858,0.6315056135640414,0.45183956323234287
ISH1_HALF,1.2085261900753093,0.9127194638904235,0.8377534152899397,0.07496604860048373,0.2958067261848858,0.3707727747853695
ISH2_HALF,1.8304068397379878,1.0280477474960656,1.0603109088217444,-0.032263161325678746,0.8023590922419221,0.7700959309162434
CAL0912,1.175241897652237,0.8870100142864809,0.8104611305183171,0.07654888376816371,0.2882318833657561,0.3647807671339198
CAL0910,1.7684555791857175,1.2192707373761247,1.0390922765109214,0.18017846086520328,0.5491848418095928,0.7293633026747961
CAL1112,0.5176043231917141,0.47114028530680924,0.5441043455968064,-0.07296406028999719,0.046464037884904885,-0.026500022405092305
CAL1316,1.8734805218145034,1.0727753201079677,1.101671080912679,-0.028895760804711346,0.8007052017065357,0.7718094409018244
Y2009,2.192253435028786,1.3761864595080162,1.1866895086101603,0.1894969508978559,0.8160669755207697,1.0055639264186256
Y2010,1.241205346059439,1.060764230776827,0.8718097148012244,0.18895451597560264,0.18044111528261197,0.3693956312582146
Y2011,0.16590223242791607,0.10334123469178656,0.19671325116551447,-0.0933720164737279,0.06256099773612951,-0.030811018737598395
Y2012,1.1221363861483988,1.213975810670818,1.237652695894811,-0.023676885223993027,-0.09183942452241922,-0.11551630974641225
Y2013,3.542125630994878,2.5941844575388653,2.5846791583532798,0.009505299185585514,0.9479411734560128,0.9574464726415983
Y2014,1.2566920895041653,1.1913240743440168,1.1796547172746248,0.011669357069391983,0.06536801516014856,0.07703737222954055
Y2015,1.4418264194790016,-0.09820265847955578,0.15647338963609952,-0.2546760481156553,1.5400290779585575,1.2853530298429021
Y2016,1.5580451590639066,0.9959371252191769,0.932883861426454,0.06305326379272291,0.5621080338447297,0.6251612976374527
