stat,block_L,R_IS,decisive_share_IS,R_OOS,decisive_share_OOS
MaxDD,126,0.5986150155984276,0.5555555555555556,0.4334239525447745,0.7777777777777778
Ulcer,126,0.5430734040361207,0.5555555555555556,0.2854226355825908,0.5555555555555556
Ulcer,63,0.5288232523542389,0.5555555555555556,0.2626166681445124,0.5555555555555556
MaxDD,63,0.508683068626294,0.5555555555555556,0.389799924046196,0.5555555555555556
MeanDD,63,0.48466155262123933,0.5555555555555556,0.24567816939434506,0.5555555555555556
MaxDD,21,0.4731567961314971,0.5555555555555556,0.33869701981046013,0.5555555555555556
MeanDD,126,0.4688739145062476,0.5555555555555556,0.2605205645875932,0.5555555555555556
Ulcer,21,0.40947346627022485,0.5,0.25460191316663444,0.5555555555555556
MeanDD,21,0.36400954599897895,0.05555555555555555,0.23789117921175323,0.2777777777777778
CVaR5_1y,126,0.1829538891491964,0.0,0.16179789965493468,0.05555555555555555
CVaR5_1y,63,0.166225829338974,0.05555555555555555,0.1421683644596154,0.05555555555555555
TUW,126,0.15437306366799713,0.4444444444444444,0.10835109551178794,0.38888888888888884
TUW,63,0.15013401895216932,0.33333333333333337,0.10815893771181188,0.38888888888888884
CVaR5_1y,21,0.1488998271236025,0.0,0.12696418367554663,0.05555555555555555
TUW,21,0.14356819935611706,0.3888888888888889,0.10921957582868827,0.38888888888888884
Calmar,63,0.051187960114914784,0.05555555555555555,0.03905635446062798,0.0
Calmar,126,0.049381512755195395,0.05555555555555555,0.04495906018550325,0.0
Calmar,21,0.048151444890915114,0.05555555555555555,0.03765372826633709,0.0
