,A_i,sector,mean_weight
AAPL,0.019957912391658072,InfoTech,0.008237163893869312
ABBV,-0.004388253602394186,HealthCare,0.005860529602753015
ABT,-0.003984756007823328,HealthCare,0.004002303140450811
ACN,0.0025527508864575193,InfoTech,0.0019759184230581255
ADBE,0.014571879952965952,InfoTech,0.009279745412123178
ADI,0.005209248385164338,InfoTech,0.005075311709368874
ADP,0.0020120333409672678,InfoTech,0.004446542482538293
AMAT,0.026808905484489828,InfoTech,0.012007021944729612
AMD,0.03425238630240498,InfoTech,0.00981112177413173
AMGN,0.007965854951938219,HealthCare,0.003449611895263651
AMZN,0.01911711588321554,ConsDisc,0.008987107434332245
ANET,0.010518195839504325,InfoTech,0.013562947166757888
AVGO,0.037697819338401446,InfoTech,0.015707008000750682
AXP,-0.0007772044349570291,Financials,0.0055142552243680615
BA,-0.00552482436086289,Industrials,0.006454979165055439
BAC,0.005427938116860157,Financials,0.005184588717065603
BKNG,0.0017257110241302965,ConsDisc,0.005185823085669341
BLK,-0.007198356125081534,Financials,0.004751202047812151
BRK-B,-0.004617616649757406,Financials,0.0023794908147367036
BSX,0.00845758724719533,HealthCare,0.007595541241521026
C,0.011142980950986864,Financials,0.006715465182394811
CAT,0.027064488396089798,Industrials,0.01179345649751378
CB,-0.002753257642367971,Financials,0.001974715598499319
CI,0.001242834725279105,HealthCare,0.003567537095514303
CMG,0.021783678906784544,ConsDisc,0.011321392161864596
COP,0.005671351890582073,Energy,0.008800830606631836
COST,0.0056013668745686475,ConsStap,0.00959274804780659
CRM,0.01429892426369505,InfoTech,0.007385787530380775
CSCO,0.002926324372457153,InfoTech,0.006219452164199092
CVX,0.011016043475873864,Energy,0.004064417076933393
DBC,0.004357473843192193,ETF-Cmdty,0.004312383664961681
DE,0.011937127298341234,Industrials,0.008155535399654563
DHR,0.006666694064140879,HealthCare,0.0057429058540087825
DIA,0.0,ETF-Index,0.0
DUK,-0.0006547388503242076,Utilities,0.0017532981294767474
EEM,-0.006748720457705277,ETF-Index,0.0009560798138266538
EFA,0.0,ETF-Index,0.0
ETN,0.010511755072536865,Industrials,0.008229630536242044
GDX,0.018411155950445016,ETF-Sector,0.008042555657667792
GE,0.022642388851526956,Industrials,0.012650913140437087
GILD,0.0031628803270634357,HealthCare,0.004574605258968884
GLD,0.007740321448289083,ETF-Cmdty,0.005044379356145859
GOOGL,0.011657956537446633,CommSvcs,0.008499857855125475
GS,0.019952181876109296,Financials,0.010325075624668426
HD,-0.00489990561666842,ConsDisc,0.0022544778723837386
HON,-0.0011920751395556033,Industrials,0.001886995520534429
HYG,0.0,ETF-Bond,0.0
IBM,-0.003203826350014302,InfoTech,0.005628318102149709
ICE,-0.0017941237186265826,Financials,0.002510548478160303
IEF,0.0014750594866809864,ETF-Bond,0.0009815291759500983
INTU,0.021045096488564445,InfoTech,0.009789338612252388
ISRG,0.013236493720064881,HealthCare,0.009814117977761262
ITB,0.014417156176323057,ETF-Sector,0.007431311444025474
IWM,0.0020660877265602107,ETF-Index,0.0013523116387056649
JNJ,0.007272343255970299,HealthCare,0.0032111131590465006
JPM,-0.002353572348519293,Financials,0.005544530683348949
KLAC,0.03194665221329548,InfoTech,0.01482246274535586
KO,-0.0054190427445085345,ConsStap,0.0029080922652576563
KRE,-0.001979247953819004,ETF-Sector,0.0018678586631805656
LIN,-0.0017547043503554304,Materials,0.002699250068203149
LLY,0.019489284251914207,HealthCare,0.015067678746263281
LMT,0.000725561366739501,Industrials,0.005624612381976416
LOW,-0.01122865644659308,ConsDisc,0.004741467449752412
LQD,-0.00042468555296351076,ETF-Bond,0.00016780388592631262
LRCX,0.038233152933767105,InfoTech,0.01392652461619545
MA,0.007777156825651926,InfoTech,0.006876796330615933
MCD,-0.0020550103130889375,ConsDisc,0.0023317762615276904
MDLZ,0.003349602778929478,ConsStap,0.0019783020279821747
MDT,-0.005327277357168574,HealthCare,0.0008076112730251843
META,0.025286414584632766,CommSvcs,0.009606901695813137
MMC,0.0,Financials,0.0
MO,-0.006803998349355322,ConsStap,0.003296708052635532
MRK,0.017832792650344792,HealthCare,0.0076338263881704435
MS,0.018203594286290564,Financials,0.009665534914779235
MSFT,0.0180950390446734,InfoTech,0.010826438940840594
MU,0.04539532732384966,InfoTech,0.00839739570210424
NEE,-0.006776824726441012,Utilities,0.004484228616748717
NFLX,0.019448272499365687,CommSvcs,0.01165887548353047
NOW,0.0330035573201639,InfoTech,0.013072314014924357
NVDA,0.06604364267683495,InfoTech,0.01608113697268244
ORCL,0.014034913600777596,InfoTech,0.00762209024864976
PANW,0.015272360141651838,InfoTech,0.010983424381443799
PEP,-0.00010225574503380578,ConsStap,0.002290039672129583
PFE,-0.006898115900474964,HealthCare,0.0035594065601766392
PG,0.0033793765715058282,ConsStap,0.00414624891675084
PGR,0.014301718450173143,Financials,0.011884351495512098
PLD,0.0018748669922885848,RealEstate,0.003668152131533912
PLTR,0.018282676652547104,InfoTech,0.005641076142561274
PM,0.00020961040571437737,ConsStap,0.004186678818277399
QCOM,-0.0011483897171893746,InfoTech,0.007055585076169007
QQQ,2.421215093549055e-05,ETF-Index,0.002366353860838031
REGN,-0.003022079269705946,HealthCare,0.00467973195655142
RSP,0.0,ETF-Index,0.0
RTX,-0.002517834372234548,Industrials,0.0068142803564986785
SBUX,0.006062421238205415,ConsDisc,0.005322401451991084
SCHW,0.009535178207688243,Financials,0.006906555414226955
