cls,n_obs,n_files,improve,worsen,median_bp,corr_dDD_DD0,n_ladders,ladder_improve,ladder_median_bp
SHARE,22204,25,0.46158349846874436,0.17938209331651955,0.0,-0.3412248528621562,25,0.6,134.987603697079
MAB,4411,19,0.39514849240535027,0.5744729086374971,-29.447181592784922,-0.4971426383537397,19,0.47368421052631576,-0.00042887014994885675
NT,1540,17,0.561038961038961,0.32662337662337665,9.932174667758447,-0.5853332757974689,18,0.5,15.991502539332847
OTHER,471,3,0.2356687898089172,0.7600849256900213,-86.71321885558497,-0.32044833049321075,3,0.6666666666666666,0.18437031157919614
