panel,cadence,family,level,w,depth,gross,ladder,c_star,cls,dSharpe_0,dSharpe_10,g_eff,switch,on_share
B136,D,ABS,0.3,,0.5,0.75,FINE,0.0,LOSES0,-0.025687649738470375,-0.02623577775711361,0.7256076975016879,0.008665316227774026,0.06504613999549853
B136,D,ABS,0.3,,0.5,0.75,COARSE,0.0,LOSES0,-0.025687649738470375,-0.02623577775711361,0.7256076975016879,0.008665316227774026,0.06504613999549853
B136,D,ABS,0.3,,0.5,1.0,FINE,0.0,LOSES0,-0.02568764973847082,-0.026346312622089862,0.9674769300022503,0.008665316227774026,0.06504613999549853
B136,D,ABS,0.3,,0.5,1.0,COARSE,0.0,LOSES0,-0.02568764973847082,-0.026346312622089862,0.9674769300022503,0.008665316227774026,0.06504613999549853
B136,D,ABS,0.3,,1.0,0.75,FINE,0.0,LOSES0,-0.09273991441520879,-0.10008650107676087,0.7012153950033759,0.017330632455548053,0.06504613999549853
B136,D,ABS,0.3,,1.0,0.75,COARSE,0.0,LOSES0,-0.09273991441520879,-0.10008650107676087,0.7012153950033759,0.017330632455548053,0.06504613999549853
B136,D,ABS,0.3,,1.0,1.0,FINE,0.0,LOSES0,-0.09273991441520835,-0.10015753512808467,0.9349538600045011,0.017330632455548053,0.06504613999549853
B136,D,ABS,0.3,,1.0,1.0,COARSE,0.0,LOSES0,-0.09273991441520835,-0.10015753512808467,0.9349538600045011,0.017330632455548053,0.06504613999549853
B136,D,ABS,0.4,,0.5,0.75,FINE,,NEVERCROSS,0.0026375155253572924,0.00501245592713262,0.7101620526671166,0.008440243079000676,0.10623452622102184
B136,D,ABS,0.4,,0.5,0.75,COARSE,,NEVERCROSS,0.0026375155253572924,0.00501245592713262,0.7101620526671166,0.008440243079000676,0.10623452622102184
B136,D,ABS,0.4,,0.5,1.0,FINE,,NEVERCROSS,0.0026375155253575144,0.004891373422906575,0.9468827368894887,0.008440243079000676,0.10623452622102184
B136,D,ABS,0.4,,0.5,1.0,COARSE,,NEVERCROSS,0.0026375155253575144,0.004891373422906575,0.9468827368894887,0.008440243079000676,0.10623452622102184
B136,D,ABS,0.4,,1.0,0.75,FINE,0.0,LOSES0,-0.06406270984164597,-0.06017300390049707,0.6703241053342334,0.01688048615800135,0.10623452622102184
B136,D,ABS,0.4,,1.0,0.75,COARSE,0.0,LOSES0,-0.06406270984164597,-0.06017300390049707,0.6703241053342334,0.01688048615800135,0.10623452622102184
B136,D,ABS,0.4,,1.0,1.0,FINE,0.0,LOSES0,-0.06406270984164641,-0.06022671214949826,0.8937654737789777,0.01688048615800135,0.10623452622102184
B136,D,ABS,0.4,,1.0,1.0,COARSE,0.0,LOSES0,-0.06406270984164641,-0.06022671214949826,0.8937654737789777,0.01688048615800135,0.10623452622102184
B136,D,ABS,0.5,,0.5,0.75,FINE,,NEVERCROSS,0.02957071448630133,0.030705301715182598,0.6925219446320052,0.011366194013054243,0.15327481431465226
B136,D,ABS,0.5,,0.5,0.75,COARSE,,NEVERCROSS,0.02957071448630133,0.030705301715182598,0.6925219446320052,0.011366194013054243,0.15327481431465226
