panel,cash,SH0_spread,SH0_pct_of_mean,SH0_argmax_gross,SHex_spread,SHex_pct_of_mean,SHex_argmax_gross,CAGR_spread_pp,DD_spread_pp
B136,0.00,0.007317530096974556,0.743079779810328,1.0,0.007317530096974556,0.743079779810328,1.0,13.537818714965532,20.874807340421142
B136,0.02,0.2270988117330558,21.329454773508807,0.3,0.00776930906097717,0.8775638901756964,1.0,12.06533528226068,20.986536005761835
B136,0.04,0.46151372378284083,40.318107071238146,0.3,0.008220311843843753,1.0459784569043684,1.0,10.57175244378239,21.09839728266394
B136,0.054,0.625603259955753,52.105208946699186,0.3,0.008535550692064131,1.1916235412126677,1.0,9.513531860137302,21.176779160634773
B136,SHY,0.1524272023685289,14.648057215422316,0.3,0.0073468213992612386,0.8071442165543273,1.0,12.56021535961047,20.61182975745519
U56,0.00,0.000939355470024994,0.08207282958863298,0.9,0.000939355470024994,0.08207282958863298,0.9,13.37434410880487,17.287785755131736
U56,0.02,0.28408228160059523,22.816413104022782,0.3,0.0013991254909024864,0.1362505441620346,1.0,11.951750148074392,17.392161696453158
U56,0.04,0.5691038681735592,42.29303583963694,0.3,0.0018680984851473514,0.20546389967645048,1.0,10.507667535825483,17.49549202669143
U56,0.054,0.7686241600590538,54.281307585881535,0.3,0.002196254148595589,0.2656200741485369,1.0,9.48386030507955,17.56050190994133
U56,SHY,0.18413295343080227,15.215760157972197,0.3,0.0009158268055928787,0.08694121821044354,1.0,12.401750948783352,17.323224295338868
