W,S,drop,panel,n_pre,n_post,pre,post,drift
2,6,ALL,U56,12,21,-0.4813436696985116,-0.5087444264694129,-0.027400756770901258
2,6,ALL,B136,12,21,-0.586934503025246,-0.633722614650651,-0.04678811162540508
2,6,ALL,SMALL439,8,21,-0.1686024163011011,-0.6502206600054267,-0.4816182437043256
2,6,drop2020,U56,12,19,-0.4813436696985116,-0.46959344365133865,0.011750226047172962
2,6,drop2020,B136,12,19,-0.586934503025246,-0.5524962146543697,0.03443828837087626
2,6,drop2020,SMALL439,8,19,-0.1686024163011011,-0.5249062316208509,-0.35630381531974986
2,6,drop2022,U56,12,19,-0.4813436696985116,-0.4590759631564623,0.022267706542049293
2,6,drop2022,B136,12,19,-0.586934503025246,-0.6074955374891671,-0.020561034463921102
2,6,drop2022,SMALL439,8,19,-0.1686024163011011,-0.8314612661944288,-0.6628588498933278
2,6,drop2020+2022,U56,12,17,-0.4813436696985116,-0.4094756337347381,0.0718680359637735
2,6,drop2020+2022,B136,12,17,-0.586934503025246,-0.5136275519449134,0.07330695108033258
2,6,drop2020+2022,SMALL439,8,17,-0.1686024163011011,-0.7127263881397855,-0.5441239718386844
2,12,ALL,U56,6,11,-0.4305874235483374,-0.5447637817679352,-0.11417635821959776
2,12,ALL,B136,6,11,-0.5491336843455914,-0.6498783834474705,-0.10074469910187911
2,12,ALL,SMALL439,4,11,-0.2230697934573912,-0.5969863256704453,-0.3739165322130541
2,12,drop2020,U56,6,10,-0.4305874235483374,-0.5612206635184422,-0.13063323997010484
2,12,drop2020,B136,6,10,-0.5491336843455914,-0.6379853231779011,-0.08885163883230973
2,12,drop2020,SMALL439,4,10,-0.2230697934573912,-0.5735174418269199,-0.3504476483695287
2,12,drop2022,U56,6,10,-0.4305874235483374,-0.37874340211573876,0.05184402143259864
2,12,drop2022,B136,6,10,-0.5491336843455914,-0.4959255861167712,0.05320809822882022
2,12,drop2022,SMALL439,4,10,-0.2230697934573912,-0.6180204564321912,-0.39495066297479997
2,12,drop2020+2022,U56,6,9,-0.4305874235483374,-0.37858211743272485,0.05200530611561255
2,12,drop2020+2022,B136,6,9,-0.5491336843455914,-0.4656052083360607,0.08352847600953067
2,12,drop2020+2022,SMALL439,4,9,-0.2230697934573912,-0.594281044468468,-0.37121125101107677
3,6,ALL,U56,10,21,-0.3745038347406693,-0.37087340028509397,0.0036304344555753154
3,6,ALL,B136,10,21,-0.5084363098637322,-0.5359131013378853,-0.02747679147415305
3,6,ALL,SMALL439,6,21,0.1629792620566309,-0.39421612224068253,-0.5571953842973134
3,6,drop2020,U56,10,19,-0.3745038347406693,-0.3493512721528505,0.025152562587818783
3,6,drop2020,B136,10,19,-0.5084363098637322,-0.5022140496550506,0.0062222602086816625
3,6,drop2020,SMALL439,6,19,0.1629792620566309,-0.3083993990580069,-0.4713786611146378
3,6,drop2022,U56,10,19,-0.3745038347406693,-0.2842487309251029,0.0902551038155664
3,6,drop2022,B136,10,19,-0.5084363098637322,-0.45243587875429836,0.05600043110943387
3,6,drop2022,SMALL439,6,19,0.1629792620566309,-0.4688288514549318,-0.6318081135115627
3,6,drop2020+2022,U56,10,17,-0.3745038347406693,-0.25000345014671416,0.12450038459395513
3,6,drop2020+2022,B136,10,17,-0.5084363098637322,-0.40495138304011996,0.10348492682361227
3,6,drop2020+2022,SMALL439,6,17,0.1629792620566309,-0.3816940113347943,-0.5446732733914252
3,12,ALL,U56,5,11,-0.3634970993481831,-0.39618040425994877,-0.03268330491176569
3,12,ALL,B136,5,11,-0.4872451873749671,-0.5470353222134108,-0.0597901348384437
3,12,ALL,SMALL439,3,11,0.24499870092447004,-0.3937283802649399,-0.6387270811894099
3,12,drop2020,U56,5,10,-0.3634970993481831,-0.427761547584394,-0.06426444823621091
3,12,drop2020,B136,5,10,-0.4872451873749671,-0.5729833979024168,-0.08573821052744973
3,12,drop2020,SMALL439,3,10,0.24499870092447004,-0.3745843820201968,-0.6195830829446668
3,12,drop2022,U56,5,10,-0.3634970993481831,-0.29935144477164066,0.06414565457654242
3,12,drop2022,B136,5,10,-0.4872451873749671,-0.43889974556448585,0.04834544181048123
3,12,drop2022,SMALL439,3,10,0.24499870092447004,-0.46022227515062486,-0.7052209760750949
3,12,drop2020+2022,U56,5,9,-0.3634970993481831,-0.32368283074454557,0.039814268603637515
3,12,drop2020+2022,B136,5,9,-0.4872451873749671,-0.45571587670238983,0.03152931067257725
3,12,drop2020+2022,SMALL439,3,9,0.24499870092447004,-0.446339376532653,-0.6913380774571231
4,6,ALL,U56,8,21,-0.3959150389857422,-0.3055493504350555,0.09036568855068672
4,6,ALL,B136,8,21,-0.5059746859685743,-0.4963516708313418,0.009623015137232516
4,6,ALL,SMALL439,4,21,0.1432385307353865,-0.249840041393893,-0.3930785721292795
4,6,drop2020,U56,8,19,-0.3959150389857422,-0.28314406096704875,0.11277097801869346
4,6,drop2020,B136,8,19,-0.5059746859685743,-0.47129368592433596,0.03468100004423835
