panel,char,flavour,level,seed,K,n_from_B,n_from_S,cvol,mrho
mrho~POOL~L0.114289~0~k20,mrho,POOL,0.114289,0,20,2,18,0.59988088786778,0.11295177327437488
mrho~POOL~L0.114289~1~k20,mrho,POOL,0.114289,1,20,2,18,0.5983694388228324,0.08593810935312447
mrho~POOL~L0.114289~2~k20,mrho,POOL,0.114289,2,20,1,19,0.6429613762423327,0.09893277200829505
mrho~POOL~L0.114289~3~k20,mrho,POOL,0.114289,3,20,1,19,0.6058411774981644,0.0863628766443223
mrho~POOL~L0.114289~4~k20,mrho,POOL,0.114289,4,20,1,19,0.6223120683652109,0.10972407583042319
mrho~POOL~L0.114289~5~k20,mrho,POOL,0.114289,5,20,2,18,0.6725154038680727,0.10065606271816574
mrho~POOL~L0.148271~0~k20,mrho,POOL,0.148271,0,20,2,18,0.5346658324328853,0.13434994820804336
mrho~POOL~L0.148271~1~k20,mrho,POOL,0.148271,1,20,2,18,0.5454726914040839,0.12888925785928934
mrho~POOL~L0.148271~2~k20,mrho,POOL,0.148271,2,20,2,18,0.5155514668213567,0.13730961962096333
mrho~POOL~L0.148271~3~k20,mrho,POOL,0.148271,3,20,1,19,0.5819050113640486,0.13702782390092927
mrho~POOL~L0.148271~4~k20,mrho,POOL,0.148271,4,20,3,17,0.5128943255416469,0.1181855739937073
mrho~POOL~L0.148271~5~k20,mrho,POOL,0.148271,5,20,1,19,0.5732298826101913,0.14635457985924968
mrho~POOL~L0.163402~0~k20,mrho,POOL,0.163402,0,20,2,18,0.5452394930304074,0.15604007410120602
mrho~POOL~L0.163402~1~k20,mrho,POOL,0.163402,1,20,0,20,0.5469764692740993,0.13390647277902132
mrho~POOL~L0.163402~2~k20,mrho,POOL,0.163402,2,20,3,17,0.451621188362926,0.1590460649678104
mrho~POOL~L0.163402~3~k20,mrho,POOL,0.163402,3,20,3,17,0.5320226760000087,0.14352702884260884
mrho~POOL~L0.163402~4~k20,mrho,POOL,0.163402,4,20,0,20,0.6001540286738504,0.1629791324349398
mrho~POOL~L0.163402~5~k20,mrho,POOL,0.163402,5,20,2,18,0.5722235254350632,0.14068630365878057
mrho~POOL~L0.180327~0~k20,mrho,POOL,0.180327,0,20,4,16,0.46869229703963267,0.15416511985676687
mrho~POOL~L0.180327~1~k20,mrho,POOL,0.180327,1,20,5,15,0.5036673297669607,0.1688037608683327
mrho~POOL~L0.180327~2~k20,mrho,POOL,0.180327,2,20,3,17,0.5119325429230173,0.168279339233006
mrho~POOL~L0.180327~3~k20,mrho,POOL,0.180327,3,20,1,19,0.5067955295476938,0.17279099836456022
mrho~POOL~L0.180327~4~k20,mrho,POOL,0.180327,4,20,2,18,0.5592872753768234,0.16364240175264297
mrho~POOL~L0.180327~5~k20,mrho,POOL,0.180327,5,20,3,17,0.5593444110707422,0.18224627198793247
mrho~POOL~L0.194679~0~k20,mrho,POOL,0.194679,0,20,2,18,0.4659534235338545,0.1888846641903582
mrho~POOL~L0.194679~1~k20,mrho,POOL,0.194679,1,20,2,18,0.5429129430600799,0.16864855266693674
mrho~POOL~L0.194679~2~k20,mrho,POOL,0.194679,2,20,6,14,0.46811189285719407,0.21139293653029315
mrho~POOL~L0.194679~3~k20,mrho,POOL,0.194679,3,20,2,18,0.4938762171432982,0.17618253232179262
mrho~POOL~L0.194679~4~k20,mrho,POOL,0.194679,4,20,4,16,0.5433495440982123,0.20529487954568604
mrho~POOL~L0.194679~5~k20,mrho,POOL,0.194679,5,20,2,18,0.5320597578342277,0.1969720843091313
