panel,form,cadence,gross,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,turnover,L_H1,L_H2,L_OOS,L_DD,L_CAGR,fail4b,keep4b,keep4a,ISL_H1,ISL_H2,ISL_OOS,ISL_DD,ISL_CAGR,IS_keep4b,OOSL_H1,OOSL_H2,OOSL_OOS,OOSL_DD,OOSL_CAGR,OOS_keep4b
U56,EWall,W,0.2,0.03504098773361819,1.1221419519651625,-0.06398024774462574,1.186026745325078,1.0716177887755063,1.1056656491018495,0.0333101955453583,-0.03477520843308346,0.036471501486750046,1.1356669518947753,-0.06398024774462552,0.24951770550598468,True,True,True,True,False,CAGR,False,False,True,True,True,True,False,False,True,True,True,True,False,False
U56,EWall,W,0.25,0.043848836727171436,1.1223602854328985,-0.07952041266117482,1.1864357721381102,1.0717000834580535,1.1060918328323794,0.04168057208735432,-0.04332323670550642,0.04564158868818469,1.1357282203743233,-0.07952041266117449,0.30729389787280603,True,True,True,True,False,CAGR,False,False,True,True,True,True,False,False,True,True,True,True,False,False
U56,EWall,W,0.3,0.05267378085355556,1.1225693416985125,-0.09488111035479752,1.186837575558923,1.0717720605934906,1.1065111614553025,0.050066444979059765,-0.05181354653361281,0.05483035137745862,1.1357785194131027,-0.09488111035479774,0.3635523626700504,True,True,True,True,False,CAGR,False,False,True,True,True,True,False,False,True,True,True,True,False,False
U56,EWall,W,0.35,0.061514832778130746,1.1227694850907903,-0.11006366916840093,1.1872331582848288,1.0718335591869739,1.1069244388074946,0.058467011807231906,-0.06024646320406568,0.06403664552804145,1.135817881613838,-0.11006366916840105,0.4184388359728458,True,True,True,True,False,CAGR,False,False,True,True,True,True,False,False,True,True,True,True,False,False
U56,EWall,W,0.4,0.07037100268527396,1.122961092700521,-0.12506922732786163,1.1876225722801381,1.071885239748999,1.1073316280227015,0.06688143938446811,-0.06862226096211432,0.07325934778269683,1.1358470097288418,-0.1250692273278612,0.4720848644233495,True,True,True,True,False,CAGR,False,False,True,True,True,True,False,False,True,True,True,True,False,False
U56,EWall,W,0.45,0.07924120913185861,1.1231432947957336,-0.13989925437977602,1.1880052263424121,1.0719260358267353,1.107732110474977,0.07530883095403751,-0.07694129554930362,0.08249721958810508,1.1358648510096112,-0.13989925437977613,0.5246905329682011,True,True,True,True,False,CAGR,False,False,True,True,True,True,False,False,True,True,True,True,False,False
U56,EWall,W,0.5,0.08812440871567429,1.1233164142816057,-0.15455481806460203,1.1883807331897813,1.0719568965457151,1.1081256118885843,0.08374828098506737,-0.08520386486051823,0.09174909903704598,1.1358721975846995,-0.15455481806460192,0.5764036368721002,True,True,True,True,False,CAGR,False,False,True,True,True,True,False,False,True,True,True,True,False,False
U56,EWall,W,0.55,0.09701950500652412,1.123480166706336,-0.16903719805622008,1.1887485938824072,1.0719777381885032,1.1085116436970346,0.09219885025217711,-0.09341021073682432,0.10101375491612563,1.135868930367763,-0.1690371980562203,0.62740339265112,True,True,True,True,False,CAGR,False,False,True,True,True,True,False,False,True,True,True,True,False,False
U56,EWall,W,0.6,0.10592535024321736,1.1236341974491701,-0.18334747783759153,1.1891079388949892,1.0719886615281378,1.1088892723918722,0.10065951342000967,-0.10156077938594643,0.11028993340450399,1.1358551491007376,-0.18334747783759153,0.6778993882251352,True,True,True,True,False,CAGR,False,False,True,True,True,True,False,False,True,True,True,True,True,True
U56,EWall,W,0.65,0.11484079627844901,1.1237783142652504,-0.19748689795718855,1.1894589722307558,1.0719891603117635,1.1092586927290913,0.10912932395817565,-0.10965594416972257,0.1195763141850148,1.1358303716203118,-0.19748689795718832,0.7280825816290644,True,True,True,True,True,-,True,False,True,True,True,True,True,True,True,True,True,True,True,True
U56,EWall,W,0.7,0.12376460426928038,1.1239117261168463,-0.21145702906818953,1.1898011962674946,1.0719782096486496,1.109619351755076,0.11760725132482541,-0.11769599043657675,0.12887148036724838,1.1357936311173726,-0.2114570290681892,0.7782062484299765,True,True,True,False,True,DD,False,False,True,True,True,True,True,True,True,True,True,False,True,False
U56,EWall,W,0.75,0.13269560660401059,1.124034686997564,-0.22525886233200354,1.1901342806780089,1.071956590475289,1.1099709031695586,0.12609224208057568,-0.12568104798771695,0.13817416449485576,1.1357456546242786,-0.22525886233200332,0.8284430238501934,True,True,True,False,True,DD,False,False,True,True,True,True,True,True,True,True,True,False,True,False
U56,EWall,W,0.8,0.14163248313185295,1.1241464348336374,-0.23889352234974526,1.1904578471121205,1.071923232384603,1.1103129253249175,0.13458320192235074,-0.13361141254007836,0.14748285327273614,1.1356854262268365,-0.23889352234974492,0.87908251869764,True,True,True,False,True,DD,False,False,True,True,True,False,True,False,True,True,True,False,True,False
