metric,tau,narrow_n,narrow_mean,narrow_t,narrow_W,narrow_L,wide_n,wide_mean,wide_t,wide_W,wide_L
Sharpe,0.38935210427838307,1026,0.048005217920169,14.369336240624076,778,246,1175,0.04478506196840542,15.71325921024474,875,291
CAGR,0.24005738568942595,617,0.021050593333661112,23.793265071390408,570,47,837,0.038978597256553574,27.06410617401057,737,98
MaxDD,0.774075574307341,980,0.042655949280628914,27.59879105780003,845,135,384,0.024696251792273315,11.226784632799635,270,113
