panel,gross,window,win_start,win_end,n_days,peak,trough,recovery,recovered,trough_year,MaxDD,decline_days,recovery_days,long_decline
SMALL,0.75,PRE20,2011-01-13,2019-12-31,2256,2011-04-29,2011-11-25,2013-02-08,True,2011,-0.08498006837789929,147,301,True
SMALL,0.75,E2011,2011-01-13,2012-12-31,494,2011-04-29,2011-11-25,2012-12-31,False,2011,-0.08498006837789929,147,274,True
SMALL,0.75,E2015,2013-01-02,2017-12-29,1259,2015-06-23,2016-02-11,2016-08-23,True,2016,-0.0612175809403509,162,134,True
SMALL,0.75,E2018,2016-01-04,2019-12-31,1006,2018-08-31,2019-10-08,2019-12-31,False,2019,-0.0833229152351127,277,58,True
SMALL,0.75,POST20,2020-07-01,2026-09-11,1557,2021-11-12,2023-10-27,2026-01-22,True,2023,-0.1187361920651736,492,559,True
SMALL,0.75,BEAR22,2021-01-04,2024-12-31,1005,2021-11-12,2023-10-27,2024-12-31,False,2023,-0.1187361920651735,492,295,True
SMALL,1.0,FULL,2011-01-13,2026-09-11,3938,2018-08-31,2020-03-12,2020-12-04,True,2020,-0.18190590999569844,384,186,True
SMALL,1.0,PRE20,2011-01-13,2019-12-31,2256,2011-04-29,2011-11-25,2013-02-08,True,2011,-0.11221846615070497,147,301,True
SMALL,1.0,E2011,2011-01-13,2012-12-31,494,2011-04-29,2011-11-25,2012-12-31,False,2011,-0.11221846615070497,147,274,True
SMALL,1.0,E2015,2013-01-02,2017-12-29,1259,2015-06-23,2016-02-11,2016-08-23,True,2016,-0.0810594776050334,162,134,True
SMALL,1.0,E2018,2016-01-04,2019-12-31,1006,2018-08-31,2019-10-02,2019-12-31,False,2019,-0.10991112102470957,273,62,True
SMALL,1.0,POST20,2020-07-01,2026-09-11,1557,2021-11-12,2023-10-27,2026-02-06,True,2023,-0.156128225140986,492,570,True
SMALL,1.0,BEAR22,2021-01-04,2024-12-31,1005,2021-11-12,2023-10-27,2024-12-31,False,2023,-0.15612822514098612,492,295,True
