predictor,rho_pooled,perm_p,n,u56/TOP20,u56/EWALL,broad/TOP20,broad/EWALL
sl_MaxDD,-0.156473134134441,0.6136,40,-0.19512557866211336,-0.2643392192172763,-0.0790277206784084,-0.3669879217087868
sl_CAGR,-0.15509111257937616,0.605,40,-0.09146511499786561,-0.01258758186748935,-0.05471149893120582,-0.05504818825631803
sl_Sharpe,-0.5025791685848633,0.0906,36,-0.5210268002259312,-0.46341703861851813,-0.47699162299076214,-0.5316881677189249
sl_vol,-0.11804314418747155,0.6932,40,-0.060976743331910416,0.0,-0.13981827504641486,0.07339758434175737
sl_corr,-0.4183963165075554,0.142,40,-0.4268372033233729,-0.4153902016271485,-0.37690143708164003,-0.48931722894504914
sl_cush,0.5040224883521105,0.0754,40,0.5122046439880474,0.4846219018983399,0.5106406566912542,0.5565983479249934
