panel,family,coarse_worst_spacing,refined_worst_spacing,shipped,shipped_Sharpe,coarse_argmax,coarse_argmax_Sharpe,refined_argmax,refined_argmax_Sharpe,relocates,gap_refined_minus_coarse,gap_refined_minus_shipped,r8_refined_pick,r8_refined_OOS_Sharpe,r8_refined_OOS_CAGR,r8_refined_OOS_MaxDD,r8_coarse_pick,r8_coarse_OOS_Sharpe,r8_coarse_OOS_CAGR,r8_coarse_OOS_MaxDD,shipped_OOS_Sharpe,shipped_OOS_CAGR,shipped_OOS_MaxDD,n4a_refined,n4b_refined,n_rungs,boot21_P_shipped_is_argmax,boot21_P_refined_argmax,boot21_argmax_spread,boot21_paired_SE_gap,boot21_gap_over_SE,boot21_P_gap_le_0,boot63_P_shipped_is_argmax,boot63_P_refined_argmax,boot63_argmax_spread,boot63_paired_SE_gap,boot63_gap_over_SE,boot63_P_gap_le_0
U56,F1_n_RULESv1,2.0,1.3333333333333333,5.0,0.6552748928075371,20.0,0.9879893206217848,19.0,1.002029503080611,True,0.014040182458826211,0.34675461027307386,12.0,0.8996565685169243,0.09272607175841552,-0.13924694244643354,15.0,0.8360054803493494,0.08593652859435075,-0.15879815255754326,0.728306879485473,0.0750994024732099,-0.13827791043318105,0,0,18,0.0,0.575,11.0,0.13428574011094438,2.5822146862845723,0.0025,0.0025,0.57,11.0,0.1312062016155536,2.6428218026545514,0.005
U56,F2_gross_RULESv2,2.0,1.1488768936096116,0.75,1.201049296027575,0.5,1.2010783989969596,0.5743,1.20108329553623,True,4.896539270493605e-06,3.39995086551248e-05,1.0,1.2760185412281244,0.12670148748914545,-0.15910987917823627,1.0,1.2760185412281244,0.12670148748914545,-0.15910987917823627,1.2767122316543114,0.09455896847608769,-0.12054941914043871,0,1,12,0.01,0.02,0.75,0.0005418514449489925,0.06274691886874154,0.535,0.0275,0.025,0.75,0.0004955367826816884,0.06861147314056125,0.5525
U56,F3_band_RULESv2,1.6666666666666667,1.1453252032520327,0.03,1.201049296027575,0.03,1.201049296027575,0.02581,1.204571501290312,True,0.003522205262737055,0.003522205262737055,0.1,1.1944962922316285,0.0907607835019526,-0.1234790186675142,0.08,1.1635487684095094,0.0897085353212077,-0.1446692267228057,1.2767122316543114,0.09455896847608769,-0.12054941914043871,0,0,23,0.1375,0.24,0.09000000000000001,0.009014403170763479,0.390730833313587,0.35,0.1325,0.235,0.08855,0.010098085344715532,0.34879931615752024,0.365
B136,F1_n_RULESv1,2.0,1.3333333333333333,5.0,0.629374194055925,20.0,0.8390467134488395,20.0,0.8390467134488395,False,0.0,0.20967251939291454,20.0,0.7291971432278163,0.07520146454960686,-0.17402869489040618,20.0,0.7291971432278163,0.07520146454960686,-0.17402869489040618,0.5464577273270329,0.05591502545678706,-0.21198908096372893,0,0,18,0.0225,0.6075,15.0,0.12556996993875635,1.6697664218218506,0.0425,0.035,0.5825,15.0,0.1258533222240607,1.6660070285600235,0.0475
B136,F2_gross_RULESv2,2.0,1.1488768936096116,0.75,1.0972023061715337,0.75,1.0972023061715337,0.75,1.0972023061715337,False,0.0,0.0,1.0,1.1006130604666327,0.10473004292318344,-0.16158091944280473,1.0,1.1006130604666327,0.10473004292318344,-0.16158091944280473,1.1016867720596069,0.0784728360555127,-0.12241069123223403,0,1,12,0.01,0.01,0.75,0.0,,1.0,0.015,0.015,0.75,0.0,,1.0
B136,F3_band_RULESv2,1.6666666666666667,1.1453252032520327,0.03,1.0972023061715337,0.08,1.1152744077829528,0.08,1.1152744077829528,False,0.0,0.018072101611419145,0.1,1.0886811040431117,0.08253073893140361,-0.145782499152327,0.08,1.0934442497550945,0.08224595738983087,-0.14814260085415154,1.1016867720596069,0.0784728360555127,-0.12241069123223403,2,0,23,0.0,0.1375,0.086973,0.044988198543823764,0.4017076076921552,0.345,0.0,0.2025,0.08032,0.041566678449004274,0.43477377278511076,0.3275
