check,field,n,maxabsdiff,verdict
[a] idea159 INV/NONE/POS @10bps,CAGR,48,9.71445146547012e-17,MATCH
[a] idea159 INV/NONE/POS @10bps,Sharpe,48,2.220446049250313e-16,MATCH
[a] idea159 INV/NONE/POS @10bps,MaxDD,48,8.326672684688674e-17,MATCH
[a] idea159 INV/NONE/POS @10bps,H1,48,2.220446049250313e-16,MATCH
[a] idea159 INV/NONE/POS @10bps,H2,48,2.220446049250313e-16,MATCH
[b] premise sign,k=-0.50,16,,neg 16 / pos 0
[b] premise sign,k=+0.50,16,,neg 1 / pos 15
