conv,step,tie,rung,n_win,share_exact,top_QROLL,bottom_ABS,pair_RvE,pair_EvA,pair_RvA,mean_ABS,mean_QEXP,mean_QROLL
FULLMATCH,21,LOSS,0.0,176,0.26136363636363635,0.7386363636363636,0.4431818181818182,0.8181818181818182,0.4431818181818182,0.9204545454545454,0.48484848484848475,0.4836910774410775,0.7076888678451179
FULLMATCH,21,LOSS,1.0,176,0.23863636363636365,0.7102272727272727,0.45454545454545453,0.7840909090909091,0.45454545454545453,0.9261363636363636,0.4795875420875422,0.4956334175084175,0.7093394886363638
FULLMATCH,21,LOSS,2.0,176,0.2556818181818182,0.7102272727272727,0.4772727272727273,0.7784090909090909,0.4772727272727273,0.9318181818181818,0.47453703703703703,0.4996843434343434,0.7068142361111112
FULLMATCH,21,LOSS,3.0,176,0.26136363636363635,0.7045454545454546,0.48863636363636365,0.7727272727272727,0.48863636363636365,0.9318181818181818,0.4699074074074074,0.5047874579124578,0.7053872053872055
FULLMATCH,21,LOSS,5.0,176,0.26704545454545453,0.6761363636363636,0.5227272727272727,0.7443181818181818,0.5227272727272727,0.9318181818181818,0.4602272727272727,0.5133101851851852,0.703677398989899
FULLMATCH,21,LOSS,7.5,176,0.2840909090909091,0.6647727272727273,0.5625,0.7215909090909091,0.5625,0.9431818181818182,0.44952125420875416,0.5266729797979799,0.7027107007575758
FULLMATCH,21,LOSS,10.0,176,0.3125,0.6534090909090909,0.6136363636363636,0.6988636363636364,0.6136363636363636,0.9545454545454546,0.4375,0.5377209595959596,0.6979692760942761
FULLMATCH,21,LOSS,15.0,176,0.2897727272727273,0.6079545454545454,0.6477272727272727,0.6420454545454546,0.6477272727272727,0.9659090909090909,0.41440446127946123,0.5589225589225589,0.6865727588383839
FULLMATCH,21,LOSS,20.0,176,0.3181818181818182,0.5909090909090909,0.6761363636363636,0.6306818181818182,0.6875,0.9488636363636364,0.3965172558922559,0.5629734848484848,0.6666929713804713
FULLMATCH,21,LOSS,25.0,176,0.30113636363636365,0.5568181818181818,0.6704545454545454,0.6022727272727273,0.6988636363636364,0.9261363636363636,0.3769465488215488,0.5772832491582491,0.6519820601851852
FULLMATCH,21,LOSS,30.0,176,0.26704545454545453,0.4943181818181818,0.6988636363636364,0.5340909090909091,0.7329545454545454,0.9261363636363636,0.35795454545454547,0.5819654882154881,0.6375670770202021
FULLMATCH,21,LOSS,40.0,176,0.2727272727272727,0.4943181818181818,0.7215909090909091,0.5113636363636364,0.7613636363636364,0.9431818181818182,0.32838804713804715,0.5771254208754208,0.6042587331649831
FULLMATCH,21,LOSS,50.0,176,0.2840909090909091,0.4943181818181818,0.7329545454545454,0.5056818181818182,0.7784090909090909,0.9431818181818182,0.30289877946127947,0.5664457070707072,0.5698784722222222
FULLMATCH,21,LOSS,75.0,176,0.25,0.4147727272727273,0.7272727272727273,0.4772727272727273,0.7727272727272727,0.8920454545454546,0.25883838383838387,0.5409301346801346,0.4985532407407408
FULLMATCH,21,LOSS,100.0,176,0.14204545454545456,0.26136363636363635,0.7329545454545454,0.36363636363636365,0.7784090909090909,0.8522727272727273,0.2238531144781145,0.5182554713804713,0.43913089225589225
FULLMATCH,21,EXCLUDE,0.0,176,0.32386363636363635,0.7102272727272727,0.5340909090909091,0.7897727272727273,0.5340909090909091,0.9204545454545454,0.48484848484848475,0.5804292929292929,0.7076888678451179
FULLMATCH,21,EXCLUDE,1.0,176,0.2897727272727273,0.6818181818181818,0.5340909090909091,0.7556818181818182,0.5340909090909091,0.9261363636363636,0.4795875420875422,0.5947601010101009,0.7093394886363638
FULLMATCH,21,EXCLUDE,2.0,176,0.3181818181818182,0.6875,0.5625,0.7556818181818182,0.5625,0.9318181818181818,0.47453703703703703,0.5996212121212121,0.7068142361111112
FULLMATCH,21,EXCLUDE,3.0,176,0.3125,0.6761363636363636,0.5681818181818182,0.7443181818181818,0.5681818181818182,0.9318181818181818,0.4699074074074074,0.6057449494949495,0.7053872053872055
FULLMATCH,21,EXCLUDE,5.0,176,0.3125,0.6534090909090909,0.5909090909090909,0.7215909090909091,0.5909090909090909,0.9318181818181818,0.4602272727272727,0.6159722222222223,0.703677398989899
FULLMATCH,21,EXCLUDE,7.5,176,0.32954545454545453,0.6363636363636364,0.6363636363636364,0.6931818181818182,0.6363636363636364,0.9431818181818182,0.44952125420875416,0.6320075757575757,0.7027107007575758
FULLMATCH,21,EXCLUDE,10.0,176,0.3409090909090909,0.6193181818181818,0.6761363636363636,0.6647727272727273,0.6761363636363636,0.9545454545454546,0.4375,0.6452651515151515,0.6979692760942761
FULLMATCH,21,EXCLUDE,15.0,176,0.30113636363636365,0.5681818181818182,0.6988636363636364,0.6022727272727273,0.6988636363636364,0.9659090909090909,0.41440446127946123,0.6707070707070707,0.6865727588383839
FULLMATCH,21,EXCLUDE,20.0,176,0.30113636363636365,0.5170454545454546,0.7329545454545454,0.5568181818181818,0.7443181818181818,0.9488636363636364,0.3965172558922559,0.6755681818181819,0.6666929713804713
FULLMATCH,21,EXCLUDE,25.0,176,0.23295454545454544,0.4147727272727273,0.7443181818181818,0.4602272727272727,0.7727272727272727,0.9261363636363636,0.3769465488215488,0.692739898989899,0.6519820601851852
FULLMATCH,21,EXCLUDE,30.0,176,0.23295454545454544,0.3977272727272727,0.7613636363636364,0.4375,0.7954545454545454,0.9261363636363636,0.35795454545454547,0.6983585858585859,0.6375670770202021
