panel,N,H_star,H_other,d_median,d_w90,share_pos,beats_own,beats_1083
U56,20,5,7,0.7688878449345349,5.527125729727153,0.756,False,False
U56,20,5,10,0.5195977609156688,5.005729153041493,0.654,False,False
U56,20,5,13,0.1640192549993036,5.136302199207834,0.544,False,False
U56,20,5,16,0.7301319600197529,4.283656894893294,0.682,False,False
U56,20,5,21,0.6930961655852719,5.496135242706092,0.63,False,False
U56,20,5,26,0.2519593713903479,5.367392282116997,0.556,False,False
U56,20,5,32,1.4189567206282394,7.058617820646081,0.754,False,False
U56,20,5,42,2.1005418380782572,7.79733592658936,0.8,False,False
U56,20,5,52,1.1559951212814057,6.389154149796428,0.728,False,False
U56,20,5,63,3.7829816342972227,9.65955764608838,0.874,False,False
B136,20,5,7,0.9238294039703943,4.611281250440353,0.762,False,False
B136,20,5,10,3.2997984817105475,8.48055112225582,0.834,False,False
B136,20,5,13,0.7131374876336805,5.939204632620212,0.67,False,False
B136,20,5,16,1.9306867472564768,5.906964216297726,0.842,False,False
B136,20,5,21,1.8037224191065402,8.339098650857078,0.768,False,False
B136,20,5,26,1.4657531642344785,7.962743913523781,0.698,False,False
B136,20,5,32,2.387924583575807,9.512680043670398,0.792,False,False
B136,20,5,42,2.5302314946600126,9.091319475406207,0.78,False,False
B136,20,5,52,3.909344426720785,12.695129840725935,0.786,False,False
B136,20,5,63,3.4032415824561624,12.307485697987161,0.792,False,False
