rung,n_dependent,share
1,6,0.08333333333333333
2,5,0.06944444444444445
5,3,0.041666666666666664
10,3,0.041666666666666664
21,2,0.027777777777777776
42,0,0.0
126,1,0.013888888888888888
252,4,0.05555555555555555
504,7,0.09722222222222222
1008,15,0.20833333333333334
T,55,0.7638888888888888
