SET,bdef,chooser,dSharpe,dMaxDD,SE
ALL4,B_STRICT,CH_SUPP_ANCHOR,0.00839342168695767,0.023550314518063387,0.04400565316443767
ALL4,B_STRICT,CH_SUPP_INTERIOR,-0.005446461818000126,0.010318896437836511,0.034334430088679806
ALL4,B_WIDE,CH_SUPP_ANCHOR,0.04243856692962922,0.02983158226085042,0.03843994179138128
ALL4,B_WIDE,CH_SUPP_INTERIOR,0.04792426718512932,0.028176778149960224,0.0386623846835007
NG,B_STRICT,CH_SUPP_ANCHOR,-4.269613133456307e-05,0.007360766500446592,0.09450858695570738
NG,B_STRICT,CH_SUPP_INTERIOR,-0.011526565303138336,-0.0004397537734021073,0.07655711537832718
NG,B_WIDE,CH_SUPP_ANCHOR,0.047415880725440784,0.015735790157496043,0.06174306149943793
NG,B_WIDE,CH_SUPP_INTERIOR,0.05666274343201927,0.013529384676309042,0.06208730290198856
