bar,cost,set,book,panel,seq,n_pass,n_E,legsets
REC_FULL,0.0,GRID,B136-band0.03-g1.00,B136,....PPPP.......P,5,16,-|L5_CAGR
REC_FULL,0.0,GRID,B136-band0.08-g1.00,B136,..PPPPPPPP.....P,9,16,-|L5_CAGR
REC_FULL,10.0,GRID,B136-band0.03-g1.00,B136,....P...........,1,16,-|L5_CAGR
REC_FULL,10.0,GRID,B136-band0.08-g1.00,B136,..PPPPPPP......P,8,16,-|L5_CAGR
REC_FULL,10.0,GRID,B136-qroll-q0.17-w252-d1.00,B136,..PPPPPPPPPPPPPP,14,16,-|L5_CAGR
REC_FULL,10.0,GRID,B136-qroll-q0.17-w504-d1.00,B136,PPPPPPPPPP..PPPP,14,16,-|L5_CAGR
REC_FULL,25.0,GRID,B136-band0.08-g1.00,B136,....PPPP.......P,5,16,-|L5_CAGR
REC_FULL,25.0,GRID,B136-qroll-q0.17-w1008-d0.50,B136,PPPPPPPPPPP.PP.P,14,16,-|L5_CAGR
REC_FULL,25.0,GRID,B136-qroll-q0.17-w1008-d1.00,B136,..PPPPPPPP...P.P,10,16,-|L5_CAGR
REC_FULL,25.0,GRID,B136-qroll-q0.17-w252-d0.50,B136,..PPPPPPPPP..P.P,11,16,-|L5_CAGR
REC_FULL,25.0,GRID,B136-qroll-q0.17-w504-d0.50,B136,.PPPPPPPP......P,9,16,-|L5_CAGR
REC_FULL,25.0,SHELF,b136-r620-gross065-W,B136,PPPPPPPPPPPPP...,13,16,-|L3_OOS
REC_FULL,25.0,SHELF,u56-marsrespread-gross075,U56,..PPPPPPPPP.PP.P,12,16,-|L5_CAGR
WIN,0.0,GRID,B136-band0.03-g1.00,B136,PP.PPPPP........,7,16,-|L5_CAGR
WIN,0.0,GRID,B136-band0.08-g1.00,B136,PPPPPPPPPP......,10,16,-|L5_CAGR
WIN,10.0,GRID,B136-band0.08-g1.00,B136,PPPPPPPPP.......,9,16,-|L5_CAGR
WIN,10.0,GRID,B136-qroll-q0.17-w504-d1.00,B136,PPPPPPPPPP..PPPP,14,16,-|L5_CAGR
WIN,25.0,GRID,B136-band0.08-g1.00,B136,PP.PPPPP........,7,16,-|L5_CAGR
WIN,25.0,GRID,B136-qroll-q0.17-w1008-d1.00,B136,..PPPPPPPPP..PP.,11,16,-|L5_CAGR
WIN,25.0,GRID,B136-qroll-q0.17-w252-d0.50,B136,PPPPPPPPPPP..PP.,13,16,-|L5_CAGR
WIN,25.0,GRID,B136-qroll-q0.17-w504-d0.50,B136,PPPPPPPPP.......,9,16,-|L5_CAGR
WIN,25.0,SHELF,b136-r620-gross065-W,B136,PPPPPPPPPPPPP...,13,16,-|L3_OOS
