panel,k,n,bps,target,model,draws,oofR2,rho,fitR2
B136,20,5,10,FIT,sd,500,0.3018400040240231,0.5327381949527797,0.3018400040240231
B136,20,5,10,FIT,M,500,0.8254823821458219,0.8921017124068497,0.8254823821458219
B136,20,5,10,FIT,M+sd,500,0.8299763503702849,0.8958056952227809,0.8299763503702849
B136,20,5,10,IS1_IS2,sd,500,-1.1933731957034701,0.15878972315889264,0.33902041317943343
B136,20,5,10,IS1_IS2,M,500,-1.9342958539022832,0.06080405121620487,0.8306353013048147
B136,20,5,10,IS1_IS2,M+sd,500,-1.917454033567688,0.06690113160452642,0.8399167484699328
B136,20,5,10,IS_OOS,sd,500,-0.37028191494374885,0.2421659606638426,0.3018400040240231
B136,20,5,10,IS_OOS,M,500,-1.2010940059401496,0.24652869811479247,0.8254823821458219
B136,20,5,10,IS_OOS,M+sd,500,-1.2135523790153533,0.2464140736562946,0.8299763503702849
B136,20,5,25,FIT,sd,500,0.3159997562089675,0.546627530510122,0.3159997562089675
B136,20,5,25,FIT,M,500,0.8277320798406462,0.8922435049740198,0.8277320798406462
B136,20,5,25,FIT,M+sd,500,0.8291114654886703,0.8954959979839919,0.8291114654886703
B136,20,5,25,IS1_IS2,sd,500,-0.9852682095691305,0.17520953283813134,0.34865508204111784
B136,20,5,25,IS1_IS2,M,500,-1.7116635175945145,0.06657386629546518,0.8333597538718398
B136,20,5,25,IS1_IS2,M+sd,500,-1.6957662914432587,0.07401408805635222,0.8419735394208155
B136,20,5,25,IS_OOS,sd,500,-0.3177713724042963,0.24888013152052604,0.3159997562089675
B136,20,5,25,IS_OOS,M,500,-1.1239512537721232,0.2463452413809655,0.8277320798406462
B136,20,5,25,IS_OOS,M+sd,500,-1.1237915550865458,0.24622168888675552,0.8291114654886703
B136,20,20,10,FIT,sd,500,0.29588620496528717,0.5128237792951171,0.29588620496528717
B136,20,20,10,FIT,M,500,0.9862252093130427,0.9938570314281256,0.9862252093130427
B136,20,20,10,FIT,M+sd,500,0.9869261601772357,0.9939251917007667,0.9869261601772357
B136,20,20,10,IS1_IS2,sd,500,-3.102738552492113,0.20791686366745465,0.2721662927331141
B136,20,20,10,IS1_IS2,M,500,-4.102698749034451,0.033714854859419434,0.9823902840997234
B136,20,20,10,IS1_IS2,M+sd,500,-4.113342628822524,0.03203820815283261,0.9838756005933895
B136,20,20,10,IS_OOS,sd,500,-0.09843908022630354,0.25331170124680497,0.29588620496528717
B136,20,20,10,IS_OOS,M,500,-0.7673743758938971,0.13469871479485918,0.9862252093130427
