point,form,param,n,mean_adm,med_adm,E,changed,changed_live,n_changed,dMaxDD,dMV_MaxDD,dCAGR,dMV_CAGR,dSharpe,dMV_Sharpe,t_dMaxDD,pick4b,pick4b_oos,pick4a
ABS(0.50),ABS,0.5,840,0.02857142857142857,0.0,0.9952380952380953,0.3904761904761905,0.25,328,-0.011094037004623912,-0.028411558182573432,0.0038940644379505686,0.009972604048409993,0.00029273162588748394,0.0007496785541020927,-14.73108709555626,0.08095238095238096,0.09722222222222222,0.03333333333333333
ABS(0.75),ABS,0.75,840,1.0285714285714285,0.0,0.8428571428571429,0.2726190476190476,0.09090909090909091,229,-0.008304793988381496,-0.030462999782709423,0.003328946377438655,0.012210982345189827,0.00037595822075251893,0.0013790607224109855,-11.571902094141722,0.11428571428571428,0.125,0.055952380952380955
ABS(1.00),ABS,1.0,840,3.0761904761904764,0.0,0.5571428571428572,0.0,0.0,0,0.0,,0.0,,0.0,,,0.2130952380952381,0.22743055555555555,0.060714285714285714
ABS(1.25),ABS,1.25,840,4.385714285714286,1.0,0.4714285714285714,0.12261904761904761,0.08333333333333333,103,-0.00019972354399456292,-0.0016288133684993489,-0.002362028343798506,-0.01926314377466743,-0.0037520551185044725,-0.030599284461589882,-0.4354755817935087,0.19047619047619047,0.2013888888888889,0.05952380952380952
ABS(1.50),ABS,1.5,840,4.885714285714286,1.0,0.4523809523809524,0.14166666666666666,0.08333333333333333,119,-4.5990871635807265e-05,-0.00032464144684099175,-0.0017650323305855428,-0.012459051745309712,-0.0023116206592326913,-0.016317322300466054,-0.09260610699581531,0.19047619047619047,0.2013888888888889,0.05952380952380952
ABS(1.75),ABS,1.75,840,5.123809523809523,2.0,0.4523809523809524,0.1380952380952381,0.08333333333333333,116,-0.00010456658892509786,-0.0007572063335955365,-0.0014959453571585673,-0.010832707758734454,-0.0019505610900866148,-0.014124752721316865,-0.2107063432716174,0.19047619047619047,0.2013888888888889,0.05952380952380952
ABS(2.00),ABS,2.0,840,5.266666666666667,2.0,0.4523809523809524,0.13452380952380952,0.08333333333333333,113,-0.0004612484880871048,-0.003428749822948389,-0.001316309272071242,-0.009784953880883568,-0.0021561310376021123,-0.016027876739697116,-1.006818932769295,0.19047619047619047,0.2013888888888889,0.05952380952380952
RANK(0.10),RANK,0.1,840,0.14285714285714285,0.0,0.8571428571428571,0.31785714285714284,0.3482142857142857,267,-0.005918776013453979,-0.018620868356933867,-0.0001051206500516153,-0.00033071665184777855,-0.005018450662125083,-0.015788384105562058,-7.131306171886693,0.09523809523809523,0.125,0.0380952380952381
RANK(0.20),RANK,0.2,840,0.4714285714285714,0.0,0.6761904761904762,0.3773809523809524,0.42021276595744683,317,-0.0017428377390593575,-0.004618245112964859,-0.004104556435603405,-0.010876427147971171,-0.008863946624266799,-0.02348806045547038,-1.9855172246013486,0.13095238095238096,0.1701388888888889,0.036904761904761905
RANK(0.30),RANK,0.3,840,1.0714285714285714,0.0,0.5571428571428572,0.30952380952380953,0.3506944444444444,260,0.001959734182175158,0.006331448896258204,-0.0040225851233494135,-0.012996044244667337,-0.0047696760233948525,-0.015409722537121832,3.0027565800073766,0.19285714285714287,0.2170138888888889,0.041666666666666664
RANK(0.40),RANK,0.4,840,1.3476190476190477,0.0,0.5571428571428572,0.30833333333333335,0.3541666666666667,259,0.0019580187612417573,0.006350331117540835,-0.0038023728647547032,-0.012332020101907143,-0.004403933960986186,-0.0142830290626579,3.004416246289419,0.19285714285714287,0.2170138888888889,0.041666666666666664
RANK(0.50),RANK,0.5,840,1.9952380952380953,0.0,0.5238095238095238,0.28809523809523807,0.34294871794871795,242,0.001891470267277916,0.006565433985592766,-0.0034497870384549473,-0.011974467406207256,-0.0040495722756849935,-0.01405636657675783,3.0961815975771594,0.21666666666666667,0.22743055555555555,0.041666666666666664
RANK(0.60),RANK,0.6,840,2.6523809523809523,0.0,0.5047619047619047,0.26904761904761904,0.2926829268292683,226,0.002365955636647655,0.008793817410548807,-0.0031046983930840192,-0.011539586947745914,-0.0017369074420956734,-0.006455762174160909,4.023945211398625,0.21785714285714286,0.22743055555555555,0.041666666666666664
