panel,stat,cadence_y,date,N,H,objective
U56,SHARPE,1,2013-01-07,5,21,1.071795537624044
U56,SHARPE,1,2014-01-06,5,126,1.3016796567056794
U56,SHARPE,1,2015-01-05,5,126,1.235352354972259
U56,SHARPE,1,2016-01-04,10,63,1.1776962436992793
U56,SHARPE,1,2017-01-03,5,63,1.1955705864974415
U56,SHARPE,1,2018-01-08,30,63,1.2980707156316806
U56,SHARPE,1,2019-01-07,10,63,1.1674092974592005
U56,SHARPE,1,2020-01-06,40,252,1.2061043552736503
U56,SHARPE,1,2021-01-04,20,252,1.163287382895582
U56,SHARPE,1,2022-01-10,40,252,1.1935015528481119
U56,SHARPE,1,2023-01-09,15,126,1.0718112310687482
U56,SHARPE,1,2024-01-08,15,126,1.1011234685068676
U56,SHARPE,1,2025-01-06,15,126,1.1853565744277788
U56,SHARPE,1,2026-01-05,10,63,1.1811011825322475
U56,SHARPE,2,2013-01-07,5,21,1.071795537624044
U56,SHARPE,2,2015-01-05,5,126,1.235352354972259
U56,SHARPE,2,2017-01-03,5,63,1.1955705864974415
U56,SHARPE,2,2019-01-07,10,63,1.1674092974592005
U56,SHARPE,2,2021-01-04,20,252,1.163287382895582
U56,SHARPE,2,2023-01-09,15,126,1.0718112310687482
U56,SHARPE,2,2025-01-06,15,126,1.1853565744277788
U56,SHARPE,3,2013-01-07,5,21,1.071795537624044
U56,SHARPE,3,2016-01-04,10,63,1.1776962436992793
U56,SHARPE,3,2019-01-07,10,63,1.1674092974592005
U56,SHARPE,3,2022-01-03,40,252,1.2044315038555384
U56,SHARPE,3,2025-01-06,15,126,1.1853565744277788
U56,SHARPE,5,2013-01-07,5,21,1.071795537624044
U56,SHARPE,5,2018-01-02,30,63,1.270804999310719
U56,SHARPE,5,2023-01-03,15,126,1.0679278445942542
U56,SHARPE,0,2013-01-07,5,21,1.071795537624044
U56,CAGR,1,2013-01-07,5,21,0.14559163832388178
U56,CAGR,1,2014-01-06,5,126,0.18316985380431783
U56,CAGR,1,2015-01-05,5,126,0.1709855799156179
U56,CAGR,1,2016-01-04,5,126,0.16072938656247682
U56,CAGR,1,2017-01-03,5,63,0.16172114614836852
